index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,team_in_possession_id,attacking_side,team_in_possession_shortname,n_player_possessions_in_phase,team_possession_loss_in_phase,team_possession_lead_to_goal,team_possession_lead_to_shot,team_in_possession_phase_type,team_in_possession_phase_type_id,team_out_of_possession_phase_type,team_out_of_possession_phase_type_id,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,team_in_possession_width_start,team_in_possession_width_end,team_in_possession_length_start,team_in_possession_length_end,team_out_of_possession_width_start,team_out_of_possession_width_end,team_out_of_possession_length_start,team_out_of_possession_length_end
0,2011731,2513,2597,00:00.3,00:08.7,0,0,8.4,1,2,2902,right_to_left,Western Sydney,5,False,False,False,create,1,medium_block,9,0.09,-0.39,3,center,2,middle_third,False,-8.65,19.26,2,half_space_left,2,middle_third,False,54.14,61.18,37.72,51.46,42.89,37.58,39.23,44.88
1,2011731,2597,2624,00:08.7,00:11.4,0,8,2.7,1,2,2902,right_to_left,Western Sydney,1,True,False,False,direct,6,defending_direct,15,-7.71,19.5,2,half_space_left,2,middle_third,False,31.53,23.78,1,wide_left,3,attacking_third,False,61.03,49.77,52.06,66.09,37.61,34.04,44.93,47.25
2,2011731,2624,2665,00:11.4,00:15.5,0,11,4.1,1,1,1803,left_to_right,Western United,2,True,False,False,chaotic,5,chaotic,5,-32.16,-23.97,5,wide_right,1,defensive_third,False,-10.33,-18.7,4,half_space_right,2,middle_third,False,34.01,37.28,47.32,41.98,49.14,37.16,66.6,62.33
3,2011731,2665,2750,00:15.5,00:24.0,0,15,8.5,1,2,2902,right_to_left,Western Sydney,3,False,False,False,create,1,medium_block,9,9.54,18.62,2,half_space_left,2,middle_third,False,-14.81,-5.61,3,center,2,middle_third,False,37.14,59.8,62.2,51.57,37.03,35.2,41.73,47.56
4,2011731,2750,2773,00:24.0,00:26.3,0,24,2.3,1,2,2902,right_to_left,Western Sydney,1,True,False,False,direct,6,defending_direct,15,-14.09,-6.04,3,center,2,middle_third,False,24.03,-20.69,5,wide_right,3,attacking_third,False,59.96,56.39,51.6,57.03,35.2,35.24,47.63,49.45
5,2011731,2939,3025,00:42.9,00:51.5,0,42,8.6,1,1,1803,left_to_right,Western United,4,False,False,False,build_up,0,high_block,10,-28.68,17.3,2,half_space_left,1,defensive_third,False,-39.88,-3.47,3,center,1,defensive_third,False,51.02,62.75,46.8,42.5,35.22,42.34,54.35,71.31
6,2011731,3025,3057,00:51.5,00:54.7,0,51,3.2,1,1,1803,left_to_right,Western United,1,True,False,False,direct,6,defending_direct,15,-38.99,-3.91,3,center,1,defensive_third,False,3.76,-15.88,4,half_space_right,2,middle_third,False,62.78,51.93,42.54,49.26,42.22,36.82,71.41,67.56
7,2011731,3057,3217,00:54.7,01:10.7,0,54,16.0,1,2,2902,right_to_left,Western Sydney,5,False,False,False,transition,4,defending_transition,11,-4.17,15.8,2,half_space_left,2,middle_third,False,42.0,16.59,2,half_space_left,3,attacking_third,True,36.42,37.77,67.38,71.32,51.47,23.43,49.43,34.84
8,2011731,3484,3494,01:37.4,01:38.4,1,37,1.0,1,2,2902,right_to_left,Western Sydney,1,False,False,False,set_play,7,defending_set_play,13,49.59,31.51,1,wide_left,3,attacking_third,False,48.16,10.97,2,half_space_left,3,attacking_third,True,37.5,36.44,62.15,61.08,18.63,17.29,9.2,9.97
9,2011731,3679,3724,01:56.9,02:01.4,1,56,4.5,1,2,2902,right_to_left,Western Sydney,2,False,False,False,create,1,medium_block,9,9.23,-32.53,5,wide_right,2,middle_third,False,-19.15,-13.19,4,half_space_right,1,defensive_third,False,51.44,57.05,54.32,52.65,31.59,32.42,33.58,49.18
