index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,team_in_possession_id,attacking_side,team_in_possession_shortname,n_player_possessions_in_phase,team_possession_loss_in_phase,team_possession_lead_to_goal,team_possession_lead_to_shot,team_in_possession_phase_type,team_in_possession_phase_type_id,team_out_of_possession_phase_type,team_out_of_possession_phase_type_id,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,team_in_possession_width_start,team_in_possession_width_end,team_in_possession_length_start,team_in_possession_length_end,team_out_of_possession_width_start,team_out_of_possession_width_end,team_out_of_possession_length_start,team_out_of_possession_length_end
0,2005185,19,34,00:00.9,00:02.4,0,0,1.5,1,1,866,left_to_right,Adelaide United,1,False,False,False,create,1,medium_block,9,-0.83,-0.97,3,center,2,middle_third,False,-19.68,0.7,3,center,1,defensive_third,False,40.07,41.34,40.33,46.21,33.61,32.67,42.75,49.16
1,2005185,34,60,00:02.4,00:05.0,0,2,2.6,1,1,866,left_to_right,Adelaide United,1,False,False,False,build_up,0,high_block,10,-20.51,0.71,3,center,1,defensive_third,False,-20.49,1.53,3,center,1,defensive_third,False,41.43,41.19,46.76,57.38,32.7,32.46,49.5,59.31
2,2005185,60,64,00:05.0,00:05.4,0,5,0.4,1,1,866,left_to_right,Adelaide United,1,False,False,False,create,1,medium_block,9,-17.93,2.0,3,center,1,defensive_third,False,-11.0,3.74,3,center,2,middle_third,False,41.11,40.64,57.75,58.89,32.4,32.07,59.6,60.35
3,2005185,64,89,00:05.4,00:07.9,0,5,2.5,1,1,866,left_to_right,Adelaide United,1,True,False,False,direct,6,defending_direct,15,-8.63,4.33,3,center,2,middle_third,False,26.84,8.29,3,center,3,attacking_third,False,40.4,30.85,59.27,63.96,31.91,24.16,60.55,58.35
4,2005185,89,107,00:07.9,00:09.7,0,7,1.8,1,2,4177,right_to_left,Auckland FC,1,True,False,False,chaotic,5,chaotic,5,-27.23,-8.02,3,center,1,defensive_third,False,-11.4,-5.99,3,center,2,middle_third,False,23.91,21.35,58.04,49.91,30.47,28.96,64.38,66.31
5,2005185,107,135,00:09.7,00:12.5,0,9,2.8,1,1,866,left_to_right,Adelaide United,1,True,False,False,chaotic,5,chaotic,5,11.67,5.76,3,center,2,middle_third,False,28.17,-2.11,3,center,3,attacking_third,False,29.09,25.03,66.12,64.48,21.4,20.47,49.33,39.21
6,2005185,471,538,00:46.1,00:52.8,0,46,6.7,1,2,4177,right_to_left,Auckland FC,2,True,False,False,direct,6,defending_direct,15,-27.68,4.31,3,center,1,defensive_third,False,32.14,18.64,2,half_space_left,3,attacking_third,False,29.07,24.37,54.76,67.82,23.78,22.18,37.99,40.2
7,2005185,538,551,00:52.8,00:54.1,0,52,1.3,1,1,866,left_to_right,Adelaide United,1,True,False,False,chaotic,5,chaotic,5,-31.64,-19.04,4,half_space_right,1,defensive_third,False,-20.06,-23.48,5,wide_right,1,defensive_third,False,22.25,22.21,40.17,39.41,24.53,24.83,67.88,68.22
8,2005185,551,610,00:54.1,01:00.0,0,54,5.9,1,2,4177,right_to_left,Auckland FC,2,True,False,False,chaotic,5,chaotic,5,20.56,23.81,1,wide_left,3,attacking_third,False,43.59,33.18,1,wide_left,3,attacking_third,False,24.69,36.39,68.15,74.55,22.1,34.69,39.36,33.03
9,2005185,610,636,01:00.0,01:02.6,1,0,2.6,1,1,866,left_to_right,Adelaide United,1,True,False,False,chaotic,5,chaotic,5,-42.86,-33.04,5,wide_right,1,defensive_third,False,-15.08,-29.5,5,wide_right,2,middle_third,False,34.81,33.73,32.86,32.5,36.55,39.1,74.24,68.38
10,2005185,636,646,01:02.6,01:03.6,1,2,1.0,1,2,4177,right_to_left,Auckland FC,1,True,False,False,chaotic,5,chaotic,5,15.1,29.86,1,wide_left,2,middle_third,False,19.97,33.44,1,wide_left,3,attacking_third,False,39.16,39.24,68.03,65.12,33.64,33.59,32.57,33.35
11,2005185,727,737,01:11.7,01:12.7,1,11,1.0,1,1,866,left_to_right,Adelaide United,1,True,False,False,chaotic,5,chaotic,5,-23.7,-35.84,5,wide_right,1,defensive_third,False,-18.58,-35.61,5,wide_right,1,defensive_third,False,41.87,41.77,44.72,45.41,30.57,30.74,62.89,63.25
12,2005185,866,880,01:25.6,01:27.0,1,25,1.4,1,2,4177,right_to_left,Auckland FC,1,True,False,False,chaotic,5,chaotic,5,14.51,33.15,1,wide_left,2,middle_third,False,28.58,26.01,1,wide_left,3,attacking_third,False,33.77,31.77,65.2,64.94,27.64,25.45,38.81,38.57
13,2005185,880,911,01:27.0,01:30.1,1,27,3.1,1,1,866,left_to_right,Adelaide United,2,False,False,False,chaotic,5,chaotic,5,-29.07,-25.58,5,wide_right,1,defensive_third,False,-14.21,-22.38,5,wide_right,2,middle_third,False,25.32,24.04,38.54,33.09,31.51,23.29,64.89,60.47
