event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_simultaneous_passing_options,passing_option_at_pass_moment,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,1947621,93,93,00:08.3,00:08.3,0,8,0.0,1,2,right_to_left,8,player_possession,,,211,A. Taggart,19,CF,,,,,871,Perth Glory,0.76,-0.98,3,center,2,middle_third,False,0.76,-0.98,3,center,2,middle_third,False,,,,,,3,drawing,0,0,0,1,True,False,False,True,3,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.0,106.7,3,sideway_left,,,0.78,1,jogging,8.83,8.83,0.0,17.43,17.43,16.67,16.67,0.0,35.07,35.07,0.0,True,True,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,809166,A. Lebib,6,RCB,-17.74,-1.28,3,center,1,defensive_third,False,-18.04,-0.6,3,center,1,defensive_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,21.63,2,medium,179.05,2,backward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,0,True,True,,True,False
8_1,1,1947621,110,119,00:10.0,00:10.9,0,10,0.9,1,2,right_to_left,8,player_possession,,,809166,A. Lebib,6,RCB,,,,,871,Perth Glory,-18.04,-0.6,3,center,1,defensive_third,False,-19.68,-2.14,3,center,1,defensive_third,False,,,,,,3,drawing,0,0,0,2,False,False,False,False,3,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,1.92,-136.8,2,backward,,,9.01,1,jogging,15.4,10.09,-5.31,15.9,14.61,33.94,34.29,0.35,36.6,37.89,1.29,False,False,1,pass_reception,1,pass,False,True,False,False,False,False,False,179.05,2,backward,21.63,2,medium,1,successful,7_2,False,11897,J. Risdon,8,RB,-19.49,-23.91,5,wide_right,1,defensive_third,False,-21.58,-21.04,5,wide_right,1,defensive_third,False,0.9951,False,0.0,False,5,0,1,0,1,0,2,0,0,4,1,3,4,1,2,8,8,True,424,3,False,,,False,,,False,,,,,,,21.77,2,medium,-89.5,4,sideway_right,18.6,2,medium,-74.31,4,sideway_right,False,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,True,True,True,True,False
7_0,2,1947621,110,111,00:10.0,00:10.1,0,10,0.1,1,2,right_to_left,7,passing_option,,,795530,N. Pennington,14,RM,809166,A. Lebib,6,RCB,871,Perth Glory,-8.23,-12.6,4,half_space_right,2,middle_third,False,-8.5,-12.37,4,half_space_right,2,middle_third,False,8_1,110,,,,3,drawing,0,0,0,,,,,,,,1,create,9,medium_block,,,,,,,,,,,,,False,False,1.29,152.49,2,backward,False,False,11.85,1,jogging,1.8,1.76,-0.04,15.9,15.79,24.13,24.29,0.16,36.6,36.71,0.11,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,424,3,False,,,False,,,False,,,,,,,15.5,2,medium,-50.73,4,sideway_right,,,,,,,True,10,10,0,3,ahead,3,ahead,15.5,15.19,-18.04,-0.6,3,center,1,defensive_third,False,-18.17,-0.66,3,center,1,defensive_third,False,False,False,,False,False,0.0008,0.9448,0.6094,True,110,True,,,,,,,3,False,,,,True,True,,,False
7_1,3,1947621,110,115,00:10.0,00:10.5,0,10,0.5,1,2,right_to_left,7,passing_option,,,560989,T. MrÄela,4,LCB,809166,A. Lebib,6,RCB,871,Perth Glory,-20.53,8.77,3,center,1,defensive_third,False,-20.93,8.7,3,center,1,defensive_third,False,8_1,110,,,,3,drawing,0,0,0,,,,,,,,1,create,9,medium_block,,,,,,,,,,,,,False,False,0.31,-170.07,2,backward,False,False,2.92,1,jogging,16.04,14.73,-1.31,15.9,15.31,36.43,36.24,-0.19,36.6,37.19,0.59,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,424,3,False,,,False,,,False,,,,,,,9.7,1,short,104.88,3,sideway_left,,,,,,,False,10,10,0,2,same_line,2,same_line,9.7,10.14,-18.04,-0.6,3,center,1,defensive_third,False,-18.83,-1.22,3,center,1,defensive_third,False,False,False,,False,False,0.0002,0.9967,0.8309,True,110,True,,,,,,,4,True,,,,True,True,,,False
7_2,4,1947621,110,119,00:10.0,00:10.9,0,10,0.9,1,2,right_to_left,7,passing_option,,,11897,J. Risdon,8,RB,809166,A. Lebib,6,RCB,871,Perth Glory,-17.68,-23.93,5,wide_right,1,defensive_third,False,-19.49,-23.91,5,wide_right,1,defensive_third,False,8_1,110,,,,3,drawing,0,0,0,,,,,,,,1,create,9,medium_block,,,,,,,,,,,,,False,False,1.59,179.37,2,backward,False,False,7.2,1,jogging,15.57,5.41,-10.15,15.9,14.61,33.58,34.1,0.52,36.6,37.89,1.29,False,False,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,424,3,False,,,False,,,False,,,,,,,21.77,2,medium,-89.5,4,sideway_right,18.6,2,medium,-74.31,4,sideway_right,False,10,10,0,2,same_line,2,same_line,23.33,21.77,-18.04,-0.6,3,center,1,defensive_third,False,-19.68,-2.14,3,center,1,defensive_third,False,True,True,True,False,False,0.0,0.9951,0.9796,True,119,True,,,,,,,4,True,,,,True,True,,True,False
7_3,5,1947621,116,119,00:10.6,00:10.9,0,10,0.3,1,2,right_to_left,7,passing_option,,,51021,O. Sail,1,GK,809166,A. Lebib,6,RCB,871,Perth Glory,-40.19,-0.79,3,center,1,defensive_third,False,-40.23,-1.11,3,center,1,defensive_third,False,8_1,110,,,,3,drawing,0,0,0,,,,,,,,1,create,9,medium_block,,,,,,,,,,,,,False,False,0.37,-98.3,4,sideway_right,False,False,,,,31.33,29.32,-2.01,15.17,14.61,55.36,54.84,-0.52,37.33,37.89,0.56,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,424,3,False,,,False,,,False,,,,,,,21.18,2,medium,178.27,2,backward,,,,,,,False,10,10,0,1,behind,1,behind,21.18,20.58,-19.02,-1.43,3,center,1,defensive_third,False,-19.68,-2.14,3,center,1,defensive_third,False,False,False,,False,False,0.0,0.9968,0.6523,True,116,False,,,,,,,4,True,,,,True,True,,,True
7_4,6,1947621,119,119,00:10.9,00:10.9,0,10,0.0,1,2,right_to_left,7,passing_option,,,560987,T. Ostler,17,RW,809166,A. Lebib,6,RCB,871,Perth Glory,7.35,-20.81,5,wide_right,2,middle_third,False,7.35,-20.81,5,wide_right,2,middle_third,False,8_1,110,,,,3,drawing,0,0,0,,,,,,,,1,create,9,medium_block,,,,,,,,,,,,,False,False,0.0,4.64,1,forward,False,False,10.71,1,jogging,6.05,6.05,0.0,14.61,14.61,7.26,7.26,0.0,37.89,37.89,0.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,424,3,True,1,through,True,2,around,False,,,2,second_last,2,around,32.85,3,long,-34.63,1,forward,,,,,,,True,10,5,5,3,ahead,3,ahead,32.85,32.85,-19.68,-2.14,3,center,1,defensive_third,False,-19.68,-2.14,3,center,1,defensive_third,False,False,False,,False,True,0.0023,0.487,0.724,True,119,False,,,,,,,3,True,,,,True,True,,,False
8_2,7,1947621,134,138,00:12.4,00:12.8,0,12,0.4,1,2,right_to_left,8,player_possession,,,11897,J. Risdon,8,RB,,,,,871,Perth Glory,-21.58,-21.04,5,wide_right,1,defensive_third,False,-21.62,-20.37,5,wide_right,1,defensive_third,False,,,,,,3,drawing,0,0,0,3,False,False,True,False,3,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.75,95.84,3,sideway_left,,,6.47,1,jogging,5.41,4.33,-1.08,10.53,10.56,32.11,32.18,0.07,41.97,41.94,-0.03,False,False,1,pass_reception,1,pass,False,True,False,False,False,False,False,-74.31,4,sideway_right,18.6,2,medium,2,unsuccessful,7_8,,560987,T. Ostler,17,RW,7.98,-24.53,5,wide_right,2,middle_third,False,,,,,,,,0.4405,True,0.0009,False,5,0,3,1,2,0,4,0,0,3,2,,,,,7,7,True,424,3,True,,,True,,,False,,,2,second_last,2,around,29.89,2,medium,-8.0,1,forward,,,,,,,True,10,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,True,True,True,False,False
7_5,8,1947621,134,136,00:12.4,00:12.6,0,12,0.2,1,2,right_to_left,7,passing_option,,,51021,O. Sail,1,GK,11897,J. Risdon,8,RB,871,Perth Glory,-40.43,-4.12,3,center,1,defensive_third,False,-40.38,-4.73,3,center,1,defensive_third,False,8_2,134,,,,3,drawing,0,0,0,,,,,,,,1,create,9,medium_block,,,,,,,,,,,,,False,False,1.15,-84.09,4,sideway_right,False,False,,,,22.22,21.85,-0.37,10.53,10.43,50.96,50.81,-0.15,41.97,42.07,0.1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,424,3,False,,,False,,,False,,,,,,,25.33,2,medium,138.09,2,backward,,,,,,,False,10,10,0,1,behind,1,behind,25.33,24.6,-21.58,-21.04,5,wide_right,1,defensive_third,False,-21.64,-20.67,5,wide_right,1,defensive_third,False,False,False,,False,False,0.0,0.9537,0.7814,True,134,True,,,,,,,4,True,,,,True,True,,,False
7_6,9,1947621,134,138,00:12.4,00:12.8,0,12,0.4,1,2,right_to_left,7,passing_option,,,795530,N. Pennington,14,RM,11897,J. Risdon,8,RB,871,Perth Glory,-14.75,-12.57,4,half_space_right,2,middle_third,False,-15.03,-13.88,4,half_space_right,2,middle_third,False,8_2,134,,,,3,drawing,0,0,0,,,,,,,,1,create,9,medium_block,,,,,,,,,,,,,False,False,1.41,-105.34,4,sideway_right,False,False,12.43,1,jogging,5.05,5.27,0.22,10.53,10.56,25.28,25.59,0.31,41.97,41.94,-0.03,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,424,3,False,,,False,,,False,,,,,,,10.88,1,short,51.12,3,sideway_left,,,,,,,True,10,8,2,3,ahead,3,ahead,10.88,9.25,-21.58,-21.04,5,wide_right,1,defensive_third,False,-21.62,-20.37,5,wide_right,1,defensive_third,False,False,False,,False,False,0.0003,0.8495,0.8462,True,134,True,,,,,,,4,True,,,,True,True,,,False
