event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,second_last_line_break,last_line_break,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,1947621,93,93,00:08.3,00:08.3,0,8,0.0,1,2,right_to_left,8,player_possession,211,A. Taggart,19,CF,871,Perth Glory,0.76,-0.98,3,center,2,middle_third,False,0.76,-0.98,3,center,2,middle_third,False,3,drawing,0,0,0,1,True,False,False,True,3,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.0,106.7,3,sideway_left,,,0.78,1,jogging,8.83,8.83,0.0,17.43,17.43,16.67,16.67,0.0,35.07,35.07,0.0,True,True,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,809166,A. Lebib,6.0,RCB,-17.74,-1.28,3,center,1,defensive_third,False,-18.04,-0.6,3,center,1,defensive_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,21.63,2,medium,179.05,2,backward,,,,,8,8,0,True,True,,True,False
8_1,1,1947621,110,119,00:10.0,00:10.9,0,10,0.9,1,2,right_to_left,8,player_possession,809166,A. Lebib,6,RCB,871,Perth Glory,-18.04,-0.6,3,center,1,defensive_third,False,-19.68,-2.14,3,center,1,defensive_third,False,3,drawing,0,0,0,2,False,False,False,False,3,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,1.92,-136.8,2,backward,,,9.01,1,jogging,15.4,10.09,-5.31,15.9,14.61,33.94,34.29,0.35,36.6,37.89,1.29,False,False,1,pass_reception,1,pass,False,True,False,False,False,False,False,179.05,2,backward,21.63,2,medium,1,successful,7_2,False,11897,J. Risdon,8.0,RB,-19.49,-23.91,5,wide_right,1,defensive_third,False,-21.58,-21.04,5,wide_right,1,defensive_third,False,0.9951,False,0.0,False,5,0,1,0,1,0,2,0,0,4,1,3,4,1,2,8,8,True,424.0,3,False,False,False,,,,,21.77,2,medium,-89.5,4,sideway_right,18.6,2,medium,-74.31,4,sideway_right,False,10,10,0,10,10,0,True,True,True,True,False
8_2,2,1947621,134,138,00:12.4,00:12.8,0,12,0.4,1,2,right_to_left,8,player_possession,11897,J. Risdon,8,RB,871,Perth Glory,-21.58,-21.04,5,wide_right,1,defensive_third,False,-21.62,-20.37,5,wide_right,1,defensive_third,False,3,drawing,0,0,0,3,False,False,True,False,3,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.75,95.84,3,sideway_left,,,6.47,1,jogging,5.41,4.33,-1.08,10.53,10.56,32.11,32.18,0.07,41.97,41.94,-0.03,False,False,1,pass_reception,1,pass,False,True,False,False,False,False,False,-74.31,4,sideway_right,18.6,2,medium,2,unsuccessful,7_8,,560987,T. Ostler,17.0,RW,7.98,-24.53,5,wide_right,2,middle_third,False,,,,,,,,0.4405,True,0.0009,False,5,0,3,1,2,0,4,0,0,3,2,,,,,7,7,True,424.0,3,True,True,False,2,second_last,2,around,29.89,2,medium,-8.0,1,forward,,,,,,,True,10,4,6,10,10,0,True,True,True,False,False
8_3,3,1947621,213,213,00:20.3,00:20.3,0,20,0.0,1,2,right_to_left,8,player_possession,11897,J. Risdon,8,RB,871,Perth Glory,-6.71,-14.08,4,half_space_right,2,middle_third,False,-6.71,-14.08,4,half_space_right,2,middle_third,False,3,drawing,0,0,1,1,False,True,True,True,1,True,6,direct,15,defending_direct,10,high_block,0,build_up,1,create,9,medium_block,,,,,False,False,0.0,177.4,2,backward,,,1.53,1,jogging,3.39,3.39,0.0,14.72,14.72,21.43,21.43,0.0,37.78,37.78,0.0,False,False,3,keep_possession,1,pass,True,False,False,False,False,False,False,,,,,,,2,unsuccessful,7_10,,211,A. Taggart,19.0,CF,14.05,-4.89,3,center,2,middle_third,False,,,,,,,,0.397,True,0.0095,False,3,0,3,1,1,1,3,0,0,1,2,,,,,7,7,True,424.0,3,True,True,True,3,last,1,through,22.7,2,medium,23.88,1,forward,,,,,,,True,10,2,8,10,10,0,True,True,,True,False
8_4,4,1947621,257,283,00:24.7,00:27.3,0,24,2.6,1,1,left_to_right,8,player_possession,159946,M. Sutton,1,GK,1803,Western United,-41.85,15.84,2,half_space_left,1,defensive_third,False,-42.21,7.85,3,center,1,defensive_third,False,3,drawing,0,0,2,1,True,False,False,True,4,True,0,build_up,10,high_block,12,defending_quick_break,3,quick_break,15,defending_direct,6,direct,,,,,False,False,8.24,-92.58,4,sideway_right,False,True,11.33,1,jogging,7.83,9.72,1.89,4.93,3.12,46.78,45.33,-1.45,47.57,49.38,1.81,False,False,2,pass_interception,1,pass,False,False,True,False,False,True,False,,,,,,,1,successful,,,51008,T. Imai,6.0,RCB,-39.7,-8.28,3,center,1,defensive_third,False,-39.98,-11.09,4,half_space_right,1,defensive_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,,,,,,,,,,,,,,,11.35,1,short,-68.18,4,sideway_right,,,,,10,10,0,True,True,True,True,False
8_5,5,1947621,299,326,00:28.9,00:31.6,0,28,2.7,1,1,left_to_right,8,player_possession,51008,T. Imai,6,RCB,1803,Western United,-39.98,-11.09,4,half_space_right,1,defensive_third,False,-36.5,-14.05,4,half_space_right,1,defensive_third,False,3,drawing,0,0,2,2,False,False,False,False,4,True,0,build_up,10,high_block,12,defending_quick_break,3,quick_break,15,defending_direct,6,direct,,,,,False,False,5.1,-40.38,1,forward,False,False,6.78,1,jogging,14.74,5.49,-9.25,3.49,3.87,43.47,40.37,-3.1,49.01,48.63,-0.38,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,-68.18,4,sideway_right,11.35,1,short,1,successful,7_15,False,159946,M. Sutton,1.0,GK,-44.22,-3.69,3,center,1,defensive_third,False,-44.04,-3.18,3,center,1,defensive_third,False,0.9983,False,0.0,False,4,0,0,0,0,0,1,0,0,4,0,2,2,1,1,8,9,True,4132.0,3,False,False,False,,,,,12.92,1,short,126.69,3,sideway_left,12.89,1,short,124.06,3,sideway_left,False,10,10,0,10,10,0,True,True,True,True,False
8_6,6,1947621,337,351,00:32.7,00:34.1,0,32,1.4,1,1,left_to_right,8,player_possession,159946,M. Sutton,1,GK,1803,Western United,-44.04,-3.18,3,center,1,defensive_third,False,-44.55,-0.56,3,center,1,defensive_third,False,3,drawing,0,0,2,3,False,False,False,False,4,True,0,build_up,10,high_block,12,defending_quick_break,3,quick_break,15,defending_direct,6,direct,,,,,False,False,2.7,101.02,3,sideway_left,False,False,6.8,1,jogging,9.72,5.04,-4.68,3.3,2.4,47.34,46.95,-0.39,49.2,50.1,0.9,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,124.06,3,sideway_left,12.89,1,short,1,successful,7_17,False,957737,D. Leonard,4.0,LCB,-41.3,16.56,2,half_space_left,1,defensive_third,False,-39.89,19.34,2,half_space_left,1,defensive_third,False,0.994,False,0.0,False,2,0,0,0,0,0,2,0,0,2,0,2,2,2,2,10,10,True,4132.0,3,False,False,False,,,,,17.43,2,medium,79.25,3,sideway_left,16.78,2,medium,73.84,3,sideway_left,True,10,9,1,10,10,0,True,True,True,True,False
8_7,7,1947621,363,381,00:35.3,00:37.1,0,35,1.8,1,1,left_to_right,8,player_possession,957737,D. Leonard,4,LCB,1803,Western United,-39.89,19.34,2,half_space_left,1,defensive_third,False,-34.59,23.83,1,wide_left,1,defensive_third,False,3,drawing,0,0,2,4,False,True,True,False,4,True,0,build_up,10,high_block,12,defending_quick_break,3,quick_break,15,defending_direct,6,direct,,,,,False,False,6.96,40.27,1,forward,True,False,13.24,1,jogging,8.11,0.75,-7.36,1.9,1.98,41.79,36.57,-5.22,50.6,50.52,-0.08,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,73.84,3,sideway_left,16.78,2,medium,2,unsuccessful,7_21,,26844,R. Danzaki,16.0,LW,-9.78,27.19,1,wide_left,2,middle_third,False,,,,,,,,0.6311,True,0.0008,False,3,1,2,1,1,0,3,0,0,2,1,3,3,3,3,8,8,True,4132.0,3,True,True,False,2,second_last,1,through,25.04,2,medium,7.71,1,forward,,,,,,,True,9,4,5,9,9,0,True,True,True,True,False
8_8,8,1947621,387,398,00:37.7,00:38.8,0,37,1.1,1,2,right_to_left,8,player_possession,560987,T. Ostler,17,RW,871,Perth Glory,25.02,-27.55,5,wide_right,3,attacking_third,False,26.52,-27.82,5,wide_right,3,attacking_third,False,3,drawing,0,0,3,1,True,False,False,True,2,True,3,quick_break,12,defending_quick_break,10,high_block,0,build_up,10,high_block,0,build_up,,,,,True,False,1.62,-10.2,1,forward,,,6.21,1,jogging,8.5,4.22,-4.28,39.03,36.72,14.01,10.2,-3.81,13.47,15.78,2.31,True,True,2,pass_interception,1,pass,False,False,False,False,False,False,False,,,,,,,1,successful,7_24,False,211,A. Taggart,19.0,CF,33.55,-10.75,4,half_space_right,3,attacking_third,False,35.22,-13.1,4,half_space_right,3,attacking_third,False,0.8098,False,0.0107,False,3,0,0,0,0,0,2,0,0,3,0,3,3,2,2,3,3,False,,,,,,,,,,18.46,2,medium,67.62,3,sideway_left,17.74,2,medium,73.22,3,sideway_left,True,6,1,5,6,6,0,True,True,True,True,False
8_9,9,1947621,409,416,00:39.9,00:40.6,0,39,0.7,1,2,right_to_left,8,player_possession,211,A. Taggart,19,CF,871,Perth Glory,35.22,-13.1,4,half_space_right,3,attacking_third,False,37.12,-13.37,4,half_space_right,3,attacking_third,True,3,drawing,0,0,3,2,False,True,True,False,2,True,3,quick_break,12,defending_quick_break,10,high_block,0,build_up,10,high_block,0,build_up,,,8,goal_kick_against,True,False,1.64,-8.09,1,forward,,,9.9,1,jogging,3.95,2.06,-1.89,37.66,39.88,2.44,2.76,0.32,14.84,12.62,-2.22,True,True,1,pass_reception,2,shot,False,False,False,True,False,False,False,73.22,3,sideway_left,17.74,2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,True,True,True,,False
