event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched
1_0,0,1955904,39,61,00:02.9,00:05.1,0,2,2.2,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,18573,J. Lolley,17,RW,28293,LÃ©o Sena,9,LDM,869,Sydney FC,2.75,-33.02,5,wide_right,2,middle_third,False,14.22,-33.52,5,wide_right,2,middle_third,False,8_1,39,3,drawing,0,0,0,1,create,9,medium_block,False,False,11.48,-2.5,1,forward,False,False,18.61,2,running,13.4,11.77,-1.63,23.02,22.99,20.27,8.77,-11.5,29.48,29.51,0.03,False,False,3,ahead,3,ahead,37.7,37.4,-9.91,2.49,3,center,2,middle_third,False,-8.84,-4.07,3,center,2,middle_third,False,False,False,,False,True,0.0015,0.5971,0.7989,True,False,0,False,,,,False,4,8,4,True,True,
1_1,1,1955904,156,168,00:14.6,00:15.8,0,14,1.2,1,2,right_to_left,1,off_ball_run,2,coming_short,28293,LÃ©o Sena,9,LDM,51048,J. King,2,LB,869,Sydney FC,-5.74,13.93,2,half_space_left,2,middle_third,False,-5.51,19.19,2,half_space_left,2,middle_third,False,8_5,166,3,drawing,0,0,0,1,create,9,medium_block,False,False,5.27,87.5,3,sideway_left,False,False,15.76,2,running,5.88,5.01,-0.87,15.4,17.18,21.14,22.69,1.55,37.1,35.32,-1.78,True,True,1,behind,2,same_line,19.61,13.23,-1.61,33.1,1,wide_left,2,middle_third,False,-4.49,32.38,1,wide_left,2,middle_third,False,False,False,,False,False,0.0011,0.9829,0.8483,True,True,0,False,,,,True,8,8,0,True,True,
1_2,2,1955904,188,195,00:17.8,00:18.5,0,17,0.7,1,2,right_to_left,1,off_ball_run,4,dropping_off,808964,H. Matthews,4,LCB,51048,J. King,2,LB,869,Sydney FC,-19.25,32.05,1,wide_left,1,defensive_third,False,-22.52,31.51,1,wide_left,1,defensive_third,False,8_5,166,3,drawing,0,0,0,1,create,9,medium_block,False,False,2.79,-170.62,2,backward,False,False,17.11,2,running,8.77,9.55,0.78,14.64,12.71,33.89,35.23,1.34,37.86,39.79,1.93,False,False,1,behind,1,behind,7.55,8.8,-11.9,30.31,1,wide_left,2,middle_third,False,-13.72,31.24,1,wide_left,2,middle_third,False,True,True,True,False,False,0.0003,0.9831,0.8307,True,True,0,False,,,,False,10,10,0,True,True,True
1_3,3,1955904,413,430,00:40.3,00:42.0,0,40,1.7,1,1,left_to_right,1,off_ball_run,1,behind,211,A. Taggart,19,CF,795530,N. Pennington,14,RM,871,Perth Glory,32.91,-11.78,4,half_space_right,3,attacking_third,False,37.6,-4.71,3,center,3,attacking_third,True,8_12,409,3,drawing,0,0,3,2,finish,8,low_block,False,False,8.18,56.44,3,sideway_left,False,True,18.09,2,running,4.28,3.07,-1.22,37.49,37.41,4.58,-0.19,-4.77,15.01,15.09,0.08,True,False,3,ahead,3,ahead,21.83,26.71,22.98,-31.22,5,wide_right,3,attacking_third,False,23.06,-27.12,5,wide_right,3,attacking_third,False,True,False,,True,True,0.0527,0.3879,0.8071,True,False,1,False,False,False,True,False,0,4,4,True,True,
1_4,4,1955904,417,430,00:40.7,00:42.0,0,40,1.3,1,1,left_to_right,1,off_ball_run,3,cross_receiver,795533,J. Carluccio,16,LW,795530,N. Pennington,14,RM,871,Perth Glory,32.59,-1.63,3,center,3,attacking_third,False,36.88,3.59,3,center,3,attacking_third,True,8_12,409,3,drawing,0,0,3,2,finish,8,low_block,False,False,6.32,50.59,3,sideway_left,False,False,18.51,2,running,2.83,2.06,-0.77,36.99,37.41,4.4,0.53,-3.87,15.51,15.09,-0.42,False,False,3,ahead,3,ahead,30.1,33.68,23.5,-30.32,5,wide_right,3,attacking_third,False,23.06,-27.12,5,wide_right,3,attacking_third,False,False,False,,True,True,0.0503,0.5056,0.9095,True,False,1,False,,,,True,2,4,2,True,True,
1_5,5,1955904,443,460,00:43.3,00:45.0,0,43,1.7,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,18573,J. Lolley,17,RW,133852,C. Hollman,11,RDM,869,Sydney FC,-27.11,-5.31,3,center,1,defensive_third,False,-19.42,-9.96,4,half_space_right,1,defensive_third,False,8_13,431,3,drawing,0,0,3,14,disruption,14,disruption,False,False,8.47,-31.16,1,forward,True,False,19.05,2,running,5.34,5.98,0.64,-0.79,2.73,26.32,22.15,-4.17,53.29,49.77,-3.52,False,False,2,same_line,3,ahead,18.86,22.1,-28.38,13.51,2,half_space_left,1,defensive_third,False,-23.52,11.76,2,half_space_left,1,defensive_third,False,False,False,,False,False,0.0017,0.8348,0.6174,True,False,0,False,,,,True,5,5,0,True,True,
1_6,6,1955904,699,728,01:08.9,01:11.8,1,8,2.9,1,2,right_to_left,1,off_ball_run,7,pulling_wide,51045,A. CÃ¡ceres,15,AM,795547,Z. de Jesus,8,RB,869,Sydney FC,-12.27,-10.77,4,half_space_right,2,middle_third,False,-13.17,-25.65,5,wide_right,2,middle_third,False,8_19,712,3,drawing,0,0,6,0,build_up,10,high_block,False,False,15.47,-93.46,4,sideway_right,True,False,19.59,2,running,5.68,6.36,0.68,3.21,3.18,15.48,16.35,0.87,49.29,49.32,0.03,True,True,3,ahead,3,ahead,21.97,11.77,-26.83,-27.22,5,wide_right,1,defensive_third,False,-24.58,-28.52,5,wide_right,1,defensive_third,False,False,False,,False,False,0.0007,0.6583,0.9283,True,True,1,False,,,,True,5,5,0,True,True,
1_7,7,1955904,720,734,01:11.0,01:12.4,1,11,1.4,1,2,right_to_left,1,off_ball_run,2,coming_short,18573,J. Lolley,17,RW,795547,Z. de Jesus,8,RB,869,Sydney FC,-9.34,-33.98,5,wide_right,2,middle_third,False,-16.86,-34.16,5,wide_right,2,middle_third,False,8_19,712,3,drawing,0,0,6,0,build_up,10,high_block,False,False,7.55,-178.63,2,backward,False,False,19.15,2,running,6.96,2.9,-4.06,3.16,3.42,12.5,20.28,7.78,49.34,49.08,-0.26,False,False,3,ahead,3,ahead,18.39,8.0,-26.76,-28.08,5,wide_right,1,defensive_third,False,-22.54,-28.53,5,wide_right,1,defensive_third,False,True,True,False,False,False,0.0001,0.7441,0.9634,True,True,1,False,,,,True,5,4,-1,True,True,True
1_8,8,1955904,735,744,01:12.5,01:13.4,1,12,0.9,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,795547,Z. de Jesus,8,RB,18573,J. Lolley,17,RW,869,Sydney FC,-22.13,-28.49,5,wide_right,1,defensive_third,False,-17.96,-27.75,5,wide_right,1,defensive_third,False,8_20,734,3,drawing,0,0,7,1,create,9,medium_block,False,False,3.74,10.06,1,forward,False,False,16.92,2,running,3.68,3.66,-0.02,3.48,4.27,25.61,22.23,-3.38,49.02,48.23,-0.79,True,True,1,behind,2,same_line,7.37,4.9,-17.31,-34.06,5,wide_right,2,middle_third,False,-19.39,-32.44,5,wide_right,1,defensive_third,False,True,True,True,False,False,0.0001,0.8235,0.8243,True,True,0,True,,,,True,6,6,0,True,True,True
1_9,9,1955904,979,1020,01:36.9,01:41.0,1,36,4.1,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,51045,A. CÃ¡ceres,15,AM,808964,H. Matthews,4,LCB,869,Sydney FC,-9.27,-8.05,3,center,2,middle_third,False,5.43,6.93,3,center,2,middle_third,False,8_24,978,3,drawing,0,0,10,1,create,9,medium_block,False,False,20.62,45.54,3,sideway_left,False,False,16.93,2,running,4.34,2.78,-1.55,3.79,19.27,13.06,13.84,0.78,48.71,33.23,-15.48,True,True,3,ahead,3,ahead,34.15,22.09,-24.18,22.67,1,wide_left,1,defensive_third,False,-2.16,27.68,1,wide_left,2,middle_third,False,False,False,,False,True,0.0109,0.4702,0.6163,True,False,1,False,,,,False,5,5,0,True,True,
1_10,10,1955904,993,1024,01:38.3,01:41.4,1,38,3.1,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,25534,A. Ouahim,16,LW,808964,H. Matthews,4,LCB,869,Sydney FC,-1.43,15.68,2,half_space_left,2,middle_third,False,13.98,23.84,1,wide_left,2,middle_third,False,8_24,978,3,drawing,0,0,10,1,create,9,medium_block,False,False,17.09,27.9,1,forward,True,False,17.97,2,running,3.2,4.97,1.77,7.05,20.62,8.48,6.64,-1.84,45.45,31.88,-13.57,True,True,3,ahead,3,ahead,19.36,15.26,-17.97,25.74,1,wide_left,1,defensive_third,False,-0.89,27.25,1,wide_left,2,middle_third,False,False,False,,False,True,0.0069,0.5979,0.9617,True,True,1,False,,,,True,3,5,2,True,True,
1_11,11,1955904,1021,1039,01:41.1,01:42.9,1,41,1.8,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,51045,A. CÃ¡ceres,15,AM,51048,J. King,2,LB,869,Sydney FC,5.99,7.27,3,center,2,middle_third,False,14.37,12.57,2,half_space_left,2,middle_third,False,8_25,1030,3,drawing,0,0,10,1,create,9,medium_block,False,False,9.92,32.31,1,forward,True,False,16.21,2,running,2.84,3.57,0.73,19.64,22.95,13.65,8.58,-5.07,32.86,29.55,-3.31,True,True,2,same_line,3,ahead,24.99,20.64,5.98,32.26,1,wide_left,2,middle_third,False,6.47,31.64,1,wide_left,2,middle_third,False,False,False,,False,True,0.0127,0.4003,0.8298,True,True,0,False,,,,True,3,5,2,True,True,
1_12,12,1955904,1211,1246,02:00.1,02:03.6,2,0,3.5,1,2,right_to_left,1,off_ball_run,9,support,51045,A. CÃ¡ceres,15,AM,25534,A. Ouahim,16,LW,869,Sydney FC,14.2,4.46,3,center,2,middle_third,False,30.98,5.97,3,center,3,attacking_third,False,8_29,1215,3,drawing,0,0,12,2,finish,8,low_block,True,False,16.78,5.14,1,forward,False,False,17.62,2,running,7.44,4.9,-2.54,23.93,37.68,9.73,6.7,-3.03,28.57,14.82,-13.75,True,True,2,same_line,2,same_line,16.96,16.86,13.53,21.41,1,wide_left,2,middle_third,False,31.2,22.83,1,wide_left,3,attacking_third,False,False,False,,True,True,0.0715,0.3386,0.7105,True,True,2,False,,,,True,3,3,0,True,True,
1_13,13,1955904,1211,1272,02:00.1,02:06.2,2,0,6.1,1,2,right_to_left,1,off_ball_run,5,overlap,51048,J. King,2,LB,25534,A. Ouahim,16,LW,869,Sydney FC,8.06,28.17,1,wide_left,2,middle_third,False,45.16,26.7,1,wide_left,3,attacking_third,False,8_29,1215,3,drawing,0,0,12,2,finish,8,low_block,True,False,37.52,-2.27,1,forward,False,False,22.28,3,hsr,2.68,4.77,2.09,23.93,45.6,15.87,0.44,-15.43,28.57,6.9,-21.67,True,False,1,behind,3,ahead,8.7,15.19,13.53,21.41,1,wide_left,2,middle_third,False,32.58,18.18,2,half_space_left,3,attacking_third,False,True,True,True,True,False,0.0266,0.838,0.8662,True,False,2,True,,,,False,2,6,4,True,True,True
1_14,14,1955904,1232,1258,02:02.2,02:04.8,2,2,2.6,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,17231,P. Klimala,19,CF,25534,A. Ouahim,16,LW,869,Sydney FC,27.17,10.09,2,half_space_left,3,attacking_third,False,37.75,2.43,3,center,3,attacking_third,True,8_29,1215,3,drawing,0,0,12,2,finish,8,low_block,True,False,13.07,-35.9,1,forward,False,True,18.02,2,running,4.64,3.76,-0.88,31.72,41.7,4.55,3.95,-0.6,20.78,10.8,-9.98,True,True,2,same_line,3,ahead,14.49,18.15,25.19,24.44,1,wide_left,3,attacking_third,False,31.38,19.43,2,half_space_left,3,attacking_third,False,False,False,,True,True,0.0395,0.6184,0.8589,True,True,2,False,,,,True,2,3,1,True,True,
1_15,15,1955904,1249,1275,02:03.9,02:06.5,2,3,2.6,1,2,right_to_left,1,off_ball_run,3,cross_receiver,18573,J. Lolley,17,RW,51048,J. King,2,LB,869,Sydney FC,30.9,-14.7,4,half_space_right,3,attacking_third,False,40.9,-6.13,3,center,3,attacking_third,True,8_30,1273,3,drawing,0,0,12,2,finish,8,low_block,True,False,13.33,40.6,1,forward,False,True,18.39,2,running,15.12,5.58,-9.54,38.73,45.93,7.83,5.03,-2.8,13.77,6.57,-7.2,False,False,2,same_line,1,behind,39.91,33.68,31.23,25.21,1,wide_left,3,attacking_third,False,46.25,27.12,1,wide_left,3,attacking_third,False,False,False,,True,True,0.0525,0.4032,0.6799,True,True,0,False,,,,True,5,4,-1,True,True,
1_16,16,1955904,2455,2470,04:04.5,04:06.0,4,4,1.5,1,2,right_to_left,1,off_ball_run,4,dropping_off,51048,J. King,2,LB,808964,H. Matthews,4,LCB,869,Sydney FC,-28.2,-0.65,3,center,1,defensive_third,False,-31.96,4.5,3,center,1,defensive_third,False,8_33,2460,3,drawing,0,0,13,0,build_up,10,high_block,False,False,5.98,126.13,3,sideway_left,False,False,15.31,2,running,7.98,12.47,4.49,5.22,4.11,33.42,36.07,2.65,47.28,48.39,1.11,False,False,2,same_line,2,same_line,13.65,16.51,-30.57,-14.09,4,half_space_right,1,defensive_third,False,-32.0,-12.01,4,half_space_right,1,defensive_third,False,True,True,True,False,False,0.0001,0.997,0.982,True,True,0,False,,,,True,10,9,-1,True,True,True
