index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,team_in_possession_id,attacking_side,team_in_possession_shortname,n_player_possessions_in_phase,team_possession_loss_in_phase,team_possession_lead_to_goal,team_possession_lead_to_shot,team_in_possession_phase_type,team_in_possession_phase_type_id,team_out_of_possession_phase_type,team_out_of_possession_phase_type_id,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,team_in_possession_width_start,team_in_possession_width_end,team_in_possession_length_start,team_in_possession_length_end,team_out_of_possession_width_start,team_out_of_possession_width_end,team_out_of_possession_length_start,team_out_of_possession_length_end
0,2012868,2302,2393,00:01.2,00:10.3,0,1,9.1,1,2,1804,right_to_left,Macarthur FC,4,False,False,False,create,1,medium_block,9,-0.52,4.66,3,center,2,middle_third,False,-19.1,-18.55,4,half_space_right,1,defensive_third,False,57.86,54.85,39.86,59.11,37.26,37.44,40.35,52.15
1,2012868,2393,2446,00:10.3,00:15.6,0,10,5.3,1,2,1804,right_to_left,Macarthur FC,1,True,False,False,build_up,0,high_block,10,-20.31,-17.94,4,half_space_right,1,defensive_third,False,-28.45,15.68,2,half_space_left,1,defensive_third,False,54.91,59.35,58.93,50.5,37.36,40.45,52.51,61.3
2,2012868,2446,2512,00:15.6,00:22.2,0,15,6.6,1,1,870,left_to_right,CC Mariners,1,False,False,False,quick_break,3,defending_quick_break,12,28.48,-16.2,4,half_space_right,3,attacking_third,False,45.87,-29.7,5,wide_right,3,attacking_third,False,40.47,46.16,61.65,75.97,59.06,39.28,50.52,41.82
3,2012868,2512,2582,00:22.2,00:29.2,0,22,7.0,1,1,870,left_to_right,CC Mariners,2,False,False,False,finish,2,low_block,8,44.89,-29.87,5,wide_right,3,attacking_third,False,5.61,-10.01,4,half_space_right,2,middle_third,False,46.25,57.71,75.68,58.97,39.1,33.83,41.54,31.62
4,2012868,2582,2598,00:29.2,00:30.8,0,29,1.6,1,1,870,left_to_right,CC Mariners,1,False,False,False,create,1,medium_block,9,5.22,-9.7,4,half_space_right,2,middle_third,False,4.97,-7.94,3,center,2,middle_third,False,57.9,60.28,58.85,57.22,33.87,35.15,31.8,33.46
5,2012868,2598,2604,00:30.8,00:31.4,0,30,0.6,1,1,870,left_to_right,CC Mariners,1,False,False,False,finish,2,low_block,8,5.01,-8.15,3,center,2,middle_third,False,5.1,-9.3,4,half_space_right,2,middle_third,False,60.41,60.87,57.12,56.65,35.24,35.71,33.52,33.82
6,2012868,2604,2608,00:31.4,00:31.8,0,31,0.4,1,1,870,left_to_right,CC Mariners,1,False,False,False,create,1,medium_block,9,5.02,-9.49,4,half_space_right,2,middle_third,False,4.97,-10.13,4,half_space_right,2,middle_third,False,60.95,61.17,56.58,56.58,35.83,36.22,33.87,33.98
7,2012868,2608,2676,00:31.8,00:38.6,0,31,6.8,1,1,870,left_to_right,CC Mariners,2,True,False,False,finish,2,low_block,8,5.13,-10.21,4,half_space_right,2,middle_third,False,48.21,8.62,3,center,3,attacking_third,True,61.24,35.29,56.64,85.24,36.37,29.93,34.01,28.42
8,2012868,2676,2693,00:38.6,00:40.3,0,38,1.7,1,2,1804,right_to_left,Macarthur FC,1,False,False,False,chaotic,5,chaotic,5,-47.95,-8.96,3,center,1,defensive_third,False,-46.62,-11.3,4,half_space_right,1,defensive_third,False,29.64,29.95,28.08,26.77,35.37,36.37,85.17,83.4
9,2012868,2693,2730,00:40.3,00:44.0,0,40,3.7,1,2,1804,right_to_left,Macarthur FC,1,True,False,False,direct,6,defending_direct,15,-45.96,-11.9,4,half_space_right,1,defensive_third,False,-8.35,-25.58,5,wide_right,2,middle_third,False,29.92,34.93,26.77,36.21,36.28,43.81,83.28,79.63
10,2012868,2730,2850,00:44.0,00:56.0,0,44,12.0,1,1,870,left_to_right,CC Mariners,5,False,False,False,create,1,medium_block,9,7.41,25.48,1,wide_left,2,middle_third,False,18.0,32.59,1,wide_left,3,attacking_third,False,44.03,62.41,79.53,58.45,35.14,39.78,36.82,41.9
11,2012868,2850,2898,00:56.0,01:00.8,0,56,4.8,1,1,870,left_to_right,CC Mariners,1,True,False,False,finish,2,low_block,8,18.49,32.58,1,wide_left,3,attacking_third,False,50.51,11.14,2,half_space_left,3,attacking_third,True,62.12,44.65,58.6,75.15,39.89,28.68,41.75,33.33
12,2012868,2898,3159,01:00.8,01:26.9,1,0,26.1,1,2,1804,right_to_left,Macarthur FC,2,True,False,False,chaotic,5,chaotic,5,-50.63,-9.46,4,half_space_right,1,defensive_third,False,9.01,-26.91,5,wide_right,2,middle_third,False,28.51,45.02,33.11,53.74,44.65,30.38,75.5,50.7
