event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched
1_0,0,1818633,78,99,00:06.8,00:08.9,0,6,2.1,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,818284,O. Lavale,19,CF,159946,M. Sutton,1,GK,1803,Western United,4.8,10.77,2,half_space_left,2,middle_third,False,15.32,10.15,2,half_space_left,2,middle_third,False,8_1,84,3,drawing,0,0,0,1,create,9,medium_block,False,False,10.14,-3.37,1,forward,False,False,17.95,2,running,8.87,5.01,-3.86,15.4,20.28,10.6,4.96,-5.64,37.1,32.22,-4.88,True,True,3,ahead,3,ahead,45.45,54.82,-39.7,1.52,3,center,1,defensive_third,False,-38.79,1.36,3,center,1,defensive_third,False,False,False,,False,False,0.0045,0.7594,0.8189,True,True,1,False,,,,True,5,7,2,False,False,
1_1,1,1818633,82,100,00:07.2,00:09.0,0,7,1.8,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,26994,H. Ibusuki,19,CF,159946,M. Sutton,1,GK,1803,Western United,4.67,2.22,3,center,2,middle_third,False,11.75,6.18,3,center,2,middle_third,False,8_1,84,3,drawing,0,0,0,1,create,9,medium_block,False,False,8.17,29.22,1,forward,False,False,16.26,2,running,3.48,0.95,-2.52,15.62,20.55,10.95,8.8,-2.15,36.88,31.95,-4.93,True,True,3,ahead,3,ahead,44.32,50.7,-39.64,1.43,3,center,1,defensive_third,False,-38.72,1.36,3,center,1,defensive_third,False,False,False,,False,False,0.0015,0.7505,0.8212,True,False,1,False,,,,False,5,7,2,False,False,
1_2,2,1818633,110,199,00:10.0,00:18.9,0,10,8.9,1,1,left_to_right,1,off_ball_run,4,dropping_off,957737,D. Leonard,4,LCB,159946,M. Sutton,1,GK,1803,Western United,-12.19,8.17,3,center,2,middle_third,False,-34.47,17.43,2,half_space_left,1,defensive_third,False,8_2,169,3,drawing,0,0,1,0,build_up,10,high_block,False,False,50.59,157.43,2,backward,True,False,20.56,3,hsr,6.55,8.93,2.38,22.93,6.27,35.12,40.74,5.62,29.57,46.23,16.66,True,False,3,ahead,3,ahead,27.47,15.59,-38.9,1.74,3,center,1,defensive_third,False,-44.08,5.16,3,center,1,defensive_third,False,False,False,,False,False,0.0002,0.985,0.934,True,True,0,False,,,,True,10,9,-1,False,False,
1_3,3,1818633,291,342,00:28.1,00:33.2,0,28,5.1,1,2,right_to_left,1,off_ball_run,1,behind,19052,B. Borrello,19,CF,13542,B. Kraev,16,LW,2902,Western Sydney,7.21,-13.75,4,half_space_right,2,middle_third,False,37.92,2.68,3,center,3,attacking_third,True,8_5,296,3,drawing,0,0,3,4,transition,11,defending_transition,False,False,34.51,28.15,1,forward,False,True,24.45,3,hsr,4.04,1.24,-2.8,13.29,37.46,6.08,-0.46,-6.54,39.21,15.04,-24.17,True,False,2,same_line,3,ahead,12.43,8.77,4.36,-1.65,3,center,2,middle_third,False,29.5,5.14,3,center,3,attacking_third,False,False,False,,True,True,0.068,0.5047,0.7539,True,True,3,False,True,True,False,True,0,3,3,True,True,
1_4,4,1818633,294,360,00:28.4,00:35.0,0,28,6.6,1,2,right_to_left,1,off_ball_run,5,overlap,51664,J. Clisby,2,LB,13542,B. Kraev,16,LW,2902,Western Sydney,-7.55,9.66,2,half_space_left,2,middle_third,False,34.47,18.64,2,half_space_left,3,attacking_third,False,8_5,296,3,drawing,0,0,3,4,transition,11,defending_transition,False,False,43.3,12.06,1,forward,False,False,23.48,3,hsr,7.14,4.17,-2.97,13.87,39.05,21.42,4.58,-16.84,38.63,13.45,-25.18,False,False,1,behind,3,ahead,17.21,15.62,5.34,-1.74,3,center,2,middle_third,False,28.47,4.22,3,center,3,attacking_third,False,False,False,,False,False,0.0177,0.8491,0.9536,True,False,3,False,,,,False,4,9,5,True,True,
1_5,5,1818633,307,357,00:29.7,00:34.7,0,29,5.0,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,5521,Juan Mata,19,CF,13542,B. Kraev,16,LW,2902,Western Sydney,14.31,-17.83,4,half_space_right,2,middle_third,False,33.45,-0.57,3,center,3,attacking_third,False,8_5,296,3,drawing,0,0,3,4,transition,11,defending_transition,False,False,26.44,42.04,1,forward,False,True,18.95,2,running,5.36,2.19,-3.16,18.95,39.34,4.64,5.89,1.25,33.55,13.16,-20.39,True,True,3,ahead,3,ahead,15.92,7.1,10.62,-2.34,3,center,2,middle_third,False,28.81,4.8,3,center,3,attacking_third,False,False,False,,True,False,0.0353,0.6718,0.8056,True,True,3,False,,,,True,4,3,-1,True,True,
1_6,6,1818633,309,347,00:29.9,00:33.7,0,29,3.8,1,2,right_to_left,1,off_ball_run,9,support,51036,N. Milanovic,17,RW,13542,B. Kraev,16,LW,2902,Western Sydney,8.94,-26.29,5,wide_right,2,middle_third,False,26.66,-20.39,5,wide_right,3,attacking_third,False,8_5,296,3,drawing,0,0,3,4,transition,11,defending_transition,False,False,18.69,18.42,1,forward,False,False,15.8,2,running,6.85,7.36,0.51,19.96,39.07,11.02,12.41,1.39,32.54,13.43,-19.11,False,False,2,same_line,1,behind,24.17,26.45,11.66,-2.27,3,center,2,middle_third,False,29.85,5.87,3,center,3,attacking_third,False,True,True,True,False,False,0.0167,0.9523,0.9455,True,False,3,False,,,,False,7,5,-2,True,True,True
1_7,7,1818633,411,418,00:40.1,00:40.8,0,40,0.7,1,2,right_to_left,1,off_ball_run,3,cross_receiver,51664,J. Clisby,2,LB,51036,N. Milanovic,17,RW,2902,Western Sydney,44.0,10.06,2,half_space_left,3,attacking_third,True,46.31,8.14,3,center,3,attacking_third,True,8_6,376,3,drawing,0,0,3,4,transition,11,defending_transition,False,False,2.59,-39.73,1,forward,False,True,15.34,2,running,3.7,2.85,-0.85,46.5,48.51,2.5,2.2,-0.3,6.0,3.99,-2.01,False,False,2,same_line,2,same_line,25.95,22.13,43.74,-15.89,4,half_space_right,3,attacking_third,True,48.12,-13.92,4,half_space_right,3,attacking_third,True,False,False,,True,True,0.1982,0.4935,0.7253,True,False,0,False,,,,True,4,3,-1,True,True,
1_8,8,1818633,913,936,01:30.3,01:32.6,1,30,2.3,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,957737,D. Leonard,4,LCB,159946,M. Sutton,1,GK,1803,Western United,-45.61,9.47,2,half_space_left,1,defensive_third,False,-35.67,13.05,2,half_space_left,1,defensive_third,False,8_9,899,3,drawing,0,0,6,0,build_up,10,high_block,False,False,10.12,19.81,1,forward,False,False,16.5,2,running,12.28,5.98,-6.3,1.15,2.51,46.76,38.18,-8.58,51.35,49.99,-1.36,False,False,2,same_line,3,ahead,5.77,9.71,-46.38,3.75,3,center,1,defensive_third,False,-41.54,5.32,3,center,1,defensive_third,False,False,False,,False,False,0.0002,0.9571,0.6391,True,True,0,False,,,,True,9,10,1,True,True,
1_9,9,1818633,1294,1318,02:08.4,02:10.8,2,8,2.4,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,26844,R. Danzaki,17,RW,51701,S. Pasquali,14,RM,1803,Western United,6.74,-14.61,4,half_space_right,2,middle_third,False,15.96,-15.85,4,half_space_right,2,middle_third,False,8_20,1301,3,drawing,0,0,8,1,create,9,medium_block,False,False,11.68,-7.66,1,forward,False,False,17.44,2,running,2.42,4.99,2.57,25.67,20.91,18.93,4.95,-13.98,26.83,31.59,4.76,True,True,2,same_line,3,ahead,8.68,13.92,4.79,-6.15,3,center,2,middle_third,False,3.07,-10.59,4,half_space_right,2,middle_third,False,False,False,,True,True,0.0216,0.4742,0.7585,True,True,0,False,,,,True,3,5,2,True,True,
