event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,high_pass,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_passing_options,passing_option_at_pass_moment,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched,fully_extrapolated
7_0,0,2014968,2361,2370,00:03.1,00:04.0,0,3,0.9,1,1,left_to_right,7,passing_option,51644,R. Grant,8,RB,51048,J. King,2,LB,869,Sydney FC,10.3,-32.07,5,wide_right,2,middle_third,False,14.29,-31.29,5,wide_right,2,middle_third,False,8_1,2352,1_0,8,run_ahead_of_the_ball,3,drawing,0,0,0,1,create,9,medium_block,False,False,3.62,11.06,1,forward,False,False,16.25,2,running,13.27,3.06,-10.21,20.2,22.0,9.9,7.71,-2.19,32.3,30.5,-1.8,False,False,True,True,451.0,2,,,,True,2,around,False,,,2,second_last,2,around,45.73,3,long,-41.28,1,forward,41.99,3,long,-43.19,1,forward,True,10,5,5,3,ahead,3,ahead,42.73,45.73,-20.32,-2.26,3,center,1,defensive_third,False,-20.07,-1.12,3,center,1,defensive_third,False,True,True,True,False,True,0.003,0.58,0.9157,True,2370,False,1,True,True,True,True,False
7_1,1,2014968,2369,2370,00:03.9,00:04.0,0,3,0.1,1,1,left_to_right,7,passing_option,133854,A. Segecic,16,LW,51048,J. King,2,LB,869,Sydney FC,10.53,-12.0,4,half_space_right,2,middle_third,False,10.86,-11.95,4,half_space_right,2,middle_third,False,8_1,2352,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,1.33,9.01,1,forward,False,False,11.99,1,jogging,6.39,6.63,0.24,21.75,22.0,11.22,11.14,-0.08,30.75,30.5,-0.25,True,True,,True,451.0,2,,,,True,1,through,False,,,2,second_last,1,through,32.77,3,long,-19.3,1,forward,,,,,,,True,10,4,6,3,ahead,3,ahead,32.53,32.77,-20.15,-1.2,3,center,1,defensive_third,False,-20.07,-1.12,3,center,1,defensive_third,False,False,False,,False,True,0.0055,0.5936,0.8026,True,2370,False,1,True,True,True,,False
7_2,2,2014968,2395,2395,00:06.5,00:06.5,0,6,0.0,1,1,left_to_right,7,passing_option,133854,A. Segecic,16,LW,51644,R. Grant,8,RB,869,Sydney FC,18.2,-16.22,4,half_space_right,3,attacking_third,False,18.2,-16.22,4,half_space_right,3,attacking_third,False,8_2,2395,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.0,-59.13,4,sideway_right,False,False,14.5,1,jogging,6.79,6.79,0.0,25.47,25.47,7.27,7.27,0.0,27.03,27.03,0.0,True,True,,True,451.0,2,,,,True,2,around,False,,,2,second_last,2,around,13.39,1,short,62.52,3,sideway_left,,,,,,,True,6,4,2,3,ahead,3,ahead,13.39,13.39,12.02,-28.1,5,wide_right,2,middle_third,False,12.02,-28.1,5,wide_right,2,middle_third,False,True,False,,False,False,0.0051,0.6592,0.8826,True,2395,True,1,True,True,True,,False
7_3,3,2014968,2395,2395,00:06.5,00:06.5,0,6,0.0,1,1,left_to_right,7,passing_option,560894,A. Popovic,6,RCB,51644,R. Grant,8,RB,869,Sydney FC,-4.88,-20.64,5,wide_right,2,middle_third,False,-4.88,-20.64,5,wide_right,2,middle_third,False,8_2,2395,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.0,-87.41,4,sideway_right,False,False,14.26,1,jogging,12.71,12.71,0.0,25.47,25.47,30.35,30.35,0.0,27.03,27.03,0.0,False,False,,True,451.0,2,,,,False,,,False,,,,,,,18.47,2,medium,156.18,2,backward,,,,,,,False,6,9,-3,1,behind,1,behind,18.47,18.47,12.02,-28.1,5,wide_right,2,middle_third,False,12.02,-28.1,5,wide_right,2,middle_third,False,False,False,,False,False,0.0004,0.9701,0.858,True,2395,True,1,True,True,True,,False
7_4,4,2014968,2410,2410,00:08.0,00:08.0,0,8,0.0,1,2,right_to_left,7,passing_option,26095,A. Kuen,12,LM,771861,Z. Schreiber,10,DM,2380,Melbourne City,-9.69,18.99,2,half_space_left,2,middle_third,False,-9.69,18.99,2,half_space_left,2,middle_third,False,8_3,2410,,,,3,drawing,0,0,1,5,chaotic,5,chaotic,False,False,0.0,145.2,2,backward,False,False,7.31,1,jogging,2.5,2.5,0.0,13.08,13.08,22.77,22.77,0.0,39.42,39.42,0.0,True,True,,False,,,,,,,,,,,,,,,,5.7,1,short,43.08,1,forward,,,,,,,True,8,7,1,3,ahead,3,ahead,5.7,5.7,-13.85,15.1,2,half_space_left,2,middle_third,False,-13.85,15.1,2,half_space_left,2,middle_third,False,False,False,,False,False,0.0011,0.8746,0.9161,True,2410,True,2,True,True,True,,False
7_5,5,2014968,2410,2410,00:08.0,00:08.0,0,8,0.0,1,2,right_to_left,7,passing_option,159941,M. Tilio,16,LW,771861,Z. Schreiber,10,DM,2380,Melbourne City,-12.6,29.12,1,wide_left,2,middle_third,False,-12.6,29.12,1,wide_left,2,middle_third,False,8_3,2410,,,,3,drawing,0,0,1,5,chaotic,5,chaotic,False,False,0.0,52.13,3,sideway_left,False,False,5.07,1,jogging,5.89,2.39,-3.5,13.08,13.08,25.68,25.68,0.0,39.42,39.42,0.0,False,False,False,False,,,,,,,,,,,,,,,,14.08,1,short,84.91,3,sideway_left,10.43,1,short,85.82,3,sideway_left,False,8,7,1,2,same_line,2,same_line,14.08,14.08,-13.85,15.1,2,half_space_left,2,middle_third,False,-13.85,15.1,2,half_space_left,2,middle_third,False,True,True,False,False,False,0.0008,0.9072,0.8475,True,2410,True,2,True,True,True,True,False
7_6,6,2014968,2410,2410,00:08.0,00:08.0,0,8,0.0,1,2,right_to_left,7,passing_option,159945,M. Caputo,19,CF,771861,Z. Schreiber,10,DM,2380,Melbourne City,12.92,8.83,3,center,2,middle_third,False,12.92,8.83,3,center,2,middle_third,False,8_3,2410,,,,3,drawing,0,0,1,5,chaotic,5,chaotic,False,False,0.0,143.13,2,backward,False,False,,,,3.8,3.8,0.0,13.08,13.08,0.16,0.16,0.0,39.42,39.42,0.0,False,False,,False,,,,,,,,,,,,,,,,27.49,2,medium,-13.18,1,forward,,,,,,,True,8,1,7,3,ahead,3,ahead,27.49,27.49,-13.85,15.1,2,half_space_left,2,middle_third,False,-13.85,15.1,2,half_space_left,2,middle_third,False,False,False,,False,True,0.0086,0.5825,0.7906,True,2410,True,2,True,True,True,,True
7_7,7,2014968,2424,2429,00:09.4,00:09.9,0,9,0.5,1,2,right_to_left,7,passing_option,26095,A. Kuen,12,LM,159941,M. Tilio,16,LW,2380,Melbourne City,-7.68,22.62,1,wide_left,2,middle_third,False,-5.99,24.21,1,wide_left,2,middle_third,False,8_4,2424,1_1,8,run_ahead_of_the_ball,3,drawing,0,0,1,5,chaotic,5,chaotic,False,False,1.85,43.25,1,forward,False,False,16.68,2,running,1.99,1.77,-0.22,11.21,10.81,18.89,16.8,-2.09,41.29,41.69,0.4,True,True,,True,523.0,3,False,,,True,2,around,False,,,2,second_last,2,around,5.28,1,short,-78.65,4,sideway_right,,,,,,,False,7,5,2,2,same_line,2,same_line,7.18,5.28,-8.94,29.69,1,wide_left,2,middle_third,False,-7.03,29.39,1,wide_left,2,middle_third,False,False,False,,False,False,0.0026,0.6936,0.7888,True,2429,True,1,False,True,True,,False
7_8,8,2014968,2424,2429,00:09.4,00:09.9,0,9,0.5,1,2,right_to_left,7,passing_option,159945,M. Caputo,19,CF,159941,M. Tilio,16,LW,2380,Melbourne City,9.7,10.92,2,half_space_left,2,middle_third,False,8.61,11.82,2,half_space_left,2,middle_third,False,8_4,2424,,,,3,drawing,0,0,1,5,chaotic,5,chaotic,False,False,1.12,140.45,2,backward,False,False,,,,3.08,3.08,0.01,11.21,10.81,1.51,2.2,0.69,41.29,41.69,0.4,True,True,,True,523.0,3,False,,,True,2,around,False,,,2,second_last,2,around,24.12,2,medium,-47.62,4,sideway_right,,,,,,,True,7,1,6,3,ahead,3,ahead,26.45,23.52,-8.94,29.69,1,wide_left,2,middle_third,False,-7.03,29.39,1,wide_left,2,middle_third,False,False,False,,False,False,0.0054,0.8386,0.9559,True,2428,True,1,False,True,True,,True
7_9,9,2014968,2456,2456,00:12.6,00:12.6,0,12,0.0,1,2,right_to_left,7,passing_option,26095,A. Kuen,12,LM,771861,Z. Schreiber,10,DM,2380,Melbourne City,2.99,23.75,1,wide_left,2,middle_third,False,2.99,23.75,1,wide_left,2,middle_third,False,8_5,2456,,,,3,drawing,0,0,1,5,chaotic,5,chaotic,False,False,0.0,-20.79,1,forward,False,False,8.46,1,jogging,2.78,2.67,-0.12,14.35,14.35,11.36,11.36,0.0,38.15,38.15,0.0,True,True,False,False,,,,,,,,,,,,,,,,6.52,1,short,4.57,1,forward,4.2,1,short,17.74,1,forward,True,7,4,3,3,ahead,3,ahead,6.52,6.52,-3.51,23.23,1,wide_left,2,middle_third,False,-3.51,23.23,1,wide_left,2,middle_third,False,True,True,False,False,False,0.0066,0.7975,0.9018,True,2456,True,2,True,True,True,True,False
