event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_simultaneous_passing_options,passing_option_at_pass_moment,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,1927964,20,20,00:01.0,00:01.0,0,1,0.0,1,2,right_to_left,8,player_possession,,,23909,K. Barbarouses,19,CF,,,,,867,Wellington P FC,-0.14,-1.81,3,center,2,middle_third,False,-0.14,-1.81,3,center,2,middle_third,False,,,,,,3,drawing,0,0,0,1,True,False,True,True,1,False,1,create,9,medium_block,0,build_up,10,high_block,,,,,,,,,False,False,0.0,-15.75,1,forward,,,,,,5.23,5.23,0.0,17.41,17.41,17.55,17.55,0.0,35.09,35.09,0.0,True,True,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,34718,J. Oluwayemi,1,GK,-27.72,-1.17,3,center,1,defensive_third,False,-27.05,-2.95,3,center,1,defensive_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,33.32,3,long,177.73,2,backward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,0,False,False,,True,True
1_0,1,1927964,39,58,00:02.9,00:04.8,0,2,1.9,1,2,right_to_left,1,off_ball_run,4,dropping_off,698137,I. Hughes,4,LCB,34718,J. Oluwayemi,1,GK,867,Wellington P FC,-18.29,4.81,3,center,1,defensive_third,False,-20.52,-4.54,3,center,1,defensive_third,False,8_1,44,,,,3,drawing,0,0,2,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,9.45,-103.41,4,sideway_right,False,False,18.52,2,running,8.67,1.4,-7.27,19.93,22.21,38.22,42.73,4.51,32.57,30.29,-2.28,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ahead,3,ahead,11.75,4.65,-27.75,-2.16,3,center,1,defensive_third,False,-25.14,-5.04,3,center,1,defensive_third,False,False,False,,False,False,0.0003,0.9555,0.6694,True,,True,2,False,,,,False,,,10,10,0,True,True,,,
1_1,2,1927964,42,63,00:03.2,00:05.3,0,3,2.1,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,51017,T. Payne,7,RWB,34718,J. Oluwayemi,1,GK,867,Wellington P FC,1.92,-17.72,4,half_space_right,2,middle_third,False,13.07,-16.67,4,half_space_right,2,middle_third,False,8_1,44,,,,3,drawing,0,0,2,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,10.8,5.38,1,forward,False,False,19.35,2,running,2.5,1.67,-0.84,20.33,23.51,18.41,10.44,-7.97,32.17,28.99,-3.18,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ahead,3,ahead,32.92,39.69,-27.33,-2.61,3,center,1,defensive_third,False,-24.92,-5.17,3,center,1,defensive_third,False,False,False,,False,False,0.001,0.68,0.7076,True,,False,2,False,,,,False,,,4,8,4,True,True,,,
8_1,3,1927964,44,53,00:03.4,00:04.3,0,3,0.9,1,2,right_to_left,8,player_possession,,,34718,J. Oluwayemi,1,GK,,,,,867,Wellington P FC,-27.05,-2.95,3,center,1,defensive_third,False,-26.07,-4.28,3,center,1,defensive_third,False,,,,,,3,drawing,0,0,2,1,False,True,True,True,1,True,6,direct,15,defending_direct,9,medium_block,1,create,0,build_up,10,high_block,,,,,False,False,1.45,-53.62,4,sideway_right,,,6.96,1,jogging,14.51,8.13,-6.38,20.59,21.87,47.64,47.94,0.3,31.91,30.63,-1.28,False,False,1,pass_reception,1,pass,False,True,False,False,False,False,False,177.73,2,backward,33.32,3,long,1,successful,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,0,2,0,3,0,0,3,0,2,3,2,3,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,True,True,False,,False
7_0,4,1927964,44,53,00:03.4,00:04.3,0,3,0.9,1,2,right_to_left,7,passing_option,,,957734,C. Piper,6,RCB,34718,J. Oluwayemi,1,GK,867,Wellington P FC,6.62,-30.91,5,wide_right,2,middle_third,False,10.08,-31.08,5,wide_right,2,middle_third,False,8_1,44,1_2,8,run_ahead_of_the_ball,3,drawing,0,0,2,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,3.1,-2.81,1,forward,False,False,13.94,1,jogging,12.33,12.41,0.07,20.59,21.87,13.97,11.79,-2.18,31.91,30.63,-1.28,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4411,2,,,,True,2,around,False,,,2,second_last,2,around,44.09,3,long,-39.01,1,forward,,,,,,,True,10,6,4,3,ahead,3,ahead,43.77,45.0,-27.05,-2.95,3,center,1,defensive_third,False,-26.07,-4.28,3,center,1,defensive_third,False,False,False,,False,False,0.0011,0.6795,0.8761,True,46,True,,,,,,,2,True,,,,True,True,,,False
7_1,5,1927964,48,51,00:03.8,00:04.1,0,3,0.3,1,2,right_to_left,7,passing_option,,,698137,I. Hughes,4,LCB,34718,J. Oluwayemi,1,GK,867,Wellington P FC,-18.4,0.35,3,center,1,defensive_third,False,-18.77,-1.38,3,center,1,defensive_third,False,8_1,44,1_0,4,dropping_off,3,drawing,0,0,2,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,2.29,-99.2,4,sideway_right,False,False,20.63,3,hsr,3.17,1.95,-1.22,21.18,21.73,39.58,40.5,0.92,31.32,30.77,-0.55,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4411,2,,,,False,,,False,,,,,,,9.18,1,short,25.06,1,forward,,,,,,,True,10,10,0,3,ahead,3,ahead,9.18,8.08,-26.72,-3.54,3,center,1,defensive_third,False,-26.42,-3.97,3,center,1,defensive_third,False,False,False,,False,False,0.0003,0.9555,0.6694,True,48,True,,,,,,,2,True,,,,True,True,,,False
7_2,6,1927964,51,53,00:04.1,00:04.3,0,4,0.2,1,2,right_to_left,7,passing_option,,,51017,T. Payne,7,RWB,34718,J. Oluwayemi,1,GK,867,Wellington P FC,6.33,-16.47,4,half_space_right,2,middle_third,False,7.46,-16.38,4,half_space_right,2,middle_third,False,8_1,44,1_1,8,run_ahead_of_the_ball,3,drawing,0,0,2,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,2.22,8.25,1,forward,False,False,20.06,3,hsr,2.46,2.92,0.45,21.73,21.87,15.4,14.41,-0.99,30.77,30.63,-0.14,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4411,2,,,,True,1,through,False,,,2,second_last,1,through,35.65,3,long,-19.84,1,forward,,,,,,,True,10,7,3,3,ahead,3,ahead,35.05,35.65,-26.42,-3.97,3,center,1,defensive_third,False,-26.07,-4.28,3,center,1,defensive_third,False,False,False,,False,False,0.001,0.68,0.7076,True,53,False,,,,,,,2,True,,,,True,True,,,False
1_2,7,1927964,56,63,00:04.6,00:05.3,0,4,0.7,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,957734,C. Piper,6,RCB,34718,J. Oluwayemi,1,GK,867,Wellington P FC,11.22,-31.01,5,wide_right,2,middle_third,False,14.33,-30.14,5,wide_right,2,middle_third,False,8_1,44,,,,3,drawing,0,0,2,,,,,,,,6,direct,15,defending_direct,,,,,,,,,,,,,False,False,2.79,15.63,1,forward,False,False,16.46,2,running,11.41,9.72,-1.69,21.99,23.51,10.77,9.18,-1.59,30.51,28.99,-1.52,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ahead,3,ahead,45.1,46.52,-25.48,-4.8,3,center,1,defensive_third,False,-24.92,-5.17,3,center,1,defensive_third,False,False,False,,False,False,0.0008,0.7222,0.932,True,,True,2,False,,,,True,,,4,5,1,True,True,,,
8_2,8,1927964,111,156,00:10.1,00:14.6,0,10,4.5,1,1,left_to_right,8,player_possession,,,13542,B. Kraev,17,RW,,,,,2902,Western Sydney,-16.65,10.1,2,half_space_left,2,middle_third,False,-9.86,16.48,2,half_space_left,2,middle_third,False,,,,,,3,drawing,0,0,3,1,True,False,False,True,9,False,1,create,9,medium_block,,,,,15,defending_direct,6,direct,,,,,False,False,14.07,43.22,1,forward,False,False,11.68,1,jogging,1.38,2.59,1.21,10.05,6.88,26.7,16.74,-9.96,42.45,45.62,3.17,True,True,4,recovery,1,pass,False,False,True,False,False,False,False,,,,,,,1,successful,7_9,False,51664,J. Clisby,2,LB,-15.5,29.57,1,wide_left,2,middle_third,False,-13.93,31.63,1,wide_left,2,middle_third,False,0.9972,False,0.0006,False,8,2,0,0,0,0,4,0,0,8,0,3,2,1,4,3,3,True,532,3,False,,,False,,,False,,,,,,,14.25,1,short,113.31,3,sideway_left,11.63,1,short,133.47,3,sideway_left,False,7,10,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,-2,True,True,,True,False
7_3,9,1927964,111,111,00:10.1,00:10.1,0,10,0.0,1,1,left_to_right,7,passing_option,,,51036,N. Milanovic,16,LW,13542,B. Kraev,17,RW,2902,Western Sydney,-16.47,27.23,1,wide_left,2,middle_third,False,-16.47,27.23,1,wide_left,2,middle_third,False,8_2,111,,,,3,drawing,0,0,3,,,,,,,,1,create,9,medium_block,,,,,,,,,,,,,False,False,0.0,46.25,3,sideway_left,False,False,9.45,1,jogging,7.59,7.59,0.0,10.05,10.05,26.52,26.52,0.0,42.45,42.45,0.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,532,3,False,,,False,,,False,,,,,,,16.3,2,medium,68.47,3,sideway_left,,,,,,,True,7,5,2,2,same_line,2,same_line,17.13,17.13,-16.65,10.1,2,half_space_left,2,middle_third,False,-16.65,10.1,2,half_space_left,2,middle_third,False,False,False,,False,False,0.0022,0.9151,0.7131,True,156,True,,,,,,,2,False,,,,True,True,,,False
