event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched
1_0,0,1927964,39,58,00:02.9,00:04.8,0,2,1.9,1,2,right_to_left,1,off_ball_run,4,dropping_off,698137,I. Hughes,4,LCB,34718,J. Oluwayemi,1,GK,867,Wellington P FC,-18.29,4.81,3,center,1,defensive_third,False,-20.52,-4.54,3,center,1,defensive_third,False,8_1,44,3,drawing,0,0,2,6,direct,15,defending_direct,False,False,9.45,-103.41,4,sideway_right,False,False,18.52,2,running,8.67,1.4,-7.27,19.93,22.21,38.22,42.73,4.51,32.57,30.29,-2.28,False,False,3,ahead,3,ahead,11.75,4.65,-27.75,-2.16,3,center,1,defensive_third,False,-25.14,-5.04,3,center,1,defensive_third,False,False,False,,False,False,0.0003,0.9555,0.6694,True,True,2,False,,,,False,10,10,0,True,True,
1_1,1,1927964,42,63,00:03.2,00:05.3,0,3,2.1,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,51017,T. Payne,7,RWB,34718,J. Oluwayemi,1,GK,867,Wellington P FC,1.92,-17.72,4,half_space_right,2,middle_third,False,13.07,-16.67,4,half_space_right,2,middle_third,False,8_1,44,3,drawing,0,0,2,6,direct,15,defending_direct,False,False,10.8,5.38,1,forward,False,False,19.35,2,running,2.5,1.67,-0.84,20.33,23.51,18.41,10.44,-7.97,32.17,28.99,-3.18,False,True,3,ahead,3,ahead,32.92,39.69,-27.33,-2.61,3,center,1,defensive_third,False,-24.92,-5.17,3,center,1,defensive_third,False,False,False,,False,False,0.001,0.68,0.7076,True,False,2,False,,,,False,4,8,4,True,True,
1_2,2,1927964,56,63,00:04.6,00:05.3,0,4,0.7,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,957734,C. Piper,6,RCB,34718,J. Oluwayemi,1,GK,867,Wellington P FC,11.22,-31.01,5,wide_right,2,middle_third,False,14.33,-30.14,5,wide_right,2,middle_third,False,8_1,44,3,drawing,0,0,2,6,direct,15,defending_direct,False,False,2.79,15.63,1,forward,False,False,16.46,2,running,11.41,9.72,-1.69,21.99,23.51,10.77,9.18,-1.59,30.51,28.99,-1.52,False,False,3,ahead,3,ahead,45.1,46.52,-25.48,-4.8,3,center,1,defensive_third,False,-24.92,-5.17,3,center,1,defensive_third,False,False,False,,False,False,0.0008,0.7222,0.932,True,True,2,False,,,,True,4,5,1,True,True,
1_3,3,1927964,112,153,00:10.2,00:14.3,0,10,4.1,1,1,left_to_right,1,off_ball_run,9,support,33430,G. ClÃ©Ã¹r,8,RB,13542,B. Kraev,17,RW,2902,Western Sydney,-31.77,-0.89,3,center,1,defensive_third,False,-11.31,-15.15,4,half_space_right,2,middle_third,False,8_2,111,3,drawing,0,0,3,1,create,9,medium_block,False,False,24.55,-34.88,1,forward,True,False,21.74,3,hsr,2.32,8.88,6.56,9.81,6.45,41.58,17.76,-23.82,42.69,46.05,3.36,False,False,1,behind,2,same_line,18.98,30.25,-16.35,10.18,2,half_space_left,2,middle_third,False,-10.15,15.08,2,half_space_left,2,middle_third,False,False,False,,False,False,0.0041,0.9242,0.795,True,False,1,False,,,,False,7,9,2,True,True,
1_4,4,1927964,137,144,00:12.7,00:13.4,0,12,0.7,1,1,left_to_right,1,off_ball_run,9,support,51664,J. Clisby,2,LB,13542,B. Kraev,17,RW,2902,Western Sydney,-21.66,26.45,1,wide_left,1,defensive_third,False,-18.88,27.38,1,wide_left,1,defensive_third,False,8_2,111,3,drawing,0,0,3,1,create,9,medium_block,False,False,2.52,18.5,1,forward,False,False,15.09,2,running,11.61,8.25,-3.36,5.09,5.63,26.75,24.51,-2.24,47.41,46.87,-0.54,False,False,1,behind,1,behind,20.63,18.4,-11.61,8.43,3,center,2,middle_third,False,-10.99,10.76,2,half_space_left,2,middle_third,False,True,True,True,False,False,0.0006,0.9972,0.9544,True,False,1,False,,,,True,8,8,0,True,True,True
1_5,5,1927964,393,406,00:38.3,00:39.6,0,38,1.3,1,1,left_to_right,1,off_ball_run,6,pulling_half_space,13542,B. Kraev,17,RW,957034,D. Pelekanos,6,RCB,2902,Western Sydney,9.14,-10.76,4,half_space_right,2,middle_third,False,6.07,-15.91,4,half_space_right,2,middle_third,False,8_9,396,3,drawing,0,0,3,1,create,9,medium_block,True,True,5.53,-120.8,4,sideway_right,False,False,16.54,2,running,6.86,4.53,-2.33,17.05,16.02,7.91,9.95,2.04,35.45,36.48,1.03,True,True,3,ahead,3,ahead,24.5,20.93,-15.24,-13.16,4,half_space_right,2,middle_third,False,-14.85,-15.29,4,half_space_right,2,middle_third,False,False,False,,False,False,0.0012,0.9547,0.8145,True,True,0,False,,,,True,6,4,-2,True,True,
1_6,6,1927964,407,426,00:39.7,00:41.6,0,39,1.9,1,1,left_to_right,1,off_ball_run,7,pulling_wide,13542,B. Kraev,17,RW,33430,G. ClÃ©Ã¹r,8,RB,2902,Western Sydney,5.86,-16.31,4,half_space_right,2,middle_third,False,3.89,-24.23,5,wide_right,2,middle_third,False,8_10,418,3,drawing,0,0,4,6,direct,15,defending_direct,True,True,7.83,-103.97,4,sideway_right,True,False,15.63,2,running,4.38,3.27,-1.11,15.99,17.17,10.13,13.28,3.15,36.51,35.33,-1.18,True,True,3,ahead,3,ahead,19.55,13.91,-8.16,-29.93,5,wide_right,2,middle_third,False,-8.74,-30.07,5,wide_right,2,middle_third,False,False,False,,False,False,0.0008,0.9242,0.8936,True,True,1,False,,,,True,8,6,-2,True,True,
1_7,7,1927964,407,468,00:39.7,00:45.8,0,39,6.1,1,1,left_to_right,1,off_ball_run,1,behind,19052,B. Borrello,19,CF,33430,G. ClÃ©Ã¹r,8,RB,2902,Western Sydney,18.57,1.25,3,center,3,attacking_third,False,39.61,-21.25,5,wide_right,3,attacking_third,False,8_10,418,3,drawing,0,0,4,6,direct,15,defending_direct,True,True,35.65,-46.92,4,sideway_right,True,False,21.34,3,hsr,2.7,5.27,2.58,15.99,36.86,-2.58,-2.75,-0.17,36.51,15.64,-20.87,False,False,3,ahead,3,ahead,41.07,43.45,-8.16,-29.93,5,wide_right,2,middle_third,False,-3.45,-27.04,5,wide_right,2,middle_third,False,True,True,True,False,True,0.01,0.515,0.9863,True,True,1,False,False,True,True,True,0,0,0,True,True,True
1_8,8,1927964,441,496,00:43.1,00:48.6,0,43,5.5,1,1,left_to_right,1,off_ball_run,3,cross_receiver,795526,Z. Sapsford,19,CF,19052,B. Borrello,19,CF,2902,Western Sydney,15.7,-1.34,3,center,2,middle_third,False,41.62,-5.13,3,center,3,attacking_third,True,8_11,468,3,drawing,0,0,5,2,finish,8,low_block,True,True,26.94,-8.32,1,forward,False,False,18.0,2,running,5.47,2.53,-2.94,23.57,46.45,7.87,4.83,-3.04,28.93,6.05,-22.88,True,True,1,behind,1,behind,14.68,16.05,23.55,-13.74,4,half_space_right,3,attacking_third,False,46.09,-20.54,5,wide_right,3,attacking_third,False,True,True,False,True,True,0.1072,0.3496,0.8803,True,True,1,False,,,,True,3,3,0,True,True,True
1_9,9,1927964,446,486,00:43.6,00:47.6,0,43,4.0,1,1,left_to_right,1,off_ball_run,9,support,13542,B. Kraev,17,RW,19052,B. Borrello,19,CF,2902,Western Sydney,7.04,-28.83,5,wide_right,2,middle_third,False,30.54,-18.47,4,half_space_right,3,attacking_third,False,8_11,468,3,drawing,0,0,5,2,finish,8,low_block,True,True,26.42,23.79,1,forward,False,True,23.69,3,hsr,1.76,4.9,3.14,26.85,44.77,19.81,14.23,-5.58,25.65,7.73,-17.92,False,True,1,behind,1,behind,24.12,15.18,26.8,-14.99,4,half_space_right,3,attacking_third,False,45.39,-21.61,5,wide_right,3,attacking_third,False,False,False,,True,True,0.0216,0.5108,0.7478,True,True,1,False,,,,True,6,7,1,True,True,
