event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,second_last_line_break,last_line_break,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,1874552,37,37,00:02.7,00:02.7,0,2,0.0,1,2,right_to_left,8,player_possession,19052,B. Borrello,19,CF,2902,Western Sydney,0.31,-0.55,3,center,2,middle_third,False,0.31,-0.55,3,center,2,middle_third,False,3,drawing,0,0,0,1,True,False,True,True,2,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.0,45.0,3,sideway_left,,,0.39,1,jogging,8.84,8.84,0.0,20.26,20.26,19.95,19.95,0.0,32.24,32.24,0.0,True,True,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,795524,D. Scicluna,14.0,RM,-13.92,-2.51,3,center,2,middle_third,False,-13.43,-1.39,3,center,2,middle_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,,,,,,,,,,,,,,,,,16.6,2,medium,-170.57,2,backward,,,,,8,8,0,True,True,,True,False
8_1,1,1874552,48,58,00:03.8,00:04.8,0,3,1.0,1,2,right_to_left,8,player_possession,795524,D. Scicluna,14,RM,2902,Western Sydney,-13.43,-1.39,3,center,2,middle_third,False,-11.74,-0.41,3,center,2,middle_third,False,3,drawing,0,0,1,1,False,True,True,True,1,True,6,direct,15,defending_direct,5,chaotic,5,chaotic,1,create,9,medium_block,,,,,False,False,1.97,30.11,1,forward,,,7.1,1,jogging,13.2,6.71,-6.49,21.77,24.09,35.2,35.83,0.63,30.73,28.41,-2.32,False,False,1,pass_reception,1,pass,False,True,False,False,False,False,False,-170.57,2,backward,16.6,2,medium,2,unsuccessful,7_1,,795526,Z. Sapsford,19.0,CF,10.36,14.27,2,half_space_left,2,middle_third,False,,,,,,,,0.314,True,0.0077,False,3,2,2,1,1,0,2,0,0,1,2,3,3,2,2,6,6,True,4231.0,3,True,True,False,2,second_last,2,around,26.53,2,medium,33.59,1,forward,,,,,,,True,10,5,5,10,10,0,True,True,True,True,False
8_2,2,1874552,89,89,00:07.9,00:07.9,0,7,0.0,1,1,left_to_right,8,player_possession,51644,R. Grant,8,RB,869,Sydney FC,-27.03,-25.24,5,wide_right,1,defensive_third,False,-27.03,-25.24,5,wide_right,1,defensive_third,False,3,drawing,0,0,2,1,True,False,False,True,3,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,15,defending_direct,6,direct,,,,,False,False,0.0,-100.62,4,sideway_right,,,5.86,1,jogging,1.82,1.82,0.0,11.53,11.53,38.56,38.56,0.0,40.97,40.97,0.0,False,False,2,pass_interception,1,pass,True,False,False,False,True,False,False,,,,,,,1,successful,,,2858,Douglas Costa,15.0,AM,-7.59,-11.02,4,half_space_right,2,middle_third,False,-14.63,-15.79,4,half_space_right,2,middle_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,7,7,,,,,,,,,,,,,,,,,25.56,2,medium,38.15,1,forward,,,,,10,10,0,True,True,True,True,False
8_3,3,1874552,106,106,00:09.6,00:09.6,0,9,0.0,1,1,left_to_right,8,player_possession,2858,Douglas Costa,15,AM,869,Sydney FC,-14.63,-15.79,4,half_space_right,2,middle_third,False,-14.63,-15.79,4,half_space_right,2,middle_third,False,3,drawing,0,0,2,2,False,False,False,False,3,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,15,defending_direct,6,direct,,,,,False,False,0.0,-159.23,2,backward,,,20.0,3,hsr,1.34,1.34,0.0,7.3,7.3,21.93,21.93,0.0,45.2,45.2,0.0,True,True,1,pass_reception,1,pass,True,False,False,False,False,False,False,38.15,1,forward,25.56,2,medium,1,successful,7_3,False,51045,A. CÃ¡ceres,9.0,LDM,-19.81,-12.27,4,half_space_right,1,defensive_third,False,-17.78,-13.24,4,half_space_right,1,defensive_third,False,0.7665,False,0.0018,False,2,0,0,0,0,0,1,0,0,2,0,,,,,2,2,False,,,,,,,,,,6.26,1,short,145.8,2,backward,5.79,1,short,114.71,3,sideway_left,False,6,7,-1,6,6,0,True,True,True,True,False
8_4,4,1874552,114,128,00:10.4,00:11.8,0,10,1.4,1,1,left_to_right,8,player_possession,51045,A. CÃ¡ceres,9,LDM,869,Sydney FC,-17.78,-13.24,4,half_space_right,1,defensive_third,False,-14.61,-17.98,4,half_space_right,2,middle_third,False,3,drawing,0,0,2,3,False,True,True,False,3,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,15,defending_direct,6,direct,,,,,False,False,5.71,-56.23,4,sideway_right,False,False,14.61,1,jogging,3.13,1.04,-2.09,5.96,5.9,23.74,20.51,-3.23,46.54,46.6,0.06,True,True,1,pass_reception,1,pass,False,False,True,False,False,False,False,114.71,3,sideway_left,5.79,1,short,2,unsuccessful,7_8,,18573,J. Lolley,20.0,RF,-14.54,-27.05,5,wide_right,2,middle_third,False,,,,,,,,0.6703,False,0.0008,False,4,0,0,0,0,0,2,0,0,3,1,4,3,2,2,3,4,False,,,,,,,,,,9.07,1,short,-89.56,4,sideway_right,,,,,,,False,7,7,0,7,7,0,True,True,True,True,False
8_5,5,1874552,152,152,00:14.2,00:14.2,0,14,0.0,1,2,right_to_left,8,player_possession,795523,A. Pantazopoulos,2,LB,2902,Western Sydney,5.58,32.6,1,wide_left,2,middle_third,False,5.58,32.6,1,wide_left,2,middle_third,False,3,drawing,0,0,3,4,True,True,True,True,1,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,5,chaotic,5,chaotic,,,,,False,False,0.0,107.99,3,sideway_left,,,17.45,2,running,1.44,1.44,0.0,22.23,22.23,16.65,16.65,0.0,30.27,30.27,0.0,False,False,4,recovery,1,pass,True,False,False,False,False,False,False,,,,,,,2,unsuccessful,,,795526,Z. Sapsford,19.0,CF,20.19,18.46,2,half_space_left,3,attacking_third,False,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,0,True,True,,True,False
8_6,6,1874552,189,210,00:17.9,00:20.0,0,17,2.1,1,1,left_to_right,8,player_possession,560894,A. Popovic,6,RCB,869,Sydney FC,-37.09,-27.04,5,wide_right,1,defensive_third,False,-42.5,-35.54,5,wide_right,1,defensive_third,False,3,drawing,0,0,4,5,True,False,True,True,1,True,5,chaotic,5,chaotic,13,defending_set_play,7,set_play,5,chaotic,5,chaotic,,,12,throw_in_against,False,False,10.2,-122.48,4,sideway_right,False,False,17.47,2,running,1.2,4.44,3.24,7.68,3.82,44.77,46.32,1.55,44.82,48.68,3.86,False,False,2,pass_interception,5,possession_loss,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,True,True,True,,False
8_7,7,1874552,385,385,00:37.5,00:37.5,0,37,0.0,1,1,left_to_right,8,player_possession,560894,A. Popovic,6,RCB,869,Sydney FC,-48.02,-10.04,4,half_space_right,1,defensive_third,False,-48.02,-10.04,4,half_space_right,1,defensive_third,False,3,drawing,0,0,5,1,False,True,True,True,2,True,14,disruption,14,disruption,5,chaotic,5,chaotic,5,chaotic,5,chaotic,12,throw_in_against,,,False,False,0.0,143.06,2,backward,,,11.89,1,jogging,1.12,1.12,0.0,-8.57,-8.57,39.45,39.45,0.0,61.07,61.07,0.0,False,False,8,throw_in_interception,1,pass,True,False,False,False,True,False,False,,,,,,,2,unsuccessful,,,51644,R. Grant,8.0,RB,-47.26,-14.42,4,half_space_right,1,defensive_third,False,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,True,True,,,False
8_8,8,1874552,660,682,01:05.0,01:07.2,1,5,2.2,1,2,right_to_left,8,player_possession,51036,N. Milanovic,17,RW,2902,Western Sydney,48.27,32.75,1,wide_left,3,attacking_third,False,49.7,31.38,1,wide_left,3,attacking_third,False,3,drawing,0,0,8,1,True,False,False,True,3,True,7,set_play,13,defending_set_play,15,defending_direct,6,direct,2,finish,8,low_block,,,,,True,False,2.16,-43.77,1,forward,False,False,3.56,1,jogging,8.93,5.09,-3.84,50.38,50.27,2.11,0.57,-1.54,2.12,2.23,0.11,False,False,13,unknown,1,pass,False,False,True,False,False,False,False,,,,,,,1,successful,7_12,True,795523,A. Pantazopoulos,2.0,LB,44.46,2.57,3,center,3,attacking_third,True,46.41,6.12,3,center,3,attacking_third,True,0.273,True,0.0136,False,4,1,0,0,0,0,1,2,1,0,1,2,4,1,1,0,2,False,,,,,,,,,,29.28,2,medium,-100.31,4,sideway_right,27.31,2,medium,-101.1,4,sideway_right,False,2,5,-3,2,2,0,True,True,,True,False
8_9,9,1874552,694,694,01:08.4,01:08.4,1,8,0.0,1,2,right_to_left,8,player_possession,795523,A. Pantazopoulos,2,LB,2902,Western Sydney,46.52,6.3,3,center,3,attacking_third,True,46.52,6.3,3,center,3,attacking_third,True,3,drawing,0,0,8,2,False,True,True,False,3,True,7,set_play,13,defending_set_play,15,defending_direct,6,direct,2,finish,8,low_block,,,8,goal_kick_against,True,False,0.0,63.63,3,sideway_left,,,9.61,1,jogging,3.24,3.24,0.0,51.14,51.14,4.62,4.62,0.0,1.36,1.36,0.0,True,True,1,pass_reception,2,shot,True,False,False,False,False,False,False,-101.1,4,sideway_right,27.31,2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,True,True,True,,False
