event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched
1_0,0,2006288,90,104,00:08.0,00:09.4,0,8,1.4,1,1,left_to_right,1,off_ball_run,4,dropping_off,26844,R. Danzaki,16,LW,810406,C. Shamoon,2,LB,1803,Western United,2.47,29.37,1,wide_left,2,middle_third,False,-3.48,31.28,1,wide_left,2,middle_third,False,8_4,98,3,drawing,0,0,0,1,create,9,medium_block,False,False,6.26,162.2,2,backward,False,False,16.0,2,running,15.23,15.1,-0.13,14.4,12.46,11.93,15.94,4.01,38.1,40.04,1.94,False,False,3,ahead,3,ahead,26.97,23.64,-21.8,17.6,2,half_space_left,1,defensive_third,False,-22.12,16.74,2,half_space_left,1,defensive_third,False,False,False,,False,False,0.0009,0.8624,0.7215,True,True,0,False,,,,True,7,6,-1,True,True,
1_1,1,2006288,153,171,00:14.3,00:16.1,0,14,1.8,1,1,left_to_right,1,off_ball_run,2,coming_short,560917,R. Bozinovski,14,RM,795520,T. Russell,8,RB,1803,Western United,-15.41,-10.04,4,half_space_right,2,middle_third,False,-13.98,-18.18,4,half_space_right,2,middle_third,False,8_7,166,3,drawing,0,0,0,1,create,9,medium_block,False,False,8.27,-80.04,4,sideway_right,False,False,16.44,2,running,4.78,5.05,0.27,8.61,9.1,24.02,23.08,-0.94,43.89,43.4,-0.49,True,True,1,behind,2,same_line,23.41,14.14,-12.21,-33.23,5,wide_right,2,middle_third,False,-13.68,-32.32,5,wide_right,2,middle_third,False,False,False,,False,False,0.0005,0.8777,0.7653,True,True,0,False,,,,False,8,8,0,True,True,
1_2,2,2006288,187,198,00:17.7,00:18.8,0,17,1.1,1,1,left_to_right,1,off_ball_run,2,coming_short,51675,A. Thurgate,12,LM,51008,T. Imai,6,RCB,1803,Western United,-13.91,-9.3,4,half_space_right,2,middle_third,False,-17.99,-12.07,4,half_space_right,1,defensive_third,False,8_8,183,3,drawing,0,0,1,0,build_up,10,high_block,False,False,4.52,-145.83,2,backward,False,False,16.05,2,running,6.86,10.03,3.18,7.07,5.22,20.98,23.21,2.23,45.43,47.28,1.85,True,True,3,ahead,3,ahead,22.79,18.45,-29.74,-25.69,5,wide_right,1,defensive_third,False,-28.82,-27.01,5,wide_right,1,defensive_third,False,False,False,,False,False,0.0003,0.6603,0.799,True,True,0,False,,,,True,8,7,-1,True,True,
1_3,3,2006288,269,296,00:25.9,00:28.6,0,25,2.7,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,12780,Chico Geraldes,16,LW,6799,M. Rojas,19,CF,867,Wellington P FC,11.0,23.34,1,wide_left,2,middle_third,False,26.42,17.89,2,half_space_left,3,attacking_third,False,8_11,261,3,drawing,0,0,5,5,chaotic,5,chaotic,False,False,15.85,-19.47,1,forward,False,False,21.69,3,hsr,5.0,1.3,-3.7,21.46,29.21,10.46,2.79,-7.67,31.04,23.29,-7.75,True,True,2,same_line,3,ahead,3.86,8.58,10.04,19.6,2,half_space_left,2,middle_third,False,19.74,12.51,2,half_space_left,3,attacking_third,False,False,False,,True,True,0.0629,0.5329,0.9343,True,True,2,False,,,,True,3,5,2,True,True,
1_4,4,2006288,275,296,00:26.5,00:28.6,0,26,2.1,1,2,right_to_left,1,off_ball_run,9,support,51017,T. Payne,17,RW,6799,M. Rojas,19,CF,867,Wellington P FC,7.32,2.01,3,center,2,middle_third,False,18.42,-2.17,3,center,3,attacking_third,False,8_11,261,3,drawing,0,0,5,5,chaotic,5,chaotic,False,False,11.32,-20.64,1,forward,False,False,20.21,3,hsr,4.22,6.84,2.62,20.92,29.21,13.6,10.79,-2.81,31.58,23.29,-8.29,True,True,1,behind,2,same_line,17.28,14.74,11.88,18.68,2,half_space_left,2,middle_third,False,19.74,12.51,2,half_space_left,3,attacking_third,False,True,False,,True,True,0.0242,0.3495,0.5915,False,False,2,False,,,,True,5,5,0,True,True,
1_5,5,2006288,285,296,00:27.5,00:28.6,0,27,1.1,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,23909,K. Barbarouses,19,CF,6799,M. Rojas,19,CF,867,Wellington P FC,20.65,20.09,2,half_space_left,3,attacking_third,False,25.61,19.54,2,half_space_left,3,attacking_third,False,8_11,261,3,drawing,0,0,5,5,chaotic,5,chaotic,False,False,4.6,-6.33,1,forward,False,False,16.45,2,running,2.08,1.93,-0.15,23.68,29.21,3.03,3.6,0.57,28.82,23.29,-5.53,False,False,3,ahead,3,ahead,6.12,9.16,16.33,15.76,2,half_space_left,2,middle_third,False,19.74,12.51,2,half_space_left,3,attacking_third,False,False,False,,True,True,0.0255,0.5235,0.9471,True,True,2,False,,,,True,3,2,-1,True,True,
1_6,6,2006288,606,616,00:59.6,01:00.6,0,59,1.0,1,1,left_to_right,1,off_ball_run,2,coming_short,957737,D. Leonard,4,LCB,51008,T. Imai,6,RCB,1803,Western United,-25.42,10.79,2,half_space_left,1,defensive_third,False,-23.99,6.72,3,center,1,defensive_third,False,8_21,599,3,drawing,0,0,9,1,create,9,medium_block,False,False,4.32,-70.64,4,sideway_right,False,True,15.47,2,running,15.43,15.39,-0.04,10.37,11.81,35.79,35.8,0.01,42.13,40.69,-1.44,False,False,1,behind,1,behind,30.09,28.11,-15.71,-17.69,4,half_space_right,2,middle_third,False,-14.72,-19.82,4,half_space_right,2,middle_third,False,False,False,,False,False,0.0001,0.9954,0.7162,True,False,0,False,,,,False,10,10,0,True,True,
1_7,7,2006288,672,684,01:06.2,01:07.4,1,6,1.2,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,51675,A. Thurgate,12,LM,957737,D. Leonard,4,LCB,1803,Western United,-14.34,3.91,3,center,2,middle_third,False,-12.54,9.16,3,center,2,middle_third,False,8_23,673,3,drawing,0,0,10,0,build_up,10,high_block,False,False,5.71,71.08,3,sideway_left,False,False,17.01,2,running,2.42,1.62,-0.8,7.25,8.18,21.59,20.72,-0.87,45.25,44.32,-0.93,True,True,3,ahead,3,ahead,12.52,9.1,-23.9,12.0,2,half_space_left,1,defensive_third,False,-21.09,12.28,2,half_space_left,1,defensive_third,False,True,True,False,False,False,0.0011,0.9756,0.7075,True,True,0,False,,,,True,7,7,0,True,True,True
1_8,8,2006288,702,713,01:09.2,01:10.3,1,9,1.1,1,1,left_to_right,1,off_ball_run,1,behind,26844,R. Danzaki,16,LW,810406,C. Shamoon,2,LB,1803,Western United,8.71,21.31,1,wide_left,2,middle_third,False,13.96,20.19,1,wide_left,2,middle_third,False,8_25,705,3,drawing,0,0,11,1,create,9,medium_block,False,False,5.05,-12.04,1,forward,False,False,17.52,2,running,1.56,3.11,1.56,11.78,15.58,3.07,1.62,-1.45,40.72,36.92,-3.8,True,True,3,ahead,3,ahead,18.45,18.8,-8.22,28.65,1,wide_left,2,middle_third,False,-3.78,26.42,1,wide_left,2,middle_third,False,True,True,True,False,False,0.0057,0.885,0.8703,True,True,2,False,True,False,False,True,4,4,0,True,True,True
1_9,9,2006288,704,720,01:09.4,01:11.0,1,9,1.6,1,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,26994,H. Ibusuki,19,CF,810406,C. Shamoon,2,LB,1803,Western United,1.71,19.27,2,half_space_left,2,middle_third,False,9.19,17.83,2,half_space_left,2,middle_third,False,8_25,705,3,drawing,0,0,11,1,create,9,medium_block,False,False,7.65,-10.9,1,forward,False,False,17.13,2,running,2.36,3.41,1.05,12.42,18.64,10.71,9.45,-1.26,40.08,33.86,-6.22,False,True,3,ahead,3,ahead,12.76,12.29,-7.45,28.15,1,wide_left,2,middle_third,False,-0.48,25.41,1,wide_left,2,middle_third,False,False,False,,False,False,0.0121,0.6935,0.7412,True,True,2,False,,,,True,4,4,0,True,True,
