event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,second_last_line_break,last_line_break,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,1827565,57,57,00:04.7,00:04.7,0,4,0.0,1,2,right_to_left,8,player_possession,966120,B. Gibson,19,CF,1805,Newcastle,0.66,-0.33,3,center,2,middle_third,False,0.66,-0.33,3,center,2,middle_third,False,3,drawing,0,0,0,1,True,False,True,True,2,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.0,-163.07,2,backward,,,1.62,1,jogging,8.67,8.67,0.0,20.84,20.84,20.18,20.18,0.0,30.66,30.66,0.0,True,True,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,735578,M. Natta,4.0,LCB,-18.15,2.09,3,center,1,defensive_third,False,-18.11,1.59,3,center,1,defensive_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,2,2,,,,,,,,,,,,,,,,,21.63,2,medium,172.56,2,backward,,,,,8,8,0,True,True,,True,False
8_1,1,1827565,73,84,00:06.3,00:07.4,0,6,1.1,1,2,right_to_left,8,player_possession,735578,M. Natta,4,LCB,1805,Newcastle,-18.11,1.59,3,center,1,defensive_third,False,-16.65,1.76,3,center,2,middle_third,False,3,drawing,0,0,1,1,False,False,False,True,2,True,6,direct,15,defending_direct,5,chaotic,5,chaotic,1,create,9,medium_block,,,,,False,False,1.31,6.64,1,forward,,,4.99,1,jogging,12.26,6.73,-5.53,20.84,21.77,38.95,38.42,-0.53,30.66,29.73,-0.93,False,False,1,pass_reception,1,pass,False,False,False,False,False,False,False,172.56,2,backward,21.63,2,medium,1,successful,7_4,True,795505,E. Adams,17.0,RW,13.0,-21.5,5,wide_right,2,middle_third,False,24.11,-24.0,5,wide_right,3,attacking_third,False,0.5366,True,0.0019,False,5,3,3,0,3,0,4,0,0,3,2,2,4,1,4,8,8,True,4231.0,3,True,True,False,2,second_last,2,around,37.68,3,long,-38.11,1,forward,31.4,3,long,-40.58,1,forward,True,10,4,6,10,10,0,True,True,True,True,False
8_2,2,1827565,113,113,00:10.3,00:10.3,0,10,0.0,1,2,right_to_left,8,player_possession,795505,E. Adams,17,RW,1805,Newcastle,24.11,-24.0,5,wide_right,3,attacking_third,False,24.11,-24.0,5,wide_right,3,attacking_third,False,3,drawing,0,0,1,2,False,True,True,False,2,True,6,direct,15,defending_direct,5,chaotic,5,chaotic,1,create,9,medium_block,,,,,False,False,0.0,-2.47,1,forward,,,8.47,1,jogging,1.68,1.68,0.0,31.38,31.38,7.27,7.27,0.0,20.12,20.12,0.0,True,True,1,pass_reception,1,pass,True,False,False,False,True,False,False,-40.58,1,forward,31.4,3,long,1,successful,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,True,True,True,,False
8_3,3,1827565,134,148,00:12.4,00:13.8,0,12,1.4,1,1,left_to_right,8,player_possession,11895,M. Jurman,4,LCB,1804,Macarthur FC,-40.54,21.02,1,wide_left,1,defensive_third,False,-46.27,23.0,1,wide_left,1,defensive_third,False,3,drawing,0,0,2,1,True,True,True,True,1,True,5,chaotic,5,chaotic,8,low_block,2,finish,15,defending_direct,6,direct,,,12,throw_in_against,False,False,6.14,160.94,2,backward,False,False,15.72,2,running,6.02,3.78,-2.25,5.59,3.49,46.13,49.76,3.63,45.91,48.01,2.1,False,False,4,recovery,1,pass,False,False,True,False,False,False,False,,,,,,,2,unsuccessful,7_7,,51648,J. Hollman,15.0,AM,-16.01,22.38,1,wide_left,2,middle_third,False,,,,,,,,0.5575,True,0.0005,False,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,9,9,False,,,,,,,,,,30.27,3,long,-1.17,1,forward,,,,,,,True,10,4,6,10,10,0,True,True,,,False
8_4,4,1827565,232,239,00:22.2,00:22.9,0,22,0.7,1,2,right_to_left,8,player_possession,795507,L. Bayliss,12,LM,1805,Newcastle,11.76,-26.07,5,wide_right,2,middle_third,False,11.44,-28.56,5,wide_right,2,middle_third,False,3,drawing,0,0,3,1,True,False,False,True,3,False,2,finish,8,low_block,1,create,9,medium_block,5,chaotic,5,chaotic,11,throw_in_for,,,False,False,2.21,-97.32,4,sideway_right,False,False,12.87,1,jogging,3.45,2.07,-1.38,34.06,32.7,22.3,21.26,-1.04,17.44,18.8,1.36,True,True,7,throw_in_reception,1,pass,False,True,True,False,False,False,False,,,,,,,1,successful,7_8,False,50983,Dane Ingham,8.0,RB,14.01,-33.43,5,wide_right,2,middle_third,False,12.48,-33.25,5,wide_right,2,middle_third,False,0.9089,False,0.0009,False,2,0,0,0,0,0,1,0,0,2,0,2,2,1,1,6,6,False,,,,,,,,,,5.51,1,short,-62.18,4,sideway_right,4.76,1,short,-47.39,4,sideway_right,False,9,8,1,9,9,0,True,True,,True,False
8_5,5,1827565,245,245,00:23.5,00:23.5,0,23,0.0,1,2,right_to_left,8,player_possession,50983,Dane Ingham,8,RB,1805,Newcastle,12.48,-33.25,5,wide_right,2,middle_third,False,12.48,-33.25,5,wide_right,2,middle_third,False,3,drawing,0,0,3,2,False,False,True,False,3,False,2,finish,8,low_block,1,create,9,medium_block,5,chaotic,5,chaotic,,,,,False,False,0.0,173.87,2,backward,,,8.73,1,jogging,2.8,2.8,0.0,31.34,31.34,18.86,18.86,0.0,20.16,20.16,0.0,False,False,1,pass_reception,1,pass,True,False,False,False,False,False,False,-47.39,4,sideway_right,4.76,1,short,1,successful,7_12,False,735578,M. Natta,4.0,LCB,-2.14,-17.84,4,half_space_right,2,middle_third,False,-5.32,-19.88,4,half_space_right,2,middle_third,False,0.9645,False,0.0009,False,4,0,0,0,0,0,1,0,0,3,1,,,,,5,5,False,,,,,,,,,,21.24,2,medium,133.49,3,sideway_left,20.52,2,medium,125.96,3,sideway_left,False,8,10,-2,8,8,0,True,True,True,True,False
8_6,6,1827565,264,296,00:25.4,00:28.6,0,25,3.2,1,2,right_to_left,8,player_possession,735578,M. Natta,4,LCB,1805,Newcastle,-5.32,-19.88,4,half_space_right,2,middle_third,False,-9.98,-8.4,3,center,2,middle_third,False,3,drawing,0,0,4,1,False,False,False,True,2,False,1,create,9,medium_block,0,build_up,10,high_block,2,finish,8,low_block,,,,,False,False,12.96,112.09,3,sideway_left,False,True,14.47,1,jogging,9.01,3.03,-5.98,25.8,18.24,31.12,28.22,-2.9,25.7,33.26,7.56,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,125.96,3,sideway_left,20.52,2,medium,1,successful,7_17,False,51649,A. Å uÅ¡njar,6.0,RCB,-13.31,-26.1,5,wide_right,2,middle_third,False,-16.83,-22.0,5,wide_right,2,middle_third,False,0.9953,False,0.0003,False,4,1,0,0,0,0,1,0,0,4,0,2,2,1,1,8,8,True,424.0,3,False,False,False,,,,,18.01,2,medium,-100.65,4,sideway_right,22.95,2,medium,-84.1,4,sideway_right,False,10,10,0,10,10,0,True,True,True,True,False
8_7,7,1827565,312,312,00:30.2,00:30.2,0,30,0.0,1,2,right_to_left,8,player_possession,51649,A. Å uÅ¡njar,6,RCB,1805,Newcastle,-16.83,-22.0,5,wide_right,2,middle_third,False,-16.83,-22.0,5,wide_right,2,middle_third,False,3,drawing,0,0,4,2,False,False,True,False,2,False,1,create,9,medium_block,0,build_up,10,high_block,2,finish,8,low_block,,,,,False,False,0.0,120.35,3,sideway_left,,,12.61,1,jogging,6.7,6.7,0.0,14.16,14.16,30.99,30.99,0.0,37.34,37.34,0.0,False,False,1,pass_reception,1,pass,True,False,False,False,False,False,False,-84.1,4,sideway_right,22.95,2,medium,1,successful,7_18,False,51009,R. Scott,1.0,GK,-34.71,-4.15,3,center,1,defensive_third,False,-36.86,-3.75,3,center,1,defensive_third,False,0.9986,False,0.0,False,1,0,0,0,0,0,0,0,0,1,0,,,,,9,9,True,424.0,3,False,False,False,,,,,25.26,2,medium,135.05,2,backward,18.29,2,medium,121.29,3,sideway_left,False,10,10,0,10,10,0,True,True,True,True,False
8_8,8,1827565,337,349,00:32.7,00:33.9,0,32,1.2,1,2,right_to_left,8,player_possession,51009,R. Scott,1,GK,1805,Newcastle,-36.86,-3.75,3,center,1,defensive_third,False,-36.98,-3.9,3,center,1,defensive_third,False,3,drawing,0,0,5,1,False,False,False,True,3,False,0,build_up,10,high_block,1,create,9,medium_block,1,create,9,medium_block,,,,,False,False,0.41,-128.66,4,sideway_right,,,1.27,1,jogging,18.12,17.28,-0.84,7.68,6.29,44.54,43.27,-1.27,43.82,45.21,1.39,False,False,1,pass_reception,1,pass,False,False,False,False,False,False,False,121.29,3,sideway_left,18.29,2,medium,1,successful,7_19,False,51649,A. Å uÅ¡njar,6.0,RCB,-30.27,-18.92,4,half_space_right,1,defensive_third,False,-33.43,-16.16,4,half_space_right,1,defensive_third,False,0.9984,False,0.0001,False,2,2,0,0,0,0,2,0,0,2,0,2,2,2,2,10,10,True,442.0,3,False,False,False,,,,,16.45,2,medium,-65.93,4,sideway_right,17.37,2,medium,-63.24,4,sideway_right,True,10,10,0,10,10,0,True,True,True,True,False
8_9,9,1827565,363,402,00:35.3,00:39.2,0,35,3.9,1,2,right_to_left,8,player_possession,51649,A. Å uÅ¡njar,6,RCB,1805,Newcastle,-33.43,-16.16,4,half_space_right,1,defensive_third,False,-30.89,-10.57,4,half_space_right,1,defensive_third,False,3,drawing,0,0,5,2,False,False,True,False,3,False,0,build_up,10,high_block,1,create,9,medium_block,1,create,9,medium_block,,,,,False,False,6.05,65.56,3,sideway_left,False,False,5.94,1,jogging,13.4,2.64,-10.77,5.45,5.44,38.88,36.33,-2.55,46.05,46.06,0.01,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,-63.24,4,sideway_right,17.37,2,medium,1,successful,7_22,False,735578,M. Natta,4.0,LCB,-28.57,14.51,2,half_space_left,1,defensive_third,False,-25.61,15.65,2,half_space_left,1,defensive_third,False,0.9963,False,0.0001,False,3,0,1,0,1,0,1,0,0,2,1,1,3,0,1,9,9,True,442.0,3,False,False,False,,,,,25.19,2,medium,84.71,3,sideway_left,23.93,2,medium,95.8,3,sideway_left,False,10,10,0,10,10,0,True,True,True,True,False
