event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched
1_0,0,1886345,169,179,00:15.9,00:16.9,0,15,1.0,1,2,right_to_left,1,off_ball_run,2,coming_short,808580,K. Adamson,8,RB,51006,T. Uskok,6,RCB,1804,Macarthur FC,0.71,-32.53,5,wide_right,2,middle_third,False,-3.92,-32.22,5,wide_right,2,middle_third,False,8_3,162,3,drawing,0,0,0,1,create,9,medium_block,False,False,4.66,176.17,2,backward,False,False,16.59,2,running,14.08,8.59,-5.49,15.61,14.76,14.9,18.68,3.78,35.89,36.74,0.85,False,False,3,ahead,3,ahead,24.9,19.25,-18.75,-17.0,4,half_space_right,1,defensive_third,False,-18.87,-20.09,4,half_space_right,1,defensive_third,False,True,True,True,False,False,0.0002,0.9952,0.9707,True,True,0,False,,,,True,7,6,-1,True,True,True
1_1,1,1886345,244,264,00:23.4,00:25.4,0,23,2.0,1,2,right_to_left,1,off_ball_run,4,dropping_off,2759,D. ArslanagiÄ,4,LCB,3443,F. Kurto,1,GK,1804,Macarthur FC,-29.42,15.34,2,half_space_left,1,defensive_third,False,-37.06,23.06,1,wide_left,1,defensive_third,False,8_6,240,3,drawing,0,0,1,0,build_up,10,high_block,False,False,10.95,134.7,3,sideway_left,True,False,19.66,2,running,8.34,5.57,-2.77,3.21,1.95,32.63,39.01,6.38,48.29,49.55,1.26,False,False,3,ahead,3,ahead,21.71,22.82,-43.16,-1.47,3,center,1,defensive_third,False,-46.37,2.23,3,center,1,defensive_third,False,True,True,True,False,False,0.0001,0.9932,0.9103,True,True,0,False,,,,False,10,9,-1,True,True,True
1_2,2,1886345,255,268,00:24.5,00:25.8,0,24,1.3,1,2,right_to_left,1,off_ball_run,4,dropping_off,51014,I. Vujica,2,LB,2759,D. ArslanagiÄ,4,LCB,1804,Macarthur FC,-22.09,28.66,1,wide_left,1,defensive_third,False,-26.99,31.43,1,wide_left,1,defensive_third,False,8_7,264,3,drawing,0,0,1,0,build_up,10,high_block,False,False,5.22,150.52,2,backward,False,False,15.56,2,running,13.31,5.75,-7.56,2.23,1.95,24.32,28.94,4.62,49.27,49.55,0.28,False,False,3,ahead,3,ahead,14.43,12.74,-33.06,19.28,2,half_space_left,1,defensive_third,False,-38.14,25.27,1,wide_left,1,defensive_third,False,True,True,True,False,True,0.0001,0.637,0.9608,True,True,0,False,,,,True,7,7,0,True,True,True
1_3,3,1886345,380,389,00:37.0,00:37.9,0,37,0.9,1,2,right_to_left,1,off_ball_run,6,pulling_half_space,10623,V. Germain,19,CF,3443,F. Kurto,1,GK,1804,Macarthur FC,-10.73,-7.85,3,center,2,middle_third,False,-10.24,-11.6,4,half_space_right,2,middle_third,False,8_11,378,3,drawing,0,0,2,6,direct,15,defending_direct,False,False,3.37,-82.56,4,sideway_right,True,False,15.1,2,running,8.47,8.47,0.0,1.42,2.05,12.15,12.29,0.14,50.08,49.45,-0.63,True,True,3,ahead,3,ahead,36.48,37.0,-46.16,0.83,3,center,1,defensive_third,False,-45.71,-1.08,3,center,1,defensive_third,False,False,False,,False,False,0.0003,0.757,0.6299,True,False,0,False,,,,False,4,4,0,True,True,
1_4,4,1886345,429,451,00:41.9,00:44.1,0,41,2.2,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,810561,A. Piol,19,CF,51717,W. Scott,17,RW,1804,Macarthur FC,2.9,3.24,3,center,2,middle_third,False,7.44,-7.13,3,center,2,middle_third,False,8_12,451,3,drawing,0,0,3,1,create,9,medium_block,False,False,11.32,-66.36,4,sideway_right,False,False,18.45,2,running,3.47,2.51,-0.96,5.52,9.45,2.62,2.01,-0.61,45.98,42.05,-3.93,True,True,2,same_line,3,ahead,31.54,20.76,-0.06,-28.16,5,wide_right,2,middle_third,False,0.8,-26.8,5,wide_right,2,middle_third,False,False,False,,False,True,0.0067,0.5528,0.9006,True,True,1,False,,,,True,3,3,0,True,True,
1_5,5,1886345,435,454,00:42.5,00:44.4,0,42,1.9,1,2,right_to_left,1,off_ball_run,9,support,970049,F. Deli,14,RM,51717,W. Scott,17,RW,1804,Macarthur FC,-20.85,-14.17,4,half_space_right,1,defensive_third,False,-14.0,-19.18,4,half_space_right,2,middle_third,False,8_12,451,3,drawing,0,0,3,1,create,9,medium_block,False,False,8.08,-36.18,1,forward,False,False,16.02,2,running,9.44,8.68,-0.75,6.68,10.08,27.53,24.08,-3.45,44.82,41.42,-3.4,True,True,1,behind,1,behind,24.78,16.83,-0.04,-27.63,5,wide_right,2,middle_third,False,0.88,-27.04,5,wide_right,2,middle_third,False,False,False,,False,False,0.0007,0.8347,0.8178,True,True,1,False,,,,True,8,8,0,True,True,
1_6,6,1886345,452,468,00:44.2,00:45.8,0,44,1.6,1,2,right_to_left,1,off_ball_run,1,behind,810561,A. Piol,19,CF,10623,V. Germain,19,CF,1804,Macarthur FC,7.64,-7.59,3,center,2,middle_third,False,13.71,-12.37,4,half_space_right,2,middle_third,False,8_13,458,3,drawing,0,0,3,1,create,9,medium_block,False,False,8.26,-38.22,1,forward,True,False,18.56,2,running,2.64,3.65,1.01,9.66,14.68,2.02,0.97,-1.05,41.84,36.82,-5.02,True,True,3,ahead,3,ahead,21.09,18.44,-2.99,-25.8,5,wide_right,2,middle_third,False,0.14,-24.86,5,wide_right,2,middle_third,False,True,False,,False,True,0.0083,0.4634,0.9268,True,True,0,False,True,False,False,True,2,3,1,True,True,
1_7,7,1886345,711,743,01:10.1,01:13.3,1,10,3.2,1,2,right_to_left,1,off_ball_run,2,coming_short,51044,L. Brattan,12,LM,3443,F. Kurto,1,GK,1804,Macarthur FC,-15.32,9.55,2,half_space_left,2,middle_third,False,-25.43,-2.98,3,center,1,defensive_third,False,8_22,734,3,drawing,0,0,5,1,create,9,medium_block,False,False,16.16,-128.9,4,sideway_right,False,True,17.4,2,running,6.72,5.74,-0.99,12.38,8.23,27.7,33.66,5.96,39.12,43.27,4.15,True,False,3,ahead,3,ahead,26.98,12.05,-41.02,1.35,3,center,1,defensive_third,False,-37.36,-4.69,3,center,1,defensive_third,False,False,False,,False,False,0.0002,0.9979,0.8101,True,True,0,False,,,,True,10,9,-1,True,True,
1_8,8,1886345,775,788,01:16.5,01:17.8,1,16,1.3,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,51014,I. Vujica,2,LB,2759,D. ArslanagiÄ,4,LCB,1804,Macarthur FC,-5.88,25.5,1,wide_left,2,middle_third,False,0.48,23.09,1,wide_left,2,middle_third,False,8_23,767,3,drawing,0,0,5,1,create,9,medium_block,False,False,6.24,-20.75,1,forward,False,False,18.77,2,running,8.48,3.55,-4.93,9.75,11.72,15.63,11.24,-4.39,41.75,39.78,-1.97,False,True,3,ahead,3,ahead,22.67,27.82,-27.88,20.03,2,half_space_left,1,defensive_third,False,-27.17,20.0,2,half_space_left,1,defensive_third,False,False,False,,False,True,0.0031,0.5463,0.6816,True,True,0,False,,,,True,4,5,1,True,True,
1_9,9,1886345,779,807,01:16.9,01:19.7,1,16,2.8,1,2,right_to_left,1,off_ball_run,2,coming_short,970049,F. Deli,14,RM,6871,M. JakoliÅ¡,16,LW,1804,Macarthur FC,-12.07,0.98,3,center,2,middle_third,False,-11.98,13.74,2,half_space_left,2,middle_third,False,8_24,796,3,drawing,0,0,5,1,create,9,medium_block,False,False,12.77,89.6,3,sideway_left,True,False,16.38,2,running,7.3,4.61,-2.68,10.25,16.14,22.32,28.12,5.8,41.25,35.36,-5.89,True,True,1,behind,2,same_line,32.4,17.84,-6.37,32.87,1,wide_left,2,middle_third,False,-10.45,31.51,1,wide_left,2,middle_third,False,False,False,,False,False,0.0008,0.9681,0.7087,True,True,0,False,,,,True,8,8,0,True,True,
