event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_simultaneous_passing_options,passing_option_at_pass_moment,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,2005305,20,20,00:01.0,00:01.0,0,1,0.0,1,2,right_to_left,8,player_possession,,,966118,H. Sawyer,19,CF,,,,,1804,Macarthur FC,1.66,-1.68,3,center,2,middle_third,False,1.66,-1.68,3,center,2,middle_third,False,,,,,,3,drawing,0,0,0,1,True,False,False,True,2,True,1,create,9,medium_block,5,chaotic,5,chaotic,,,,,,,,,False,False,0.0,167.91,2,backward,,,,,,8.37,8.37,0.0,26.13,26.13,24.47,24.47,0.0,25.37,25.37,0.0,True,True,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,51044,L. Brattan,12,LM,-16.08,1.54,3,center,2,middle_third,False,-15.65,1.84,3,center,2,middle_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,18.17,2,medium,169.05,2,backward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,0,True,True,,True,True
8_1,1,2005305,32,49,00:02.2,00:03.9,0,2,1.7,1,2,right_to_left,8,player_possession,,,51044,L. Brattan,12,LM,,,,,1804,Macarthur FC,-15.65,1.84,3,center,2,middle_third,False,-13.75,1.72,3,center,2,middle_third,False,,,,,,3,drawing,0,0,0,2,False,False,True,False,2,True,1,create,9,medium_block,5,chaotic,5,chaotic,,,,,,,12,throw_in_against,False,False,1.78,-3.61,1,forward,,,4.16,1,jogging,15.4,6.04,-9.36,23.69,22.68,39.34,36.43,-2.91,27.81,28.82,1.01,False,False,1,pass_reception,1,pass,False,False,False,False,False,False,False,169.05,2,backward,18.17,2,medium,2,unsuccessful,7_0,,6871,M. JakoliÅ¡,16,LW,11.29,22.33,1,wide_left,2,middle_third,False,,,,,,,,0.4676,True,0.0033,False,2,1,1,0,1,0,2,0,0,1,1,0,2,0,2,9,9,True,4411,2,,,,True,,,False,,,2,second_last,1,through,32.43,3,long,39.46,1,forward,,,,,,,True,10,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,True,True,True,,False
1_0,2,2005305,36,59,00:02.6,00:04.9,0,2,2.3,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,6871,M. JakoliÅ¡,16,LW,51044,L. Brattan,12,LM,1804,Macarthur FC,4.9,22.2,1,wide_left,2,middle_third,False,17.3,22.6,1,wide_left,3,attacking_third,False,8_1,32,,,,3,drawing,0,0,0,,,,,,,,1,create,9,medium_block,,,,,,,,,,,,,False,False,11.87,1.85,1,forward,False,False,19.33,2,running,3.42,1.98,-1.43,23.05,25.17,18.15,7.87,-10.28,28.45,26.33,-2.12,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ahead,3,ahead,28.87,34.95,-15.51,1.78,3,center,2,middle_third,False,-11.92,3.43,3,center,2,middle_third,False,True,False,,False,True,0.0033,0.4676,0.8798,True,,False,0,False,,,,True,,,5,8,3,True,True,,,
7_0,3,2005305,40,49,00:03.0,00:03.9,0,3,0.9,1,2,right_to_left,7,passing_option,,,6871,M. JakoliÅ¡,16,LW,51044,L. Brattan,12,LM,1804,Macarthur FC,6.69,22.28,1,wide_left,2,middle_third,False,11.29,22.33,1,wide_left,2,middle_third,False,8_1,32,1_0,8,run_ahead_of_the_ball,3,drawing,0,0,0,,,,,,,,1,create,9,medium_block,,,,,,,,,,,,,False,False,4.02,0.62,1,forward,False,False,18.49,2,running,2.64,0.64,-2.01,22.64,22.68,15.95,11.39,-4.56,28.86,28.82,-0.04,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4411,2,,,,True,1,through,False,,,2,second_last,1,through,32.43,3,long,39.46,1,forward,,,,,,,True,10,7,3,3,ahead,3,ahead,30.08,32.43,-15.21,1.66,3,center,2,middle_third,False,-13.75,1.72,3,center,2,middle_third,False,True,False,,False,True,0.0033,0.4676,0.8798,True,49,False,,,,,,,1,True,,,,True,True,,,False
7_1,4,2005305,48,49,00:03.8,00:03.9,0,3,0.1,1,2,right_to_left,7,passing_option,,,51014,I. Vujica,2,LB,51044,L. Brattan,12,LM,1804,Macarthur FC,6.64,25.76,1,wide_left,2,middle_third,False,7.04,25.74,1,wide_left,2,middle_third,False,8_1,32,,,,3,drawing,0,0,0,,,,,,,,1,create,9,medium_block,,,,,,,,,,,,,False,False,1.63,-4.25,1,forward,False,False,14.56,1,jogging,6.21,6.08,-0.12,22.61,22.68,15.97,15.64,-0.33,28.89,28.82,-0.07,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4411,2,,,,False,,,False,,,,,,,31.77,3,long,49.12,3,sideway_left,,,,,,,True,10,8,2,3,ahead,3,ahead,31.69,31.77,-13.92,1.65,3,center,2,middle_third,False,-13.75,1.72,3,center,2,middle_third,False,False,False,,False,False,0.002,0.6759,0.6864,True,49,False,,,,,,,1,True,,,,True,True,,,False
8_2,5,2005305,190,190,00:18.0,00:18.0,0,18,0.0,1,2,right_to_left,8,player_possession,,,51655,L. Rose,14,RM,,,,,1804,Macarthur FC,9.05,27.9,1,wide_left,2,middle_third,False,9.05,27.9,1,wide_left,2,middle_third,False,,,,,,3,drawing,0,0,2,1,False,False,False,True,2,True,5,chaotic,5,chaotic,9,medium_block,1,create,5,chaotic,5,chaotic,12,throw_in_against,,,False,False,0.0,-161.16,2,backward,,,9.49,1,jogging,0.84,0.84,0.0,29.52,29.52,20.47,20.47,0.0,21.98,21.98,0.0,True,True,8,throw_in_interception,1,pass,True,False,False,False,True,False,False,,,,,,,1,successful,,,6871,M. JakoliÅ¡,16,LW,17.87,31.87,1,wide_left,3,attacking_third,False,15.97,28.04,1,wide_left,2,middle_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,11.01,1,short,21.02,1,forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,0,True,True,,True,False
8_3,6,2005305,204,216,00:19.4,00:20.6,0,19,1.2,1,2,right_to_left,8,player_possession,,,6871,M. JakoliÅ¡,16,LW,,,,,1804,Macarthur FC,15.97,28.04,1,wide_left,2,middle_third,False,13.6,22.48,1,wide_left,2,middle_third,False,,,,,,3,drawing,0,0,2,2,False,True,True,False,2,True,5,chaotic,5,chaotic,9,medium_block,1,create,5,chaotic,5,chaotic,,,,,False,False,6.09,-113.09,4,sideway_right,False,False,18.16,2,running,0.98,2.47,1.49,26.45,24.23,10.48,10.63,0.15,25.05,27.27,2.22,True,True,1,pass_reception,5,possession_loss,False,False,True,False,False,False,False,21.02,1,forward,11.01,1,short,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,1,1,0,0,1,2,2,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,-1,True,True,True,,False
7_2,7,2005305,204,214,00:19.4,00:20.4,0,19,1.0,1,2,right_to_left,7,passing_option,,,966118,H. Sawyer,19,CF,6871,M. JakoliÅ¡,16,LW,1804,Macarthur FC,23.57,24.18,1,wide_left,3,attacking_third,False,23.36,22.32,1,wide_left,3,attacking_third,False,8_3,204,,,,3,drawing,0,0,2,,,,,,,,5,chaotic,5,chaotic,,,,,,,,,,,,,False,False,1.88,-96.44,4,sideway_right,False,False,6.74,1,jogging,3.26,2.2,-1.06,26.45,24.33,2.88,0.97,-1.91,25.05,27.17,2.12,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,8.68,1,short,-11.63,1,forward,,,,,,,True,6,2,4,3,ahead,3,ahead,8.52,9.23,15.97,28.04,1,wide_left,2,middle_third,False,14.19,23.35,1,wide_left,2,middle_third,False,False,False,,True,True,0.0206,0.55,0.7539,True,211,True,,,,,,,1,False,,,,True,True,,,False
7_3,8,2005305,204,216,00:19.4,00:20.6,0,19,1.2,1,2,right_to_left,7,passing_option,,,50980,C. Ikonomidis,17,RW,6871,M. JakoliÅ¡,16,LW,1804,Macarthur FC,14.74,12.69,2,half_space_left,2,middle_third,False,14.41,12.59,2,half_space_left,2,middle_third,False,8_3,204,,,,3,drawing,0,0,2,,,,,,,,5,chaotic,5,chaotic,,,,,,,,,,,,,False,False,0.68,-163.14,2,backward,False,False,2.14,1,jogging,8.3,6.43,-1.87,26.45,24.23,11.71,9.82,-1.89,25.05,27.27,2.22,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,14.54,1,short,-93.67,4,sideway_right,,,,,,,False,6,6,0,2,same_line,2,same_line,15.4,9.92,15.97,28.04,1,wide_left,2,middle_third,False,13.6,22.48,1,wide_left,2,middle_third,False,False,False,,False,True,0.0154,0.5711,0.9105,True,206,True,,,,,,,1,False,,,,True,True,,,False
8_4,9,2005305,222,222,00:21.2,00:21.2,0,21,0.0,1,1,left_to_right,8,player_possession,,,51045,A. CÃ¡ceres,16,LW,,,,,869,Sydney FC,-11.39,-18.0,4,half_space_right,2,middle_third,False,-11.39,-18.0,4,half_space_right,2,middle_third,False,,,,,,3,drawing,0,0,3,1,True,False,False,True,3,True,1,create,9,medium_block,5,chaotic,5,chaotic,5,chaotic,5,chaotic,,,,,False,False,0.0,-151.39,2,backward,,,8.24,1,jogging,1.51,1.51,0.0,3.75,3.75,15.14,15.14,0.0,47.75,47.75,0.0,True,True,4,recovery,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,7_4,False,2858,Douglas Costa,19,CF,-9.45,-21.91,5,wide_right,2,middle_third,False,-9.33,-21.72,5,wide_right,2,middle_third,False,0.6772,False,0.0016,False,4,0,0,0,0,0,0,0,0,4,0,,,,,3,3,False,,,,,,,,,,,,,,,,4.36,1,short,-63.61,4,sideway_right,4.03,1,short,-55.52,4,sideway_right,False,7,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,0,True,True,,True,False
