event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,second_last_line_break,last_line_break,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,1873859,44,44,00:03.4,00:03.4,0,3,0.0,1,1,left_to_right,8,player_possession,211,A. Taggart,19,CF,871,Perth Glory,0.75,-0.36,3,center,2,middle_third,False,0.75,-0.36,3,center,2,middle_third,False,3,drawing,0,0,0,1,True,False,True,True,1,False,1,create,9,medium_block,0,build_up,10,high_block,,,,,,,,,False,False,0.0,123.69,3,sideway_left,,,1.75,1,jogging,9.84,9.84,0.0,20.5,20.5,19.75,19.75,0.0,32.0,32.0,0.0,True,True,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,560985,C. Cook,1.0,GK,-39.9,0.05,3,center,1,defensive_third,False,-39.89,-1.97,3,center,1,defensive_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,,,,,,,,,,,,,,,,,48.53,3,long,177.48,2,backward,,,,,8,8,0,True,True,,False,False
8_1,1,1873859,73,86,00:06.3,00:07.6,0,6,1.3,1,1,left_to_right,8,player_possession,560985,C. Cook,1,GK,871,Perth Glory,-39.89,-1.97,3,center,1,defensive_third,False,-39.57,-3.02,3,center,1,defensive_third,False,3,drawing,0,0,1,1,False,True,True,True,1,False,0,build_up,10,high_block,1,create,9,medium_block,1,create,9,medium_block,,,4,free_kick_against,False,False,1.03,-73.05,4,sideway_right,,,,,,28.62,21.73,-6.89,14.08,13.42,53.97,52.99,-0.98,38.42,39.08,0.66,False,False,1,pass_reception,1,pass,False,False,False,False,False,False,False,177.48,2,backward,48.53,3,long,3,offside,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,0,1,2,4,0,0,4,0,4,4,4,4,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,False,False,True,,True
8_2,2,1873859,229,242,00:21.9,00:23.2,0,21,1.3,1,2,right_to_left,8,player_possession,159946,M. Sutton,1,GK,1803,Western United,-35.87,5.03,3,center,1,defensive_third,False,-35.47,1.84,3,center,1,defensive_third,False,3,drawing,0,0,3,2,True,False,False,True,7,False,0,build_up,10,high_block,1,create,9,medium_block,9,medium_block,1,create,3,free_kick_for,,,False,False,2.91,-82.85,4,sideway_right,False,False,8.83,1,jogging,18.51,17.58,-0.94,7.24,7.24,43.11,42.71,-0.4,45.26,45.26,0.0,False,False,5,free_kick_reception,1,pass,False,False,True,False,False,False,False,,,,,,,1,successful,7_5,False,795528,K. Vidmar,6.0,RCB,-32.1,-10.57,4,half_space_right,1,defensive_third,False,-31.42,-11.62,4,half_space_right,1,defensive_third,False,0.9971,False,0.0,False,2,0,0,0,0,0,2,0,0,2,0,2,2,2,2,10,10,True,442.0,3,False,False,False,,,,,12.86,1,short,-74.81,4,sideway_right,10.33,1,short,-68.78,4,sideway_right,True,10,10,0,10,10,0,True,True,,True,False
8_3,3,1873859,254,278,00:24.4,00:26.8,0,24,2.4,1,2,right_to_left,8,player_possession,795528,K. Vidmar,6,RCB,1803,Western United,-31.42,-11.62,4,half_space_right,1,defensive_third,False,-28.51,-12.6,4,half_space_right,1,defensive_third,False,3,drawing,0,0,3,3,False,False,False,False,7,False,0,build_up,10,high_block,1,create,9,medium_block,9,medium_block,1,create,,,,,False,False,3.25,-18.61,1,forward,False,False,4.82,1,jogging,14.56,12.79,-1.77,7.65,8.74,39.07,37.25,-1.82,44.85,43.76,-1.09,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,-68.78,4,sideway_right,10.33,1,short,1,successful,7_8,False,159946,M. Sutton,1.0,GK,-33.96,-2.33,3,center,1,defensive_third,False,-32.88,-2.1,3,center,1,defensive_third,False,0.9984,False,0.0,False,3,0,0,0,0,0,1,0,0,3,0,1,3,1,1,8,9,True,442.0,3,False,False,False,,,,,11.63,1,short,117.95,3,sideway_left,12.21,1,short,118.41,3,sideway_left,False,10,10,0,10,10,0,True,True,True,True,False
8_4,4,1873859,290,302,00:28.0,00:29.2,0,28,1.2,1,2,right_to_left,8,player_possession,159946,M. Sutton,1,GK,1803,Western United,-32.88,-2.1,3,center,1,defensive_third,False,-31.41,-1.6,3,center,1,defensive_third,False,3,drawing,0,0,3,4,False,False,False,False,7,False,0,build_up,10,high_block,1,create,9,medium_block,9,medium_block,1,create,,,,,False,False,1.56,18.79,1,forward,,,4.68,1,jogging,17.52,16.04,-1.48,8.87,9.18,41.75,40.59,-1.16,43.63,43.32,-0.31,False,False,1,pass_reception,1,pass,False,False,False,False,False,False,False,118.41,3,sideway_left,12.21,1,short,1,successful,7_9,False,957737,D. Leonard,4.0,LCB,-26.6,15.88,2,half_space_left,1,defensive_third,False,-24.4,17.47,2,half_space_left,1,defensive_third,False,0.9992,False,0.0001,False,2,0,0,0,0,0,2,0,0,2,0,2,2,2,2,10,10,True,442.0,3,False,False,False,,,,,18.13,2,medium,74.61,3,sideway_left,17.06,2,medium,72.01,3,sideway_left,True,10,10,0,10,10,0,True,True,True,True,False
8_5,5,1873859,316,336,00:30.6,00:32.6,0,30,2.0,1,2,right_to_left,8,player_possession,957737,D. Leonard,4,LCB,1803,Western United,-24.4,17.47,2,half_space_left,1,defensive_third,False,-23.7,17.9,2,half_space_left,1,defensive_third,False,3,drawing,0,0,3,5,False,False,False,False,7,False,0,build_up,10,high_block,1,create,9,medium_block,9,medium_block,1,create,,,,,False,False,2.12,31.56,1,forward,False,False,3.87,1,jogging,13.58,11.07,-2.51,10.13,11.42,34.53,35.12,0.59,42.37,41.08,-1.29,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,72.01,3,sideway_left,17.06,2,medium,1,successful,7_13,False,159946,M. Sutton,1.0,GK,-32.11,3.88,3,center,1,defensive_third,False,-31.26,4.93,3,center,1,defensive_third,False,0.9984,False,0.0,False,3,0,0,0,0,0,1,0,0,3,0,1,3,1,1,8,8,True,442.0,3,False,False,False,,,,,16.35,2,medium,-120.96,4,sideway_right,16.51,2,medium,-119.22,4,sideway_right,False,10,10,0,10,10,0,True,True,True,True,False
8_6,6,1873859,349,359,00:33.9,00:34.9,0,33,1.0,1,2,right_to_left,8,player_possession,159946,M. Sutton,1,GK,1803,Western United,-31.26,4.93,3,center,1,defensive_third,False,-30.74,4.75,3,center,1,defensive_third,False,3,drawing,0,0,3,6,False,False,False,False,7,False,0,build_up,10,high_block,1,create,9,medium_block,9,medium_block,1,create,,,,,False,False,0.55,-19.09,1,forward,,,1.96,1,jogging,17.28,16.79,-0.49,11.31,11.19,42.57,41.93,-0.64,41.19,41.31,0.12,False,False,1,pass_reception,1,pass,False,True,False,False,False,False,False,-119.22,4,sideway_right,16.51,2,medium,1,successful,7_16,False,957737,D. Leonard,4.0,LCB,-23.12,19.2,2,half_space_left,1,defensive_third,False,-21.1,21.07,1,wide_left,1,defensive_third,False,0.9989,False,0.0,False,3,0,0,0,0,0,3,0,0,3,0,3,2,3,3,10,10,True,442.0,3,False,False,False,,,,,16.34,2,medium,62.2,3,sideway_left,16.26,2,medium,58.66,3,sideway_left,True,10,10,0,10,10,0,True,True,True,True,False
8_7,7,1873859,375,392,00:36.5,00:38.2,0,36,1.7,1,2,right_to_left,8,player_possession,957737,D. Leonard,4,LCB,1803,Western United,-21.1,21.07,1,wide_left,1,defensive_third,False,-20.26,21.23,1,wide_left,1,defensive_third,False,3,drawing,0,0,5,7,False,False,False,False,4,False,0,build_up,10,high_block,1,create,9,medium_block,1,create,9,medium_block,,,,,False,False,0.98,10.78,1,forward,,,2.12,1,jogging,12.54,10.14,-2.4,11.78,12.75,32.88,33.01,0.13,40.72,39.75,-0.97,False,False,1,pass_reception,1,pass,False,False,False,False,False,False,False,58.66,3,sideway_left,16.26,2,medium,1,successful,7_19,False,159946,M. Sutton,1.0,GK,-32.0,8.17,3,center,1,defensive_third,False,-31.98,8.95,3,center,1,defensive_third,False,0.999,False,0.0,False,4,1,0,0,0,0,2,0,0,3,1,2,3,2,2,8,8,True,442.0,3,False,False,False,,,,,17.56,2,medium,-131.95,4,sideway_right,18.37,2,medium,-131.34,4,sideway_right,False,10,10,0,10,10,0,True,True,True,True,False
8_8,8,1873859,408,419,00:39.8,00:40.9,0,39,1.1,1,2,right_to_left,8,player_possession,159946,M. Sutton,1,GK,1803,Western United,-31.98,8.95,3,center,1,defensive_third,False,-30.95,7.28,3,center,1,defensive_third,False,3,drawing,0,0,5,8,False,False,False,False,4,False,0,build_up,10,high_block,1,create,9,medium_block,1,create,9,medium_block,,,,,False,False,1.77,-58.34,4,sideway_right,,,6.45,1,jogging,18.66,17.86,-0.79,12.17,11.88,44.15,42.83,-1.32,40.33,40.62,0.29,False,False,1,pass_reception,1,pass,False,False,False,False,False,False,False,-131.34,4,sideway_right,18.37,2,medium,1,successful,7_21,False,795528,K. Vidmar,6.0,RCB,-26.86,-11.91,4,half_space_right,1,defensive_third,False,-26.05,-12.97,4,half_space_right,1,defensive_third,False,0.9987,False,0.0,False,2,0,0,0,0,0,2,0,0,2,0,2,2,2,2,10,10,True,442.0,3,False,False,False,,,,,19.62,2,medium,-77.97,4,sideway_right,17.3,2,medium,-77.96,4,sideway_right,True,10,10,0,10,10,0,True,True,True,True,False
8_9,9,1873859,435,461,00:42.5,00:45.1,0,42,2.6,1,2,right_to_left,8,player_possession,795528,K. Vidmar,6,RCB,1803,Western United,-26.05,-12.97,4,half_space_right,1,defensive_third,False,-25.23,-16.39,4,half_space_right,1,defensive_third,False,3,drawing,0,0,5,9,False,False,False,False,4,False,0,build_up,10,high_block,1,create,9,medium_block,1,create,9,medium_block,,,,,False,False,4.22,-76.52,4,sideway_right,False,False,5.75,1,jogging,14.09,12.63,-1.47,12.11,12.71,38.16,37.94,-0.22,40.39,39.79,-0.6,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,-77.96,4,sideway_right,17.3,2,medium,1,successful,7_24,False,159946,M. Sutton,1.0,GK,-30.93,0.01,3,center,1,defensive_third,False,-29.57,-0.39,3,center,1,defensive_third,False,0.999,False,0.0,False,3,0,0,0,0,0,2,0,0,3,0,1,3,1,2,9,9,True,442.0,3,False,False,False,,,,,17.36,2,medium,109.17,3,sideway_left,16.59,2,medium,110.95,3,sideway_left,False,10,10,0,10,10,0,True,True,True,True,False
