event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched
1_0,0,1911077,478,494,00:46.8,00:48.4,0,46,1.6,1,2,right_to_left,1,off_ball_run,4,dropping_off,795511,N. Paull,4,LCB,795510,B. Kaltak,6,RCB,870,CC Mariners,-11.28,10.44,2,half_space_left,2,middle_third,False,-19.1,8.21,3,center,1,defensive_third,False,8_4,487,3,drawing,0,0,5,1,create,9,medium_block,False,False,8.14,-164.08,2,backward,False,False,18.05,2,running,8.6,9.96,1.37,18.9,15.8,30.18,34.9,4.72,33.6,36.7,3.1,False,False,3,ahead,2,same_line,15.04,13.5,-17.52,-3.24,3,center,1,defensive_third,False,-18.95,-5.29,3,center,1,defensive_third,False,True,True,True,False,False,0.0002,0.9922,0.9358,True,True,1,False,,,,True,10,10,0,True,True,True
1_1,1,1911077,482,497,00:47.2,00:48.7,0,47,1.5,1,2,right_to_left,1,off_ball_run,2,coming_short,29856,A. McCalmont,14,RM,795510,B. Kaltak,6,RCB,870,CC Mariners,-2.18,2.62,3,center,2,middle_third,False,-6.37,-3.17,3,center,2,middle_third,False,8_4,487,3,drawing,0,0,5,1,create,9,medium_block,False,False,6.76,-125.89,4,sideway_right,False,False,17.06,2,running,7.62,9.94,2.32,18.28,15.12,20.46,21.49,1.03,34.22,37.38,3.16,True,True,3,ahead,3,ahead,17.09,13.14,-17.99,-3.86,3,center,1,defensive_third,False,-19.3,-5.52,3,center,1,defensive_third,False,False,False,,False,False,0.0009,0.9207,0.8042,True,True,1,False,,,,True,8,8,0,True,True,
1_2,2,1911077,511,519,00:50.1,00:50.9,0,50,0.8,1,2,right_to_left,1,off_ball_run,2,coming_short,34423,Mikael Doka,19,CF,795511,N. Paull,4,LCB,870,CC Mariners,7.44,7.44,3,center,2,middle_third,False,4.86,10.51,2,half_space_left,2,middle_third,False,8_5,507,3,drawing,0,0,5,1,create,9,medium_block,False,False,4.01,130.04,3,sideway_left,True,False,20.38,3,hsr,3.9,2.16,-1.74,12.57,12.03,5.13,7.17,2.04,39.93,40.47,0.54,True,True,3,ahead,3,ahead,27.64,24.7,-20.06,10.18,2,half_space_left,1,defensive_third,False,-19.71,13.06,2,half_space_left,1,defensive_third,False,False,False,,False,False,0.0021,0.7908,0.7552,True,False,0,False,,,,True,4,4,0,True,True,
1_3,3,1911077,520,544,00:51.0,00:53.4,0,51,2.4,1,2,right_to_left,1,off_ball_run,2,coming_short,34423,Mikael Doka,19,CF,51683,L. Mauragis,2,LB,870,CC Mariners,4.54,10.98,2,half_space_left,2,middle_third,False,2.43,23.34,1,wide_left,2,middle_third,False,8_6,532,3,drawing,0,0,5,1,create,9,medium_block,False,False,13.0,99.69,3,sideway_left,True,False,19.42,2,running,1.94,1.9,-0.04,12.01,13.88,7.47,11.45,3.98,40.49,38.62,-1.87,True,True,3,ahead,3,ahead,24.28,13.72,-6.77,32.47,1,wide_left,2,middle_third,False,-7.94,32.32,1,wide_left,2,middle_third,False,False,False,,False,False,0.002,0.8059,0.9023,True,True,0,False,,,,True,5,4,-1,True,True,
1_4,4,1911077,730,743,01:12.0,01:13.3,1,12,1.3,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,51683,L. Mauragis,2,LB,795509,C. Theoharous,16,LW,870,CC Mariners,-13.18,32.67,1,wide_left,2,middle_third,False,-6.19,32.96,1,wide_left,2,middle_third,False,8_8,704,3,drawing,0,0,6,1,create,9,medium_block,True,False,6.41,2.38,1,forward,False,False,19.27,2,running,4.21,4.62,0.41,5.2,9.08,18.38,15.27,-3.11,47.3,43.42,-3.88,False,False,2,same_line,2,same_line,7.72,6.3,-13.09,24.95,1,wide_left,2,middle_third,False,-4.9,26.79,1,wide_left,2,middle_third,False,False,False,,False,False,0.0023,0.6713,0.7929,True,True,1,False,,,,True,6,6,0,True,True,
1_5,5,1911077,738,771,01:12.8,01:16.1,1,12,3.3,1,2,right_to_left,1,off_ball_run,1,behind,51668,A. Kuol,19,CF,795509,C. Theoharous,16,LW,870,CC Mariners,6.36,20.81,1,wide_left,2,middle_third,False,29.33,25.59,1,wide_left,3,attacking_third,False,8_8,704,3,drawing,0,0,6,1,create,9,medium_block,True,False,23.14,11.76,1,forward,False,False,27.71,4,sprinting,3.05,2.31,-0.75,7.18,27.14,0.82,-2.19,-3.01,45.32,25.36,-19.96,False,False,3,ahead,3,ahead,15.43,21.54,-8.14,26.09,1,wide_left,2,middle_third,False,7.8,24.91,1,wide_left,2,middle_third,False,True,True,False,True,True,0.0238,0.3831,0.9666,True,True,1,False,True,True,False,True,0,1,1,True,True,True
1_6,6,1911077,744,791,01:13.4,01:18.1,1,13,4.7,1,2,right_to_left,1,off_ball_run,3,cross_receiver,923863,S. Kuzevski,17,RW,51668,A. Kuol,19,CF,870,CC Mariners,1.58,7.28,3,center,2,middle_third,False,31.57,5.56,3,center,3,attacking_third,False,8_9,771,3,drawing,0,0,7,2,finish,8,low_block,True,False,29.82,-3.28,1,forward,False,False,23.02,3,hsr,7.77,6.19,-1.58,9.51,38.8,7.93,7.23,-0.7,42.99,13.7,-29.29,True,True,1,behind,1,behind,15.59,17.48,9.61,20.64,1,wide_left,2,middle_third,False,39.21,21.28,1,wide_left,3,attacking_third,False,True,True,True,False,False,0.0182,0.88,0.9657,True,True,2,False,,,,True,3,3,0,True,True,True
1_7,7,1911077,744,799,01:13.4,01:18.9,1,13,5.5,1,2,right_to_left,1,off_ball_run,9,support,34423,Mikael Doka,19,CF,51668,A. Kuol,19,CF,870,CC Mariners,-7.89,16.98,2,half_space_left,2,middle_third,False,22.58,7.85,3,center,3,attacking_third,False,8_9,771,3,drawing,0,0,7,2,finish,8,low_block,True,False,31.45,-16.68,1,forward,False,False,16.32,2,running,8.43,11.61,3.18,9.51,40.77,17.4,18.19,0.79,42.99,11.73,-31.26,True,True,1,behind,1,behind,17.88,20.41,9.61,20.64,1,wide_left,2,middle_third,False,38.89,20.12,2,half_space_left,3,attacking_third,True,False,False,,True,False,0.0302,0.6987,0.8061,True,False,2,False,,,,False,5,7,2,True,True,
1_8,8,1911077,744,813,01:13.4,01:20.3,1,13,6.9,1,2,right_to_left,1,off_ball_run,9,support,51683,L. Mauragis,2,LB,51668,A. Kuol,19,CF,870,CC Mariners,-5.61,32.96,1,wide_left,2,middle_third,False,34.25,22.62,1,wide_left,3,attacking_third,False,8_9,771,3,drawing,0,0,7,2,finish,8,low_block,True,False,41.51,-14.54,1,forward,False,False,20.94,3,hsr,4.64,4.01,-0.63,9.51,39.58,15.12,5.33,-9.79,42.99,12.92,-30.07,False,False,1,behind,1,behind,19.58,6.8,9.61,20.64,1,wide_left,2,middle_third,False,37.85,16.85,2,half_space_left,3,attacking_third,True,False,False,,True,False,0.0232,0.7011,0.816,True,False,2,False,,,,False,5,6,1,True,True,
1_9,9,1911077,1110,1135,01:50.0,01:52.5,1,50,2.5,1,1,left_to_right,1,off_ball_run,1,behind,51686,A. Goodwin,19,CF,42513,Z. Clough,17,RW,866,Adelaide United,-0.67,11.14,2,half_space_left,2,middle_third,False,14.98,4.11,3,center,2,middle_third,False,8_14,1118,3,drawing,0,0,11,1,create,9,medium_block,True,False,16.52,-24.19,1,forward,False,True,24.9,3,hsr,7.17,2.71,-4.46,7.1,15.91,7.77,0.93,-6.84,45.4,36.59,-8.81,True,True,2,same_line,3,ahead,10.2,16.58,-2.58,1.12,3,center,2,middle_third,False,-1.48,2.15,3,center,2,middle_third,False,True,True,False,True,True,0.063,0.5781,0.914,True,True,0,False,True,False,False,True,1,4,3,True,True,True
1_10,10,1911077,1125,1176,01:51.5,01:56.6,1,51,5.1,1,1,left_to_right,1,off_ball_run,9,support,51005,D. Pierias,8,RB,51686,A. Goodwin,19,CF,866,Adelaide United,3.79,-19.89,4,half_space_right,2,middle_third,False,40.82,-10.96,4,half_space_right,3,attacking_third,True,8_15,1135,3,drawing,0,0,12,2,finish,8,low_block,True,False,37.75,13.56,1,forward,False,False,,,,12.91,4.35,-8.56,10.32,43.81,6.53,2.99,-3.54,42.18,8.69,-33.49,False,False,1,behind,2,same_line,26.69,4.02,7.18,6.58,3,center,2,middle_third,False,42.79,-7.46,3,center,3,attacking_third,True,False,False,,True,False,0.1344,0.7028,0.9577,True,True,0,False,,,,True,2,4,2,True,True,
