event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,high_pass,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_passing_options,passing_option_at_pass_moment,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched,fully_extrapolated
7_0,0,1923438,51,61,00:04.1,00:05.1,0,4,1.0,1,2,right_to_left,7,passing_option,51686,A. Goodwin,19,CF,50968,J. Delianov,1,GK,866,Adelaide United,10.06,17.56,2,half_space_left,2,middle_third,False,16.12,17.03,2,half_space_left,2,middle_third,False,8_1,49,1_0,8,run_ahead_of_the_ball,3,drawing,0,0,1,6,direct,15,defending_direct,False,False,6.09,-5.0,1,forward,False,False,21.84,3,hsr,2.49,4.04,1.55,20.58,22.1,10.52,5.98,-4.54,31.92,30.4,-1.52,True,True,,False,,,,,,,,,,,,,,,,42.59,3,long,28.28,1,forward,,,,,,,True,10,3,7,3,ahead,3,ahead,38.14,42.59,-22.59,-2.16,3,center,1,defensive_third,False,-21.39,-3.15,3,center,1,defensive_third,False,True,False,,False,False,0.0077,0.7334,0.9098,True,61,True,1,True,True,True,,False
7_1,1,1923438,55,61,00:04.5,00:05.1,0,4,0.6,1,2,right_to_left,7,passing_option,18811,B. Folami,16,LW,50968,J. Delianov,1,GK,866,Adelaide United,11.3,23.83,1,wide_left,2,middle_third,False,15.29,24.29,1,wide_left,2,middle_third,False,8_1,49,1_1,8,run_ahead_of_the_ball,3,drawing,0,0,1,6,direct,15,defending_direct,False,False,4.02,6.58,1,forward,False,False,24.07,3,hsr,3.76,5.14,1.38,20.69,22.1,9.39,6.81,-2.58,31.81,30.4,-1.41,False,False,,False,,,,,,,,,,,,,,,,45.27,3,long,36.99,1,forward,,,,,,,True,10,3,7,3,ahead,3,ahead,42.67,45.81,-22.26,-2.53,3,center,1,defensive_third,False,-21.39,-3.15,3,center,1,defensive_third,False,False,False,,False,False,0.0016,0.7179,0.7957,True,60,False,1,True,True,True,,False
7_2,2,1923438,343,343,00:33.3,00:33.3,0,33,0.0,1,1,left_to_right,7,passing_option,18573,J. Lolley,16,LW,25534,A. Ouahim,15,AM,869,Sydney FC,-11.53,14.58,2,half_space_left,2,middle_third,False,-11.53,14.58,2,half_space_left,2,middle_third,False,8_3,343,,,,3,drawing,0,0,3,1,create,9,medium_block,False,False,0.0,133.41,3,sideway_left,False,False,8.4,1,jogging,2.75,5.81,3.06,2.34,2.34,13.87,13.87,0.0,50.16,50.16,0.0,True,True,False,True,343.0,3,False,,,False,,,False,,,,,,,6.19,1,short,4.17,1,forward,3.78,1,short,-9.14,1,forward,True,6,3,3,3,ahead,3,ahead,6.19,6.19,-17.7,14.13,2,half_space_left,1,defensive_third,False,-17.7,14.13,2,half_space_left,1,defensive_third,False,True,True,True,False,False,0.0019,0.8079,0.9647,True,343,True,1,True,True,True,True,False
7_3,3,1923438,343,343,00:33.3,00:33.3,0,33,0.0,1,1,left_to_right,7,passing_option,51053,P. Wood,19,CF,25534,A. Ouahim,15,AM,869,Sydney FC,-2.52,6.39,3,center,2,middle_third,False,-2.52,6.39,3,center,2,middle_third,False,8_3,343,,,,3,drawing,0,0,3,1,create,9,medium_block,False,False,0.0,154.68,2,backward,False,False,13.29,1,jogging,6.14,6.14,0.0,2.34,2.34,4.86,4.86,0.0,50.16,50.16,0.0,True,True,,True,343.0,3,False,,,True,1,through,False,,,2,second_last,1,through,17.04,2,medium,-27.02,1,forward,,,,,,,True,6,2,4,3,ahead,3,ahead,17.04,17.04,-17.7,14.13,2,half_space_left,1,defensive_third,False,-17.7,14.13,2,half_space_left,1,defensive_third,False,False,False,,False,False,0.0036,0.8296,0.9722,True,343,True,1,True,True,True,,False
7_4,4,1923438,350,393,00:34.0,00:38.3,0,34,4.3,1,1,left_to_right,7,passing_option,51053,P. Wood,19,CF,18573,J. Lolley,16,LW,869,Sydney FC,-3.9,8.78,3,center,2,middle_third,False,22.04,10.13,2,half_space_left,3,attacking_third,False,8_4,350,1_2,1,behind,3,drawing,0,0,3,1,create,9,medium_block,False,False,27.62,2.98,1,forward,False,False,23.81,3,hsr,7.95,1.59,-6.36,2.93,24.43,6.83,2.39,-4.44,49.57,28.07,-21.5,True,True,False,True,433.0,3,False,,,False,,,True,2,around,3,last,2,around,14.49,1,short,-69.05,4,sideway_right,11.5,1,short,-119.53,4,sideway_right,True,4,0,4,3,ahead,3,ahead,10.75,14.49,-10.55,17.23,2,half_space_left,2,middle_third,False,16.86,23.66,1,wide_left,2,middle_third,False,True,True,False,True,True,0.048,0.4712,0.9235,True,393,True,0,True,True,True,True,False
7_5,5,1923438,414,438,00:40.4,00:42.8,0,40,2.4,1,1,left_to_right,7,passing_option,18573,J. Lolley,16,LW,51053,P. Wood,19,CF,869,Sydney FC,28.33,19.98,2,half_space_left,3,attacking_third,False,40.28,17.28,2,half_space_left,3,attacking_third,True,8_5,413,1_4,9,support,3,drawing,0,0,4,2,finish,8,low_block,False,False,12.29,-12.73,1,forward,False,False,18.45,2,running,1.29,3.13,1.84,39.59,51.35,11.26,11.07,-0.19,12.91,1.15,-11.76,True,False,,False,,,,,,,,,,,,,,,,13.91,1,short,153.67,2,backward,,,,,,,False,0,3,-3,1,behind,1,behind,16.22,12.82,40.75,9.55,2,half_space_left,3,attacking_third,True,51.9,11.86,2,half_space_left,3,attacking_third,True,False,False,,True,True,0.0405,0.4324,0.8295,True,435,True,1,False,True,True,,False
7_6,6,1923438,429,438,00:41.9,00:42.8,0,41,0.9,1,1,left_to_right,7,passing_option,2858,Douglas Costa,17,RW,51053,P. Wood,19,CF,869,Sydney FC,29.08,4.48,3,center,3,attacking_third,False,33.03,4.53,3,center,3,attacking_third,False,8_5,413,1_3,9,support,3,drawing,0,0,4,2,finish,8,low_block,False,False,3.53,0.73,1,forward,False,False,15.8,2,running,7.98,8.0,0.01,49.34,51.35,20.26,18.32,-1.94,3.16,1.15,-2.01,True,True,,False,,,,,,,,,,,,,,,,20.92,2,medium,-161.82,2,backward,,,,,,,False,0,5,-5,1,behind,1,behind,22.05,20.24,50.33,10.37,2,half_space_left,3,attacking_third,True,51.9,11.86,2,half_space_left,3,attacking_third,True,False,False,,True,True,0.0635,0.2693,0.7808,True,435,False,1,False,True,True,,False
7_7,7,1923438,1275,1275,02:06.5,02:06.5,2,6,0.0,1,2,right_to_left,7,passing_option,23925,R. Kitto,2,LB,809759,P. Kikianis,4,LCB,866,Adelaide United,-23.03,20.03,2,half_space_left,1,defensive_third,False,-23.03,20.03,2,half_space_left,1,defensive_third,False,8_6,1275,,,,3,drawing,0,0,5,0,build_up,10,high_block,False,False,0.0,,,,False,False,,,,17.22,17.22,0.0,9.88,9.88,32.91,32.91,0.0,42.62,42.62,0.0,False,False,,True,4411.0,2,,,,False,,,False,,,,,,,16.0,2,medium,71.83,3,sideway_left,,,,,,,True,9,9,0,3,ahead,3,ahead,16.0,16.0,-28.02,4.83,3,center,1,defensive_third,False,-28.02,4.83,3,center,1,defensive_third,False,False,False,,False,False,0.0001,0.9955,0.9434,True,1275,True,1,True,True,True,,True
7_8,8,1923438,1275,1275,02:06.5,02:06.5,2,6,0.0,1,2,right_to_left,7,passing_option,560893,E. Alagich,9,LDM,809759,P. Kikianis,4,LCB,866,Adelaide United,-15.91,6.38,3,center,2,middle_third,False,-15.91,6.38,3,center,2,middle_third,False,8_6,1275,,,,3,drawing,0,0,5,0,build_up,10,high_block,False,False,0.0,,,,False,False,,,,9.45,5.78,-3.67,9.88,9.88,25.79,25.79,0.0,42.62,42.62,0.0,False,False,False,True,4411.0,2,,,,False,,,False,,,,,,,12.21,1,short,7.29,1,forward,9.23,1,short,4.66,1,forward,True,9,9,0,3,ahead,3,ahead,12.21,12.21,-28.02,4.83,3,center,1,defensive_third,False,-28.02,4.83,3,center,1,defensive_third,False,True,True,True,False,False,0.0001,0.9982,0.9101,True,1275,True,1,True,True,True,True,True
7_9,9,1923438,1285,1292,02:07.5,02:08.2,2,7,0.7,1,2,right_to_left,7,passing_option,23925,R. Kitto,2,LB,560893,E. Alagich,9,LDM,866,Adelaide United,-21.34,20.52,1,wide_left,1,defensive_third,False,-19.9,20.8,1,wide_left,1,defensive_third,False,8_7,1285,,,,3,drawing,0,0,6,1,create,9,medium_block,False,False,1.27,11.0,1,forward,False,False,7.35,1,jogging,15.23,15.54,0.31,9.78,9.69,31.12,29.59,-1.53,42.72,42.81,0.09,False,False,,False,,,,,,,,,,,,,,,,15.97,2,medium,109.12,3,sideway_left,,,,,,,False,9,9,0,1,behind,1,behind,15.89,16.88,-15.87,5.6,3,center,2,middle_third,False,-16.21,4.33,3,center,2,middle_third,False,False,False,,False,False,0.0002,0.9976,0.7963,True,1286,True,2,True,True,True,,False
