event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,second_last_line_break,last_line_break,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,2013014,2668,2668,00:00.8,00:00.8,0,0,0.0,1,1,left_to_right,8,player_possession,560893,E. Alagich,9,LDM,866,Adelaide United,0.14,-0.61,3,center,2,middle_third,False,0.14,-0.61,3,center,2,middle_third,False,3,drawing,0,0,0,1,True,False,True,True,1,False,1,create,9,medium_block,0,build_up,10,high_block,,,,,,,,,False,False,0.0,39.4,1,forward,,,,,,7.14,7.14,0.0,20.02,20.02,19.88,19.88,0.0,32.48,32.48,0.0,True,True,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,969677,M. Vartuli,1.0,GK,-28.75,0.6,3,center,1,defensive_third,False,-27.22,1.11,3,center,1,defensive_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,3,3,,,,,,,,,,,,,,,,,31.25,3,long,-178.53,2,backward,,,,,8,8,0,False,False,,True,True
8_1,1,2013014,2687,2707,00:02.7,00:04.7,0,2,2.0,1,1,left_to_right,8,player_possession,969677,M. Vartuli,1,GK,866,Adelaide United,-27.22,1.11,3,center,1,defensive_third,False,-24.81,4.04,3,center,1,defensive_third,False,3,drawing,0,0,2,1,False,True,True,True,1,True,6,direct,15,defending_direct,5,chaotic,5,chaotic,0,build_up,10,high_block,,,,,False,False,4.9,50.56,3,sideway_left,False,False,8.86,1,jogging,19.87,11.34,-8.52,21.22,24.31,48.44,49.12,0.68,31.28,28.19,-3.09,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,-178.53,2,backward,31.25,3,long,2,unsuccessful,7_1,,797295,L. Jovanovic,19.0,CF,18.89,20.29,1,wide_left,3,attacking_third,False,,,,,,,,0.7368,False,0.0063,False,2,2,2,0,2,0,2,0,0,2,0,2,2,2,2,10,10,True,442.0,3,True,True,False,2,second_last,1,through,46.62,3,long,20.4,1,forward,,,,,,,True,10,4,6,10,10,0,True,True,False,True,False
8_2,2,2013014,2739,2739,00:07.9,00:07.9,0,7,0.0,1,2,right_to_left,8,player_possession,69111,H. Bility,4,LCB,1802,Brisbane FC,-26.37,-1.19,3,center,1,defensive_third,False,-26.37,-1.19,3,center,1,defensive_third,False,3,drawing,0,0,3,1,True,True,True,True,1,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,15,defending_direct,6,direct,,,,,False,False,0.0,47.49,3,sideway_left,,,3.5,1,jogging,7.14,7.14,0.0,1.44,1.44,27.81,27.81,0.0,51.06,51.06,0.0,False,False,2,pass_interception,1,pass,True,False,False,False,False,False,False,,,,,,,2,unsuccessful,,,560882,F. B̩renguer,12.0,LM,-2.26,2.96,3,center,2,middle_third,False,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,0,True,True,True,True,False
8_3,3,2013014,2786,2786,00:12.6,00:12.6,0,12,0.0,1,1,left_to_right,8,player_possession,26766,B. Vriends,6,RCB,866,Adelaide United,-6.69,-23.73,5,wide_right,2,middle_third,False,-6.69,-23.73,5,wide_right,2,middle_third,False,3,drawing,0,0,4,2,True,True,True,True,1,True,5,chaotic,5,chaotic,9,medium_block,1,create,5,chaotic,5,chaotic,,,12,throw_in_against,False,False,0.0,-91.99,4,sideway_right,,,16.59,2,running,2.12,2.12,0.0,19.11,19.11,25.8,25.8,0.0,33.39,33.39,0.0,False,False,2,pass_interception,1,pass,True,False,False,False,True,False,False,,,,,,,2,unsuccessful,,,51646,J. Yull,17.0,RW,11.06,-21.3,5,wide_right,2,middle_third,False,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,True,True,True,,False
8_4,4,2013014,2919,2949,00:25.9,00:28.9,0,25,3.0,1,2,right_to_left,8,player_possession,37087,Asumah Abubakar,19,CF,1802,Brisbane FC,21.46,26.85,1,wide_left,3,attacking_third,False,15.63,28.2,1,wide_left,2,middle_third,False,3,drawing,0,0,5,1,True,False,False,True,4,False,1,create,9,medium_block,2,finish,8,low_block,5,chaotic,5,chaotic,11,throw_in_for,,,False,False,6.67,166.96,2,backward,False,False,8.06,1,jogging,0.04,1.74,1.69,24.68,28.41,3.22,12.78,9.56,27.82,24.09,-3.73,True,True,7,throw_in_reception,1,pass,False,False,True,False,False,False,False,,,,,,,1,successful,7_5,False,51002,J. O'Shea,10.0,DM,9.68,26.5,1,wide_left,2,middle_third,False,8.46,27.45,1,wide_left,2,middle_third,False,0.8734,False,0.0017,False,4,1,0,0,0,0,2,1,0,2,1,3,2,0,2,3,1,False,,,,,,,,,,6.19,1,short,-164.05,2,backward,4.19,1,short,-175.62,2,backward,False,6,8,-2,6,2,-4,True,True,,True,False
8_5,5,2013014,2957,2957,00:29.7,00:29.7,0,29,0.0,1,2,right_to_left,8,player_possession,51002,J. O'Shea,10,DM,1802,Brisbane FC,8.46,27.45,1,wide_left,2,middle_third,False,8.46,27.45,1,wide_left,2,middle_third,False,3,drawing,0,0,5,2,False,False,True,False,4,False,1,create,9,medium_block,2,finish,8,low_block,5,chaotic,5,chaotic,,,,,False,False,0.0,144.01,2,backward,,,7.5,1,jogging,2.53,2.53,0.0,26.76,26.76,18.3,18.3,0.0,25.74,25.74,0.0,True,True,1,pass_reception,1,pass,True,False,False,False,False,False,False,-175.62,2,backward,4.19,1,short,1,successful,7_6,False,560898,L. Zabala,2.0,LB,12.47,33.78,1,wide_left,2,middle_third,False,12.86,33.32,1,wide_left,2,middle_third,False,0.8633,False,0.0016,False,1,0,0,0,0,0,1,0,0,1,0,,,,,6,6,False,,,,,,,,,,7.49,1,short,57.65,3,sideway_left,8.38,1,short,48.0,3,sideway_left,True,8,6,2,8,8,0,True,True,True,True,False
8_6,6,2013014,2966,2987,00:30.6,00:32.7,0,30,2.1,1,2,right_to_left,8,player_possession,560898,L. Zabala,2,LB,1802,Brisbane FC,12.86,33.32,1,wide_left,2,middle_third,False,21.22,32.13,1,wide_left,3,attacking_third,False,3,drawing,0,0,6,1,False,False,False,True,2,True,2,finish,8,low_block,5,chaotic,5,chaotic,1,create,9,medium_block,,,,,False,False,8.01,-8.1,1,forward,False,False,14.32,1,jogging,6.3,4.26,-2.05,24.47,29.81,11.61,8.59,-3.02,28.03,22.69,-5.34,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,48.0,3,sideway_left,8.38,1,short,1,successful,7_8,False,965698,J. Brazete,16.0,LW,26.55,33.82,1,wide_left,3,attacking_third,False,28.02,33.76,1,wide_left,3,attacking_third,False,0.8831,False,0.0058,False,2,1,0,0,0,0,2,0,0,2,0,2,2,2,2,2,4,False,,,,,,,,,,5.59,1,short,17.59,1,forward,4.05,1,short,29.41,1,forward,True,6,3,3,6,6,0,True,True,True,True,False
8_7,7,2013014,2992,2992,00:33.2,00:33.2,0,33,0.0,1,2,right_to_left,8,player_possession,965698,J. Brazete,16,LW,1802,Brisbane FC,28.02,33.76,1,wide_left,3,attacking_third,False,28.02,33.76,1,wide_left,3,attacking_third,False,3,drawing,0,0,6,2,False,True,True,False,2,True,2,finish,8,low_block,5,chaotic,5,chaotic,1,create,9,medium_block,,,,,False,False,0.0,-2.34,1,forward,,,10.66,1,jogging,1.69,1.69,0.0,32.24,32.24,4.22,4.22,0.0,20.26,20.26,0.0,False,False,1,pass_reception,1,pass,True,False,False,False,False,False,False,29.41,1,forward,4.05,1,short,2,unsuccessful,7_9,,560882,F. B̩renguer,12.0,LM,31.54,26.72,1,wide_left,3,attacking_third,False,,,,,,,,0.6895,False,0.0095,False,2,1,0,0,0,0,1,0,0,2,0,,,,,1,1,False,,,,,,,,,,7.87,1,short,-63.43,4,sideway_right,,,,,,,True,3,1,2,3,3,0,True,True,True,True,False
8_8,8,2013014,3026,3065,00:36.6,00:40.5,0,36,3.9,1,1,left_to_right,8,player_possession,51005,D. Pierias,8,RB,866,Adelaide United,-35.01,-33.74,5,wide_right,1,defensive_third,False,-44.88,-32.35,5,wide_right,1,defensive_third,False,3,drawing,0,0,7,1,True,True,True,True,1,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,8,low_block,2,finish,,,,,False,False,11.49,171.98,2,backward,False,False,11.18,1,jogging,2.97,1.35,-1.62,-3.82,-3.47,31.19,41.41,10.22,56.32,55.97,-0.35,False,False,4,recovery,1,pass,False,False,True,False,False,False,False,,,,,,,2,unsuccessful,7_13,,50949,J. Barnett,11.0,RDM,-37.28,-28.64,5,wide_right,1,defensive_third,False,,,,,,,,0.5859,True,0.0001,False,6,0,0,0,0,0,5,0,0,3,3,3,3,2,5,9,5,False,,,,,,,,,,8.46,1,short,26.02,1,forward,,,,,,,True,10,7,3,10,7,-3,True,True,,True,False
8_9,9,2013014,3078,3078,00:41.8,00:41.8,0,41,0.0,1,2,right_to_left,8,player_possession,560898,L. Zabala,2,LB,1802,Brisbane FC,36.8,32.34,1,wide_left,3,attacking_third,False,36.8,32.34,1,wide_left,3,attacking_third,False,3,drawing,0,0,8,2,True,False,True,True,1,False,5,chaotic,5,chaotic,2,finish,8,low_block,5,chaotic,5,chaotic,,,11,throw_in_for,False,False,0.0,18.12,1,forward,,,12.42,1,jogging,2.76,2.76,0.0,49.29,49.29,12.49,12.49,0.0,3.21,3.21,0.0,False,False,2,pass_interception,1,pass,True,False,False,False,False,False,False,,,,,,,2,unsuccessful,,,560882,F. B̩renguer,12.0,LM,46.69,27.61,1,wide_left,3,attacking_third,False,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,True,True,True,True,False
