event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_simultaneous_passing_options,passing_option_at_pass_moment,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,2007148,18,18,00:00.8,00:00.8,0,0,0.0,1,1,left_to_right,8,player_possession,,,51651,L. Rose,19,CF,,,,,1805,Newcastle,-0.1,0.02,3,center,2,middle_third,False,-0.1,0.02,3,center,2,middle_third,False,,,,,,3,drawing,0,0,0,1,True,False,True,True,1,False,1,create,9,medium_block,0,build_up,10,high_block,,,,,,,,,False,False,0.0,-18.43,1,forward,,,1.67,1,jogging,8.24,8.24,0.0,17.92,17.92,18.02,18.02,0.0,34.58,34.58,0.0,True,True,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,735574,K. Grozos,5,CB,-24.56,-0.71,3,center,1,defensive_third,False,-26.44,-1.05,3,center,1,defensive_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,27.38,2,medium,179.87,2,backward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,0,True,True,,True,False
8_1,1,2007148,36,46,00:02.6,00:03.6,0,2,1.0,1,1,left_to_right,8,player_possession,,,735574,K. Grozos,5,CB,,,,,1805,Newcastle,-26.44,-1.05,3,center,1,defensive_third,False,-27.01,-2.1,3,center,1,defensive_third,False,,,,,,3,drawing,0,0,1,1,False,False,False,True,3,False,0,build_up,10,high_block,1,create,9,medium_block,1,create,9,medium_block,,,,,False,False,1.23,-118.5,4,sideway_right,,,4.45,1,jogging,20.62,15.65,-4.97,17.01,15.22,43.45,42.23,-1.22,35.49,37.28,1.79,False,False,1,pass_reception,1,pass,False,True,False,False,False,False,False,179.87,2,backward,27.38,2,medium,1,successful,7_0,False,176224,P. Cancar,6,RCB,-24.66,-13.68,4,half_space_right,1,defensive_third,False,-24.79,-13.38,4,half_space_right,1,defensive_third,False,0.9987,False,0.0002,False,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,9,9,True,424,3,False,,,False,,,False,,,,,,,11.82,1,short,-78.53,4,sideway_right,12.0,1,short,-64.95,4,sideway_right,False,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,True,True,True,True,False
7_0,2,2007148,36,46,00:02.6,00:03.6,0,2,1.0,1,1,left_to_right,7,passing_option,,,176224,P. Cancar,6,RCB,735574,K. Grozos,5,CB,1805,Newcastle,-22.07,-13.94,4,half_space_right,1,defensive_third,False,-24.66,-13.68,4,half_space_right,1,defensive_third,False,8_1,36,,,,3,drawing,0,0,1,,,,,,,,0,build_up,10,high_block,,,,,,,,,,,,,False,False,2.6,174.27,2,backward,False,False,9.22,1,jogging,17.12,8.43,-8.69,17.01,15.22,39.08,39.88,0.8,35.49,37.28,1.79,False,False,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,424,3,False,,,False,,,False,,,,,,,11.82,1,short,-78.53,4,sideway_right,12.0,1,short,-64.95,4,sideway_right,False,10,10,0,3,ahead,2,same_line,13.61,11.82,-26.44,-1.05,3,center,1,defensive_third,False,-27.01,-2.1,3,center,1,defensive_third,False,True,True,True,False,False,0.0002,0.9987,0.9644,True,46,True,,,,,,,0,True,,,,True,True,,True,False
8_2,3,2007148,58,65,00:04.8,00:05.5,0,4,0.7,1,1,left_to_right,8,player_possession,,,176224,P. Cancar,6,RCB,,,,,1805,Newcastle,-24.79,-13.38,4,half_space_right,1,defensive_third,False,-24.62,-13.33,4,half_space_right,1,defensive_third,False,,,,,,3,drawing,0,0,1,2,False,False,False,False,3,False,0,build_up,10,high_block,1,create,9,medium_block,1,create,9,medium_block,,,,,False,False,0.19,16.39,1,forward,,,1.23,1,jogging,8.43,5.79,-2.64,12.34,10.27,37.13,34.89,-2.24,40.16,42.23,2.07,False,False,1,pass_reception,1,pass,False,True,False,False,False,False,False,-64.95,4,sideway_right,12.0,1,short,1,successful,7_2,False,735574,K. Grozos,5,CB,-31.67,-2.7,3,center,1,defensive_third,False,-33.43,-1.05,3,center,1,defensive_third,False,0.998,False,0.0001,False,3,0,1,1,0,0,1,0,0,3,0,2,3,1,1,7,7,True,424,3,False,,,False,,,False,,,,,,,12.76,1,short,123.55,3,sideway_left,13.74,1,short,115.84,3,sideway_left,False,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,True,True,True,True,False
7_1,4,2007148,58,64,00:04.8,00:05.4,0,4,0.6,1,1,left_to_right,7,passing_option,,,50978,C. Timmins,12,LM,176224,P. Cancar,6,RCB,1805,Newcastle,-12.08,-8.02,3,center,2,middle_third,False,-13.12,-9.61,4,half_space_right,2,middle_third,False,8_2,58,,,,3,drawing,0,0,1,,,,,,,,0,build_up,10,high_block,,,,,,,,,,,,,False,False,1.9,-123.19,4,sideway_right,True,False,11.34,1,jogging,5.4,6.14,0.74,12.34,10.58,24.42,23.7,-0.72,40.16,41.92,1.76,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,424,3,True,1,through,False,,,False,,,1,first,1,through,13.17,1,short,21.52,1,forward,,,,,,,True,10,7,3,3,ahead,3,ahead,13.79,12.07,-24.79,-13.38,4,half_space_right,1,defensive_third,False,-24.61,-13.31,4,half_space_right,1,defensive_third,False,False,False,,False,False,0.0005,0.8413,0.7622,True,60,True,,,,,,,2,True,,,,True,True,,,False
7_2,5,2007148,61,65,00:05.1,00:05.5,0,5,0.4,1,1,left_to_right,7,passing_option,,,735574,K. Grozos,5,CB,176224,P. Cancar,6,RCB,1805,Newcastle,-30.63,-2.83,3,center,1,defensive_third,False,-31.67,-2.7,3,center,1,defensive_third,False,8_2,58,,,,3,drawing,0,0,1,,,,,,,,0,build_up,10,high_block,,,,,,,,,,,,,False,False,1.08,174.42,2,backward,False,False,9.63,1,jogging,12.85,10.42,-2.43,11.49,10.27,42.12,41.94,-0.18,41.01,42.23,1.22,False,False,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,424,3,False,,,False,,,False,,,,,,,12.76,1,short,123.55,3,sideway_left,13.74,1,short,115.84,3,sideway_left,False,10,10,0,1,behind,1,behind,12.07,12.76,-24.66,-13.32,4,half_space_right,1,defensive_third,False,-24.62,-13.33,4,half_space_right,1,defensive_third,False,True,True,True,False,False,0.0001,0.998,0.8994,True,65,True,,,,,,,2,True,,,,True,True,,True,False
7_3,6,2007148,65,65,00:05.5,00:05.5,0,5,0.0,1,1,left_to_right,7,passing_option,,,966124,N. James,1,GK,176224,P. Cancar,6,RCB,1805,Newcastle,-43.89,-1.21,3,center,1,defensive_third,False,-43.89,-1.21,3,center,1,defensive_third,False,8_2,58,,,,3,drawing,0,0,1,,,,,,,,0,build_up,10,high_block,,,,,,,,,,,,,False,False,0.0,-160.56,2,backward,False,False,,,,25.4,25.4,0.0,10.27,10.27,54.16,54.16,0.0,42.23,42.23,0.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,424,3,False,,,False,,,False,,,,,,,22.76,2,medium,147.83,2,backward,,,,,,,False,10,10,0,1,behind,1,behind,22.76,22.76,-24.62,-13.33,4,half_space_right,1,defensive_third,False,-24.62,-13.33,4,half_space_right,1,defensive_third,False,False,False,,False,False,0.0,0.9987,0.6802,True,65,False,,,,,,,2,True,,,,True,True,,,True
8_3,7,2007148,77,88,00:06.7,00:07.8,0,6,1.1,1,1,left_to_right,8,player_possession,,,735574,K. Grozos,5,CB,,,,,1805,Newcastle,-33.43,-1.05,3,center,1,defensive_third,False,-32.58,1.32,3,center,1,defensive_third,False,,,,,,3,drawing,0,0,1,3,False,False,True,False,3,False,0,build_up,10,high_block,1,create,9,medium_block,1,create,9,medium_block,,,,,False,False,2.32,70.27,3,sideway_left,False,False,8.34,1,jogging,10.42,5.55,-4.87,6.84,4.52,40.27,37.1,-3.17,45.66,47.98,2.32,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,115.84,3,sideway_left,13.74,1,short,1,successful,7_5,True,560992,D. Wilmering,3,LWB,-16.86,31.8,1,wide_left,2,middle_third,False,-17.41,30.9,1,wide_left,2,middle_third,False,0.8921,False,0.0003,False,3,0,1,0,1,0,2,0,0,2,1,2,3,1,3,8,9,True,424,3,False,,,False,,,False,,,,,,,34.3,3,long,62.72,3,sideway_left,29.9,2,medium,57.9,3,sideway_left,True,10,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,True,True,True,True,False
7_4,8,2007148,77,88,00:06.7,00:07.8,0,6,1.1,1,1,left_to_right,7,passing_option,,,735578,M. Natta,4,LCB,735574,K. Grozos,5,CB,1805,Newcastle,-31.39,16.79,2,half_space_left,1,defensive_third,False,-34.77,18.71,2,half_space_left,1,defensive_third,False,8_3,77,,,,3,drawing,0,0,1,,,,,,,,0,build_up,10,high_block,,,,,,,,,,,,,False,False,3.6,150.4,2,backward,False,False,12.71,1,jogging,12.84,13.01,0.18,6.84,4.52,38.23,39.29,1.06,45.66,47.98,2.32,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,424,3,False,,,False,,,False,,,,,,,17.53,2,medium,97.18,3,sideway_left,,,,,,,False,10,10,0,2,same_line,2,same_line,17.96,17.53,-33.43,-1.05,3,center,1,defensive_third,False,-32.58,1.32,3,center,1,defensive_third,False,False,False,,False,False,0.0001,0.9938,0.8783,True,88,True,,,,,,,2,True,,,,True,True,,,False
7_5,9,2007148,81,88,00:07.1,00:07.8,0,7,0.7,1,1,left_to_right,7,passing_option,,,560992,D. Wilmering,3,LWB,735574,K. Grozos,5,CB,1805,Newcastle,-14.81,30.93,1,wide_left,2,middle_third,False,-16.86,31.8,1,wide_left,2,middle_third,False,8_3,77,,,,3,drawing,0,0,1,,,,,,,,0,build_up,10,high_block,,,,,,,,,,,,,False,False,1.96,157.0,2,backward,False,False,11.38,1,jogging,18.06,4.46,-13.6,5.91,4.52,20.72,21.38,0.66,46.59,47.98,1.39,False,False,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,424,3,False,,,False,,,False,,,,,,,34.3,3,long,62.72,3,sideway_left,29.9,2,medium,57.9,3,sideway_left,True,10,6,4,3,ahead,3,ahead,36.28,34.3,-33.37,-0.24,3,center,1,defensive_third,False,-32.58,1.32,3,center,1,defensive_third,False,True,True,True,False,False,0.0003,0.8921,0.8057,True,88,True,,,,,,,2,True,,,,True,True,,True,False
