event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,second_last_line_break,last_line_break,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,2012607,6850,6850,00:01.0,00:01.0,0,1,0.0,1,2,right_to_left,8,player_possession,771855,A. Lopane,14,RM,2380,Melbourne City,-0.85,-1.15,3,center,2,middle_third,False,-0.85,-1.15,3,center,2,middle_third,False,3,drawing,0,0,0,1,True,False,False,True,4,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.0,-37.52,1,forward,,,,,,4.49,4.49,0.0,16.82,16.82,17.67,17.67,0.0,35.68,35.68,0.0,True,True,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,50992,K. Trewin,4.0,LCB,-15.89,5.81,3,center,2,middle_third,False,-16.06,4.95,3,center,2,middle_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,4,4,,,,,,,,,,,,,,,,,18.63,2,medium,153.71,2,backward,,,,,8,8,0,False,False,,True,True
8_1,1,2012607,6860,6866,00:02.0,00:02.6,0,2,0.6,1,2,right_to_left,8,player_possession,50992,K. Trewin,4,LCB,2380,Melbourne City,-16.06,4.95,3,center,2,middle_third,False,-16.04,4.5,3,center,2,middle_third,False,3,drawing,0,0,0,2,False,False,False,False,4,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.46,-87.46,4,sideway_right,,,2.8,1,jogging,10.33,7.25,-3.09,17.82,18.71,33.88,34.75,0.87,34.68,33.79,-0.89,False,False,1,pass_reception,1,pass,False,True,False,False,False,False,False,153.71,2,backward,18.63,2,medium,1,successful,7_0,False,11891,A. Behich,2.0,LB,-15.34,16.04,2,half_space_left,2,middle_third,False,-14.73,17.25,2,half_space_left,2,middle_third,False,0.9977,False,0.0003,False,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,9,9,True,442.0,3,False,False,False,,,,,11.56,1,short,86.53,3,sideway_left,11.32,1,short,85.49,3,sideway_left,False,10,10,0,10,10,0,True,True,False,True,False
8_2,2,2012607,6878,6896,00:03.8,00:05.6,0,3,1.8,1,2,right_to_left,8,player_possession,11891,A. Behich,2,LB,2380,Melbourne City,-14.73,17.25,2,half_space_left,2,middle_third,False,-14.75,17.96,2,half_space_left,2,middle_third,False,3,drawing,0,0,0,3,False,False,True,False,4,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.95,91.61,3,sideway_left,,,1.98,1,jogging,8.67,4.11,-4.56,19.16,16.51,33.89,31.26,-2.63,33.34,35.99,2.65,False,False,1,pass_reception,1,pass,False,False,False,False,False,False,False,85.49,3,sideway_left,11.32,1,short,1,successful,7_1,False,50992,K. Trewin,4.0,LCB,-18.59,7.94,3,center,1,defensive_third,False,-20.42,9.26,2,half_space_left,1,defensive_third,False,0.9974,False,0.0002,False,2,0,1,1,0,0,1,0,0,2,0,0,2,0,1,8,8,True,442.0,3,False,False,False,,,,,10.73,1,short,-110.97,4,sideway_right,11.56,1,short,-106.59,4,sideway_right,False,10,10,0,10,10,0,True,True,True,True,False
8_3,3,2012607,6907,6921,00:06.7,00:08.1,0,6,1.4,1,2,right_to_left,8,player_possession,50992,K. Trewin,4,LCB,2380,Melbourne City,-20.42,9.26,2,half_space_left,1,defensive_third,False,-20.45,7.16,3,center,1,defensive_third,False,3,drawing,0,0,1,1,False,True,True,True,1,True,6,direct,15,defending_direct,5,chaotic,5,chaotic,1,create,9,medium_block,,,,,False,False,2.25,-90.82,4,sideway_right,False,True,5.72,1,jogging,6.37,2.19,-4.18,13.47,12.13,33.89,32.58,-1.31,39.03,40.37,1.34,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,-106.59,4,sideway_right,11.56,1,short,2,unsuccessful,7_4,,22937,Y. Cohen,17.0,RW,10.62,-15.81,4,half_space_right,2,middle_third,False,,,,,,,,0.609,True,0.0022,False,3,1,2,1,1,0,2,0,0,2,1,1,3,0,3,8,9,True,442.0,3,True,True,False,2,second_last,1,through,38.64,3,long,-36.48,1,forward,,,,,,,True,10,2,8,10,10,0,True,True,True,True,False
8_4,4,2012607,6971,6971,00:13.1,00:13.1,0,13,0.0,1,1,left_to_right,8,player_possession,13244,A. Gersbach,2,LB,2902,Western Sydney,-28.03,23.31,1,wide_left,1,defensive_third,False,-28.03,23.31,1,wide_left,1,defensive_third,False,3,drawing,0,0,2,1,True,True,True,True,1,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,15,defending_direct,6,direct,,,,,False,False,0.0,121.74,3,sideway_left,,,8.19,1,jogging,4.2,4.2,0.0,6.03,6.03,34.06,34.06,0.0,46.47,46.47,0.0,False,False,2,pass_interception,1,pass,True,False,False,False,True,False,False,,,,,,,2,unsuccessful,,,13542,B. Kraev,16.0,LW,-19.13,23.95,1,wide_left,1,defensive_third,False,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,0,True,True,True,True,False
8_5,5,2012607,6998,6998,00:15.8,00:15.8,0,15,0.0,1,2,right_to_left,8,player_possession,22937,Y. Cohen,17,RW,2380,Melbourne City,20.3,-26.73,5,wide_right,3,attacking_third,False,20.3,-26.73,5,wide_right,3,attacking_third,False,3,drawing,0,0,3,2,True,True,True,True,1,True,5,chaotic,5,chaotic,9,medium_block,1,create,5,chaotic,5,chaotic,,,,,False,False,0.0,-152.26,2,backward,,,9.33,1,jogging,2.33,2.33,0.0,31.67,31.67,11.37,11.37,0.0,20.83,20.83,0.0,False,False,4,recovery,1,pass,True,False,False,False,True,False,False,,,,,,,2,unsuccessful,,,104563,N. Atkinson,8.0,RB,14.3,-27.64,5,wide_right,2,middle_third,False,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,True,True,,,False
8_6,6,2012607,7009,7020,00:16.9,00:18.0,0,16,1.1,1,1,left_to_right,8,player_possession,13542,B. Kraev,16,LW,2902,Western Sydney,-14.11,28.46,1,wide_left,2,middle_third,False,-14.44,30.13,1,wide_left,2,middle_third,False,3,drawing,0,0,4,1,True,False,False,True,3,True,1,create,9,medium_block,9,medium_block,1,create,5,chaotic,5,chaotic,,,,,False,False,1.83,101.18,3,sideway_left,,,6.54,1,jogging,1.45,1.01,-0.43,1.55,1.41,15.66,15.85,0.19,50.95,51.09,0.14,True,True,4,recovery,1,pass,False,False,False,False,False,False,False,,,,,,,1,successful,7_7,False,795525,O. Priestman,12.0,LM,-17.38,28.92,1,wide_left,2,middle_third,False,-16.98,28.36,1,wide_left,2,middle_third,False,0.6544,False,0.0017,False,2,0,0,0,0,0,1,0,0,1,1,2,2,1,1,2,2,False,,,,,,,,,,3.18,1,short,-157.63,2,backward,2.58,1,short,-150.75,2,backward,False,6,8,-2,6,5,-1,True,True,,True,False
8_7,7,2012607,7036,7047,00:19.6,00:20.7,0,19,1.1,1,1,left_to_right,8,player_possession,19052,B. Borrello,19,CF,2902,Western Sydney,-13.56,23.99,1,wide_left,2,middle_third,False,-15.11,19.83,2,half_space_left,2,middle_third,False,3,drawing,0,0,4,2,False,False,False,False,3,True,1,create,9,medium_block,9,medium_block,1,create,5,chaotic,5,chaotic,,,,,False,False,4.02,-110.44,4,sideway_right,False,True,14.36,1,jogging,1.75,1.45,-0.3,1.28,1.78,14.84,16.89,2.05,51.22,50.72,-0.5,True,True,3,keep_possession,1,pass,False,False,True,False,False,False,False,,,,,,,1,successful,7_11,False,51036,N. Milanovic,17.0,RW,-13.88,1.53,3,center,2,middle_third,False,-8.43,5.93,3,center,2,middle_third,False,0.6418,True,0.0086,False,5,1,0,0,0,0,0,0,0,4,1,2,4,0,0,4,1,False,,,,,,,,,,18.34,2,medium,-86.15,4,sideway_right,15.17,2,medium,-96.28,4,sideway_right,False,7,4,3,7,7,0,True,True,,True,False
8_8,8,2012607,7060,7072,00:22.0,00:23.2,0,22,1.2,1,1,left_to_right,8,player_possession,51036,N. Milanovic,17,RW,2902,Western Sydney,-8.43,5.93,3,center,2,middle_third,False,-3.01,10.56,2,half_space_left,2,middle_third,False,3,drawing,0,0,4,3,False,True,True,False,3,True,1,create,9,medium_block,9,medium_block,1,create,5,chaotic,5,chaotic,,,,,False,False,7.2,40.51,1,forward,True,False,21.57,3,hsr,6.26,2.0,-4.26,3.29,8.04,11.72,11.05,-0.67,49.21,44.46,-4.75,True,True,1,pass_reception,1,pass,False,False,True,False,False,False,False,-96.28,4,sideway_right,15.17,2,medium,2,unsuccessful,7_14,,795526,Z. Sapsford,19.0,CF,6.98,10.18,2,half_space_left,2,middle_third,False,,,,,,,,0.4804,True,0.0266,True,3,3,0,0,0,0,1,1,0,2,0,2,3,1,1,2,1,False,,,,,,,,,,10.0,1,short,-2.18,1,forward,,,,,,,True,4,3,1,4,4,0,True,True,True,True,False
8_9,9,2012607,7113,7131,00:27.3,00:29.1,0,27,1.8,1,2,right_to_left,8,player_possession,771859,P. Beach,1,GK,2380,Melbourne City,-39.93,-12.35,4,half_space_right,1,defensive_third,False,-37.93,-10.37,4,half_space_right,1,defensive_third,False,3,drawing,0,0,5,4,True,False,False,True,4,False,1,create,9,medium_block,0,build_up,10,high_block,9,medium_block,1,create,,,,,False,False,2.85,44.71,1,forward,False,False,,,,9.72,9.54,-0.18,8.82,5.35,48.75,43.28,-5.47,43.68,47.15,3.47,False,False,2,pass_interception,1,pass,False,False,True,False,False,True,False,,,,,,,1,successful,,,11891,A. Behich,2.0,LB,-28.77,14.78,2,half_space_left,1,defensive_third,False,-27.32,24.54,1,wide_left,1,defensive_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,,,,,,,,,,,,,,,23.68,2,medium,60.25,3,sideway_left,,,,,10,10,0,True,False,True,True,False
