event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,high_pass,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_passing_options,passing_option_at_pass_moment,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched,fully_extrapolated
7_0,0,2012607,6864,6866,00:02.4,00:02.6,0,2,0.2,1,2,right_to_left,7,passing_option,11891,A. Behich,2,LB,50992,K. Trewin,4,LCB,2380,Melbourne City,-15.4,16.06,2,half_space_left,2,middle_third,False,-15.34,16.04,2,half_space_left,2,middle_third,False,8_1,6860,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.17,-75.07,4,sideway_right,False,False,1.38,1,jogging,11.39,8.67,-2.71,18.38,18.71,33.78,34.05,0.27,34.12,33.79,-0.33,False,False,False,True,442.0,3,False,,,False,,,False,,,,,,,11.56,1,short,86.53,3,sideway_left,11.32,1,short,85.49,3,sideway_left,False,10,10,0,2,same_line,2,same_line,11.46,11.56,-16.07,4.62,3,center,2,middle_third,False,-16.04,4.5,3,center,2,middle_third,False,True,True,True,False,False,0.0003,0.9977,0.4927,False,6866,False,0,False,True,True,True,False
7_1,1,2012607,6886,6896,00:04.6,00:05.6,0,4,1.0,1,2,right_to_left,7,passing_option,50992,K. Trewin,4,LCB,11891,A. Behich,2,LB,2380,Melbourne City,-16.61,6.2,3,center,2,middle_third,False,-18.59,7.94,3,center,1,defensive_third,False,8_2,6878,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,2.67,138.69,2,backward,False,False,9.56,1,jogging,7.08,6.37,-0.72,18.18,16.51,34.79,35.1,0.31,34.32,35.99,1.67,False,False,False,True,442.0,3,False,,,False,,,False,,,,,,,10.73,1,short,-110.97,4,sideway_right,11.56,1,short,-106.59,4,sideway_right,False,10,10,0,2,same_line,1,behind,11.93,10.73,-14.55,17.95,2,half_space_left,2,middle_third,False,-14.75,17.96,2,half_space_left,2,middle_third,False,True,True,True,False,False,0.0002,0.9974,0.929,True,6896,False,1,True,True,True,True,False
7_2,2,2012607,6887,6896,00:04.7,00:05.6,0,4,0.9,1,2,right_to_left,7,passing_option,26095,A. Kuen,19,CF,11891,A. Behich,2,LB,2380,Melbourne City,1.06,14.29,2,half_space_left,2,middle_third,False,-0.44,15.56,2,half_space_left,2,middle_third,False,8_2,6878,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,1.85,139.75,2,backward,False,False,8.33,1,jogging,5.73,3.31,-2.42,18.03,16.51,16.97,16.95,-0.02,34.47,35.99,1.52,True,True,,True,442.0,3,True,2,around,False,,,False,,,1,first,2,around,15.04,2,medium,-9.84,1,forward,,,,,,,True,10,8,2,3,ahead,3,ahead,16.04,14.51,-14.55,17.96,2,half_space_left,2,middle_third,False,-14.75,17.96,2,half_space_left,2,middle_third,False,False,False,,False,False,0.0018,0.9801,0.8068,True,6893,False,1,True,True,True,,False
7_3,3,2012607,6907,6921,00:06.7,00:08.1,0,6,1.4,1,2,right_to_left,7,passing_option,114464,G. Ferreyra,6,RCB,50992,K. Trewin,4,LCB,2380,Melbourne City,-18.27,-8.12,3,center,1,defensive_third,False,-23.48,-11.45,4,half_space_right,1,defensive_third,False,8_3,6907,1_0,4,dropping_off,3,drawing,0,0,1,6,direct,15,defending_direct,False,False,6.24,-147.42,2,backward,True,False,15.96,2,running,14.53,15.7,1.17,13.47,12.13,31.74,35.61,3.87,39.03,40.37,1.34,False,False,,True,442.0,3,False,,,False,,,False,,,,,,,18.35,2,medium,-93.16,4,sideway_right,,,,,,,False,10,10,0,2,same_line,1,behind,17.51,18.86,-20.42,9.26,2,half_space_left,1,defensive_third,False,-20.45,7.16,3,center,1,defensive_third,False,False,False,,False,False,0.0002,0.9975,0.9768,True,6915,True,2,True,True,True,,False
7_4,4,2012607,6919,6921,00:07.9,00:08.1,0,7,0.2,1,2,right_to_left,7,passing_option,22937,Y. Cohen,17,RW,50992,K. Trewin,4,LCB,2380,Melbourne City,10.84,-15.18,4,half_space_right,2,middle_third,False,10.62,-15.81,4,half_space_right,2,middle_third,False,8_3,6907,,,,3,drawing,0,0,1,6,direct,15,defending_direct,False,False,1.3,-115.14,4,sideway_right,False,False,11.72,1,jogging,3.25,3.64,0.39,11.84,12.13,1.0,1.51,0.51,40.66,40.37,-0.29,False,False,,True,442.0,3,True,2,around,True,1,through,False,,,2,second_last,1,through,38.64,3,long,-36.48,1,forward,,,,,,,True,10,2,8,3,ahead,3,ahead,38.75,38.64,-20.53,7.57,3,center,1,defensive_third,False,-20.45,7.16,3,center,1,defensive_third,False,True,False,,False,True,0.0022,0.609,0.425,False,6921,False,2,False,True,True,,False
7_5,5,2012607,6921,6921,00:08.1,00:08.1,0,8,0.0,1,2,right_to_left,7,passing_option,104563,N. Atkinson,8,RB,50992,K. Trewin,4,LCB,2380,Melbourne City,1.15,-27.84,5,wide_right,2,middle_third,False,1.15,-27.84,5,wide_right,2,middle_third,False,8_3,6907,,,,3,drawing,0,0,1,6,direct,15,defending_direct,False,False,0.0,-126.43,4,sideway_right,False,False,11.24,1,jogging,10.37,10.37,0.0,12.13,12.13,10.98,10.98,0.0,40.37,40.37,0.0,False,False,,True,442.0,3,True,2,around,False,,,False,,,1,first,2,around,41.13,3,long,-58.32,4,sideway_right,,,,,,,True,10,5,5,3,ahead,3,ahead,41.13,41.13,-20.45,7.16,3,center,1,defensive_third,False,-20.45,7.16,3,center,1,defensive_third,False,False,False,,False,False,0.0005,0.8155,0.6033,True,6921,False,2,True,True,True,,False
7_6,6,2012607,7009,7020,00:16.9,00:18.0,0,16,1.1,1,1,left_to_right,7,passing_option,19052,B. Borrello,19,CF,13542,B. Kraev,16,LW,2902,Western Sydney,-11.05,24.71,1,wide_left,2,middle_third,False,-12.55,25.29,1,wide_left,2,middle_third,False,8_6,7009,,,,3,drawing,0,0,4,1,create,9,medium_block,False,False,1.53,158.86,2,backward,False,False,5.34,1,jogging,2.14,1.05,-1.08,1.55,1.41,12.6,13.96,1.36,50.95,51.09,0.14,True,True,,False,,,,,,,,,,,,,,,,5.15,1,short,-69.17,4,sideway_right,,,,,,,False,5,4,1,3,ahead,2,same_line,4.84,5.2,-14.11,28.46,1,wide_left,2,middle_third,False,-14.44,30.13,1,wide_left,2,middle_third,False,False,False,,False,True,0.0023,0.5677,0.672,True,7019,True,1,True,True,True,,False
7_7,7,2012607,7009,7020,00:16.9,00:18.0,0,16,1.1,1,1,left_to_right,7,passing_option,795525,O. Priestman,12,LM,13542,B. Kraev,16,LW,2902,Western Sydney,-18.82,27.75,1,wide_left,1,defensive_third,False,-17.38,28.92,1,wide_left,2,middle_third,False,8_6,7009,,,,3,drawing,0,0,4,1,create,9,medium_block,False,False,1.83,39.09,1,forward,False,False,6.26,1,jogging,0.55,2.13,1.58,1.55,1.41,20.37,18.79,-1.58,50.95,51.09,0.14,True,False,False,False,,,,,,,,,,,,,,,,3.18,1,short,-157.63,2,backward,2.58,1,short,-150.75,2,backward,False,6,8,-2,1,behind,2,same_line,4.76,3.18,-14.11,28.46,1,wide_left,2,middle_third,False,-14.44,30.13,1,wide_left,2,middle_third,False,True,True,False,False,False,0.0017,0.6544,0.8959,True,7020,True,1,True,True,True,True,False
7_8,8,2012607,7036,7039,00:19.6,00:19.9,0,19,0.3,1,1,left_to_right,7,passing_option,795525,O. Priestman,12,LM,19052,B. Borrello,19,CF,2902,Western Sydney,-15.82,25.88,1,wide_left,2,middle_third,False,-15.36,24.94,1,wide_left,2,middle_third,False,8_7,7036,,,,3,drawing,0,0,4,1,create,9,medium_block,False,False,1.37,-63.88,4,sideway_right,False,False,12.38,1,jogging,2.24,2.79,0.55,1.28,1.25,17.1,16.61,-0.49,51.22,51.25,0.03,True,True,,False,,,,,,,,,,,,,,,,2.95,1,short,140.09,2,backward,,,,,,,False,7,8,-1,2,same_line,2,same_line,2.95,2.29,-13.56,23.99,1,wide_left,2,middle_third,False,-13.96,23.13,1,wide_left,2,middle_third,False,False,False,,False,False,0.0028,0.7806,0.811,True,7036,True,2,False,True,True,,False
7_9,9,2012607,7036,7047,00:19.6,00:20.7,0,19,1.1,1,1,left_to_right,7,passing_option,957034,D. Pelekanos,14,RM,19052,B. Borrello,19,CF,2902,Western Sydney,-17.08,17.41,2,half_space_left,2,middle_third,False,-18.01,16.94,2,half_space_left,1,defensive_third,False,8_7,7036,,,,3,drawing,0,0,4,1,create,9,medium_block,False,False,0.94,-153.19,2,backward,False,False,3.82,1,jogging,6.07,2.93,-3.13,1.28,1.78,18.36,19.79,1.43,51.22,50.72,-0.5,True,True,,False,,,,,,,,,,,,,,,,7.46,1,short,-118.14,4,sideway_right,,,,,,,False,7,9,-2,1,behind,2,same_line,7.46,4.09,-13.56,23.99,1,wide_left,2,middle_third,False,-15.11,19.83,2,half_space_left,2,middle_third,False,False,False,,False,False,0.0013,0.9692,0.9215,True,7036,True,4,True,True,True,,False
