event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,high_pass,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_passing_options,passing_option_at_pass_moment,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched,fully_extrapolated
7_0,0,1899583,55,57,00:04.5,00:04.7,0,4,0.2,1,1,left_to_right,7,passing_option,810406,C. Shamoon,2,LB,957737,D. Leonard,4,LCB,1803,Western United,-16.28,15.87,2,half_space_left,2,middle_third,False,-16.21,15.86,2,half_space_left,2,middle_third,False,8_1,55,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.22,-9.09,1,forward,False,False,1.82,1,jogging,15.67,15.29,-0.38,21.19,21.16,37.47,37.37,-0.1,31.31,31.34,0.03,False,False,,True,442.0,3,False,,,False,,,False,,,,,,,13.5,1,short,83.66,3,sideway_left,,,,,,,False,10,10,0,2,same_line,2,same_line,13.5,13.58,-17.77,2.45,3,center,1,defensive_third,False,-17.77,2.37,3,center,1,defensive_third,False,False,False,,False,False,0.0002,0.9962,0.7138,True,55,True,3,False,True,True,,False
7_1,1,1899583,55,61,00:04.5,00:05.1,0,4,0.6,1,1,left_to_right,7,passing_option,51675,A. Thurgate,12,LM,957737,D. Leonard,4,LCB,1803,Western United,-8.67,5.11,3,center,2,middle_third,False,-9.05,4.32,3,center,2,middle_third,False,8_1,55,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.88,-115.69,4,sideway_right,False,False,5.23,1,jogging,6.89,5.47,-1.43,21.19,21.04,29.86,30.09,0.23,31.31,31.46,0.15,False,False,,True,442.0,3,False,,,False,,,False,,,,,,,9.48,1,short,16.29,1,forward,,,,,,,True,10,10,0,3,ahead,3,ahead,9.48,9.08,-17.77,2.45,3,center,1,defensive_third,False,-17.81,1.93,3,center,1,defensive_third,False,False,False,,False,False,0.0004,0.9924,0.8462,True,55,True,3,False,True,True,,False
7_2,2,1899583,55,65,00:04.5,00:05.5,0,4,1.0,1,1,left_to_right,7,passing_option,560917,R. Bozinovski,14,RM,957737,D. Leonard,4,LCB,1803,Western United,-9.0,-4.24,3,center,2,middle_third,False,-10.31,-4.52,3,center,2,middle_third,False,8_1,55,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,1.35,-167.94,2,backward,False,False,4.86,1,jogging,6.02,2.64,-3.37,21.19,20.76,30.19,31.07,0.88,31.31,31.74,0.43,False,False,,True,442.0,3,False,,,False,,,False,,,,,,,10.27,1,short,-38.68,1,forward,,,,,,,True,10,10,0,3,ahead,3,ahead,11.03,9.44,-17.77,2.45,3,center,1,defensive_third,False,-17.82,1.2,3,center,1,defensive_third,False,False,False,,False,False,0.0006,0.9976,0.8505,True,60,True,3,True,True,True,,False
7_3,3,1899583,55,68,00:04.5,00:05.8,0,4,1.3,1,1,left_to_right,7,passing_option,51008,T. Imai,6,RCB,957737,D. Leonard,4,LCB,1803,Western United,-18.89,-16.17,4,half_space_right,1,defensive_third,False,-18.7,-17.21,4,half_space_right,1,defensive_third,False,8_1,55,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,1.0,-79.65,4,sideway_right,False,False,2.92,1,jogging,18.25,5.4,-12.85,21.19,20.47,40.08,39.17,-0.91,31.31,32.03,0.72,False,False,False,True,442.0,3,False,,,False,,,False,,,,,,,17.77,2,medium,-92.71,4,sideway_right,13.04,1,short,-80.2,4,sideway_right,False,10,10,0,2,same_line,2,same_line,18.65,17.77,-17.77,2.45,3,center,1,defensive_third,False,-17.86,0.54,3,center,1,defensive_third,False,True,True,True,False,False,0.0002,0.9964,0.9823,True,68,True,3,True,True,True,True,False
7_4,4,1899583,84,88,00:07.4,00:07.8,0,7,0.4,1,1,left_to_right,7,passing_option,957737,D. Leonard,4,LCB,51008,T. Imai,6,RCB,1803,Western United,-20.92,-4.36,3,center,1,defensive_third,False,-22.13,-5.98,3,center,1,defensive_third,False,8_2,84,1_1,4,dropping_off,3,drawing,0,0,0,1,create,9,medium_block,False,False,2.0,-127.23,4,sideway_right,False,False,18.04,2,running,11.8,11.55,-0.25,18.43,17.79,39.35,39.92,0.57,34.07,34.71,0.64,False,False,,True,442.0,3,False,,,False,,,False,,,,,,,15.35,2,medium,100.93,3,sideway_left,,,,,,,False,10,10,0,2,same_line,1,behind,15.35,15.15,-18.01,-19.43,4,half_space_right,1,defensive_third,False,-17.88,-20.52,5,wide_right,1,defensive_third,False,False,False,,False,False,0.0001,0.9911,0.807,True,84,True,3,False,True,True,,False
7_5,5,1899583,84,96,00:07.4,00:08.6,0,7,1.2,1,1,left_to_right,7,passing_option,560917,R. Bozinovski,14,RM,51008,T. Imai,6,RCB,1803,Western United,-10.31,-10.36,4,half_space_right,2,middle_third,False,-9.68,-16.99,4,half_space_right,2,middle_third,False,8_2,84,1_0,7,pulling_wide,3,drawing,0,0,0,1,create,9,medium_block,False,False,6.67,-84.57,4,sideway_right,False,False,19.93,2,running,6.55,8.92,2.36,18.43,16.73,28.74,26.41,-2.33,34.07,35.77,1.7,True,True,,True,442.0,3,True,2,around,False,,,False,,,1,first,2,around,11.4,1,short,47.92,3,sideway_left,,,,,,,True,10,9,1,3,ahead,3,ahead,11.9,10.29,-18.01,-19.43,4,half_space_right,1,defensive_third,False,-17.79,-23.32,5,wide_right,1,defensive_third,False,False,False,,False,False,0.0006,0.8609,0.869,True,86,True,3,True,True,True,,False
7_6,6,1899583,88,96,00:07.8,00:08.6,0,7,0.8,1,1,left_to_right,7,passing_option,795520,T. Russell,8,RB,51008,T. Imai,6,RCB,1803,Western United,3.87,-31.68,5,wide_right,2,middle_third,False,0.19,-32.56,5,wide_right,2,middle_third,False,8_2,84,1_2,2,coming_short,3,drawing,0,0,0,1,create,9,medium_block,False,False,3.79,-166.55,2,backward,False,False,,,,7.07,3.83,-3.24,17.79,16.73,13.92,16.54,2.62,34.71,35.77,1.06,False,False,False,True,442.0,3,True,2,around,False,,,False,,,1,first,2,around,20.22,2,medium,-27.2,1,forward,20.22,2,medium,-13.32,1,forward,True,10,7,3,3,ahead,3,ahead,24.45,20.22,-17.88,-20.52,5,wide_right,1,defensive_third,False,-17.79,-23.32,5,wide_right,1,defensive_third,False,True,True,True,False,False,0.0004,0.9668,0.948,True,96,True,3,True,True,True,True,False
7_7,7,1899583,92,96,00:08.2,00:08.6,0,8,0.4,1,1,left_to_right,7,passing_option,26844,R. Danzaki,17,RW,51008,T. Imai,6,RCB,1803,Western United,9.02,-19.6,4,half_space_right,2,middle_third,False,8.07,-20.51,5,wide_right,2,middle_third,False,8_2,84,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,1.26,-136.26,2,backward,True,False,11.54,1,jogging,8.19,8.48,0.3,17.19,16.73,8.17,8.66,0.49,35.31,35.77,0.46,True,True,,True,442.0,3,True,2,around,True,1,through,False,,,2,second_last,1,through,26.24,2,medium,5.86,1,forward,,,,,,,True,10,4,6,3,ahead,3,ahead,26.93,26.01,-17.82,-21.85,5,wide_right,1,defensive_third,False,-17.79,-23.32,5,wide_right,1,defensive_third,False,False,False,,False,False,0.0012,0.6809,0.8081,True,95,False,3,True,True,True,,False
7_8,8,1899583,108,108,00:09.8,00:09.8,0,9,0.0,1,1,left_to_right,7,passing_option,51008,T. Imai,6,RCB,795520,T. Russell,8,RB,1803,Western United,-19.49,-27.9,5,wide_right,1,defensive_third,False,-19.49,-27.9,5,wide_right,1,defensive_third,False,8_3,108,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.0,-119.39,4,sideway_right,False,False,15.63,2,running,2.15,2.15,0.0,15.66,15.66,35.15,35.15,0.0,36.84,36.84,0.0,False,False,,True,442.0,3,False,,,False,,,False,,,,,,,13.86,1,short,158.71,2,backward,,,,,,,False,7,10,-3,1,behind,1,behind,13.86,13.86,-6.58,-32.93,5,wide_right,2,middle_third,False,-6.58,-32.93,5,wide_right,2,middle_third,False,False,False,,False,False,0.0001,0.9079,0.8195,True,108,True,2,True,True,True,,False
7_9,9,1899583,108,108,00:09.8,00:09.8,0,9,0.0,1,1,left_to_right,7,passing_option,560917,R. Bozinovski,14,RM,795520,T. Russell,8,RB,1803,Western United,-9.09,-22.32,5,wide_right,2,middle_third,False,-9.09,-22.32,5,wide_right,2,middle_third,False,8_3,108,,,,3,drawing,0,0,0,1,create,9,medium_block,False,False,0.0,-82.73,4,sideway_right,False,False,14.15,1,jogging,4.62,4.62,0.0,15.66,15.66,24.75,24.75,0.0,36.84,36.84,0.0,True,True,,True,442.0,3,False,,,False,,,False,,,,,,,10.9,1,short,103.31,3,sideway_left,,,,,,,False,7,8,-1,2,same_line,2,same_line,10.9,10.9,-6.58,-32.93,5,wide_right,2,middle_third,False,-6.58,-32.93,5,wide_right,2,middle_third,False,False,False,,False,True,0.0006,0.6151,0.7742,True,108,True,2,True,True,True,,False
