event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,second_last_line_break,last_line_break,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,1959846,192,210,00:19.2,00:21.0,0,19,1.8,1,1,left_to_right,8,player_possession,51678,J. Duncan,1,GK,868,Melbourne V FC,-38.38,-3.51,3,center,1,defensive_third,False,-38.55,-2.24,3,center,1,defensive_third,False,3,drawing,0,0,0,1,True,False,False,True,4,True,0,build_up,10,high_block,5,chaotic,5,chaotic,,,,,3,free_kick_for,,,False,False,1.32,97.62,3,sideway_left,,,,,,19.23,17.09,-2.14,5.37,5.67,43.75,44.22,0.47,47.13,46.83,-0.3,False,False,5,free_kick_reception,1,pass,False,False,False,False,False,False,False,,,,,,,1,successful,7_1,False,9175,Roderick Miranda,4.0,LCB,-35.7,9.4,2,half_space_left,1,defensive_third,False,-35.38,10.33,2,half_space_left,1,defensive_third,False,0.9987,False,0.0,False,2,0,0,0,0,0,2,0,0,2,0,2,2,2,2,10,10,True,424.0,3,False,False,False,,,,,11.98,1,short,76.24,3,sideway_left,10.31,1,short,66.32,3,sideway_left,False,10,10,0,10,10,0,True,True,,True,False
8_1,1,1959846,221,235,00:22.1,00:23.5,0,22,1.4,1,1,left_to_right,8,player_possession,9175,Roderick Miranda,4,LCB,868,Melbourne V FC,-35.38,10.33,2,half_space_left,1,defensive_third,False,-35.53,10.04,2,half_space_left,1,defensive_third,False,3,drawing,0,0,0,2,False,False,False,False,4,True,0,build_up,10,high_block,5,chaotic,5,chaotic,,,,,,,,,False,False,0.79,-117.35,4,sideway_right,,,2.08,1,jogging,11.35,4.73,-6.62,5.6,5.43,40.98,40.96,-0.02,46.9,47.07,0.17,False,False,1,pass_reception,1,pass,False,False,False,False,False,False,False,66.32,3,sideway_left,10.31,1,short,1,successful,7_3,False,51678,J. Duncan,1.0,GK,-44.47,0.02,3,center,1,defensive_third,False,-45.79,-2.14,3,center,1,defensive_third,False,0.994,False,0.0,False,3,0,1,1,0,0,1,0,0,3,0,1,3,1,1,8,9,True,442.0,3,False,False,False,,,,,13.43,1,short,-131.74,4,sideway_right,13.86,1,short,-119.62,4,sideway_right,False,10,10,0,10,10,0,True,True,True,True,False
8_2,2,1959846,250,262,00:25.0,00:26.2,0,25,1.2,1,1,left_to_right,8,player_possession,51678,J. Duncan,1,GK,868,Melbourne V FC,-45.79,-2.14,3,center,1,defensive_third,False,-45.47,-4.8,3,center,1,defensive_third,False,3,drawing,0,0,0,3,False,True,True,False,4,True,0,build_up,10,high_block,5,chaotic,5,chaotic,,,,,,,12,throw_in_against,False,False,2.68,-83.14,4,sideway_right,False,False,7.9,1,jogging,9.23,5.1,-4.13,4.29,3.48,50.08,48.95,-1.13,48.21,49.02,0.81,False,False,1,pass_reception,1,pass,False,False,True,False,False,False,False,-119.62,4,sideway_right,13.86,1,short,2,unsuccessful,7_7,,11885,D. Arzani,17.0,RW,0.7,-29.79,5,wide_right,2,middle_third,False,,,,,,,,0.5713,True,0.0003,False,3,1,1,0,0,1,3,0,0,2,1,3,3,3,3,10,10,True,424.0,3,True,True,True,3,last,2,around,52.5,3,long,-28.42,1,forward,,,,,,,True,10,3,7,10,10,0,True,True,True,,False
8_3,3,1959846,518,534,00:51.8,00:53.4,0,51,1.6,1,2,right_to_left,8,player_possession,818554,A. Walatee,16,LW,1803,Western United,26.49,27.09,1,wide_left,3,attacking_third,False,25.0,26.28,1,wide_left,3,attacking_third,False,3,drawing,0,0,1,1,True,False,False,True,3,True,5,chaotic,5,chaotic,9,medium_block,1,create,10,high_block,0,build_up,11,throw_in_for,,,False,False,2.47,-151.47,2,backward,False,False,5.61,1,jogging,0.8,0.91,0.11,34.88,33.77,8.39,8.77,0.38,17.62,18.73,1.11,True,True,13,unknown,1,pass,False,False,True,False,False,False,False,,,,,,,1,successful,7_9,False,26994,H. Ibusuki,19.0,CF,26.95,27.05,1,wide_left,3,attacking_third,False,26.86,26.02,1,wide_left,3,attacking_third,False,0.5767,True,0.0113,False,5,0,0,0,0,0,3,0,0,2,3,3,4,2,3,3,2,False,,,,,,,,,,2.1,1,short,21.55,1,forward,2.52,1,short,37.74,1,forward,False,6,5,1,6,6,0,True,True,,True,False
8_4,4,1959846,537,548,00:53.7,00:54.8,0,53,1.1,1,2,right_to_left,8,player_possession,26994,H. Ibusuki,19,CF,1803,Western United,26.86,26.02,1,wide_left,3,attacking_third,False,28.25,21.94,1,wide_left,3,attacking_third,False,3,drawing,0,0,1,2,False,False,False,False,3,True,5,chaotic,5,chaotic,9,medium_block,1,create,10,high_block,0,build_up,,,4,free_kick_against,False,False,3.95,-71.19,4,sideway_right,False,False,14.16,1,jogging,1.82,1.07,-0.75,33.5,33.3,6.64,5.05,-1.59,19.0,19.2,0.2,True,True,1,pass_reception,5,possession_loss,False,False,True,False,False,False,False,37.74,1,forward,2.52,1,short,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,1,2,0,1,0,2,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,True,True,True,,False
8_5,5,1959846,811,817,01:21.1,01:21.7,1,21,0.6,1,2,right_to_left,8,player_possession,23922,B. Garuccio,2,LB,1803,Western United,-13.96,27.92,1,wide_left,2,middle_third,False,-14.67,29.71,1,wide_left,2,middle_third,False,3,drawing,0,0,3,3,False,True,True,False,1,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,9,medium_block,1,create,4,free_kick_against,,,False,False,1.93,111.64,3,sideway_left,,,11.51,1,jogging,5.43,2.72,-2.71,21.22,19.46,35.18,34.13,-1.05,31.28,33.04,1.76,False,False,6,free_kick_interception,1,pass,False,True,False,False,False,False,False,,,,,,,2,unsuccessful,7_18,,818554,A. Walatee,16.0,LW,2.26,25.54,1,wide_left,2,middle_third,False,,,,,,,,0.7529,False,0.0015,False,3,0,0,0,0,0,3,0,0,2,1,3,3,3,3,6,7,False,,,,,,,,,,17.44,2,medium,-13.84,1,forward,,,,,,,True,9,5,4,9,9,0,True,True,,True,False
8_6,6,1959846,832,843,01:23.2,01:24.3,1,23,1.1,1,1,left_to_right,8,player_possession,23884,J. Geria,8,RB,868,Melbourne V FC,-4.42,-25.26,5,wide_right,2,middle_third,False,0.66,-19.95,4,half_space_right,2,middle_third,False,3,drawing,0,0,4,4,True,True,True,True,1,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,5,chaotic,5,chaotic,,,,,False,False,6.69,46.27,3,sideway_left,False,True,24.24,3,hsr,3.77,2.25,-1.52,20.37,17.88,24.79,17.22,-7.57,32.13,34.62,2.49,False,True,2,pass_interception,1,pass,False,False,True,False,False,False,False,,,,,,,2,unsuccessful,7_21,,159688,J. Valadon,12.0,LM,-3.2,-15.01,4,half_space_right,2,middle_third,False,,,,,,,,0.943,False,0.0024,False,3,0,1,1,0,0,2,0,0,3,0,3,3,2,2,4,5,True,424.0,3,False,False,False,,,,,6.27,1,short,128.0,3,sideway_left,,,,,,,False,6,7,-1,6,8,2,True,True,True,True,False
8_7,7,1959846,848,860,01:24.8,01:26.0,1,24,1.2,1,2,right_to_left,8,player_possession,560917,R. Bozinovski,14,RM,1803,Western United,-2.8,16.6,2,half_space_left,2,middle_third,False,-0.51,16.79,2,half_space_left,2,middle_third,False,3,drawing,0,0,5,5,True,True,True,True,1,True,5,chaotic,5,chaotic,5,chaotic,5,chaotic,5,chaotic,5,chaotic,,,,,False,False,2.3,4.74,1,forward,False,False,7.02,1,jogging,1.83,2.46,0.63,15.67,13.92,18.47,14.43,-4.04,36.83,38.58,1.75,True,True,2,pass_interception,1,pass,False,False,True,False,False,False,False,,,,,,,2,unsuccessful,7_24,,560916,N. BotiÄ,19.0,CF,1.39,9.53,2,half_space_left,2,middle_third,False,,,,,,,,0.7309,False,0.0084,False,3,0,0,0,0,0,2,0,0,2,1,3,3,2,3,3,4,False,,,,,,,,,,7.5,1,short,-75.33,4,sideway_right,,,,,,,False,4,3,1,4,5,1,True,True,True,True,False
8_8,8,1959846,863,870,01:26.3,01:27.0,1,26,0.7,1,1,left_to_right,8,player_possession,159688,J. Valadon,12,LM,868,Melbourne V FC,-0.88,-15.42,4,half_space_right,2,middle_third,False,-0.48,-15.16,4,half_space_right,2,middle_third,False,3,drawing,0,0,6,6,True,True,True,True,1,True,5,chaotic,5,chaotic,9,medium_block,1,create,5,chaotic,5,chaotic,,,,,False,False,0.63,33.02,1,forward,,,4.66,1,jogging,1.75,0.99,-0.76,16.19,14.83,17.07,15.31,-1.76,36.31,37.67,1.36,True,True,2,pass_interception,5,possession_loss,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,1,0,0,2,0,2,2,1,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,0,True,True,True,,False
8_9,9,1959846,876,876,01:27.6,01:27.6,1,27,0.0,1,2,right_to_left,8,player_possession,560916,N. BotiÄ,19,CF,1803,Western United,1.21,10.76,2,half_space_left,2,middle_third,False,1.21,10.76,2,half_space_left,2,middle_third,False,3,drawing,0,0,7,1,True,False,False,True,3,False,1,create,9,medium_block,2,finish,8,low_block,5,chaotic,5,chaotic,,,,,False,False,0.0,149.22,2,backward,,,7.66,1,jogging,2.57,2.57,0.0,14.78,14.78,13.57,13.57,0.0,37.72,37.72,0.0,True,True,4,recovery,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,7_27,False,51675,A. Thurgate,12.0,LM,-6.47,12.46,2,half_space_left,2,middle_third,False,-4.88,10.04,2,half_space_left,2,middle_third,False,0.8831,False,0.0031,False,2,0,0,0,0,0,0,0,0,2,0,,,,,2,2,False,,,,,,,,,,7.87,1,short,167.52,2,backward,7.37,1,short,173.61,2,backward,False,4,8,-4,4,4,0,True,True,,True,False
